date,de
2020-02-01,86
2020-02-02,83
2020-02-03,91
2020-02-04,92
2020-02-05,88
2020-02-06,87
2020-02-07,85
2020-02-08,86
2020-02-09,84
2020-02-10,86
2020-02-11,87
2020-02-12,91
2020-02-13,87
2020-02-14,87
2020-02-15,88
2020-02-16,87
2020-02-17,94
2020-02-18,86
2020-02-19,91
2020-02-20,88
2020-02-21,84
2020-02-22,85
2020-02-23,91
2020-02-24,94
2020-02-25,86
2020-02-26,89
2020-02-27,89
2020-02-28,88
2020-02-29,90
2020-03-01,89
2020-03-02,90
2020-03-03,89
2020-03-04,88
2020-03-05,91
2020-03-06,84
2020-03-07,83
2020-03-08,90
2020-03-09,89
2020-03-10,89
2020-03-11,91
2020-03-12,88
2020-03-13,82
2020-03-14,84
2020-03-15,82
2020-03-16,81
2020-03-17,81
2020-03-18,82
2020-03-19,85
2020-03-20,82
2020-03-21,86
2020-03-22,90
2020-03-23,88
2020-03-24,84
2020-03-25,83
2020-03-26,90
2020-03-27,87
2020-03-28,89
2020-03-29,93
2020-03-30,88
2020-03-31,87
2020-04-01,86
2020-04-02,93
2020-04-03,90
2020-04-04,90
2020-04-05,89
2020-04-06,87
2020-04-07,89
2020-04-08,87
2020-04-09,88
2020-04-10,94
2020-04-11,91
2020-04-12,95
2020-04-13,92
2020-04-14,88
2020-04-15,91
2020-04-16,85
2020-04-17,87
2020-04-18,92
2020-04-19,93
2020-04-20,92
2020-04-21,91
2020-04-22,94
2020-04-23,90
2020-04-24,92
2020-04-25,84
2020-04-26,86
2020-04-27,89
2020-04-28,90
2020-04-29,90
2020-04-30,93
2020-05-01,90
2020-05-02,90
2020-05-03,93
2020-05-04,89
2020-05-05,92
2020-05-06,88
2020-05-07,85
2020-05-08,88
2020-05-09,88
2020-05-10,93
2020-05-11,89
2020-05-12,90
2020-05-13,91
2020-05-14,89
2020-05-15,87
2020-05-16,90
2020-05-17,91
2020-05-18,91
2020-05-19,87
2020-05-20,89
2020-05-21,91
2020-05-22,90
2020-05-23,84
2020-05-24,88
2020-05-25,87
2020-05-26,90
2020-05-27,91
2020-05-28,88
2020-05-29,87
2020-05-30,91
2020-05-31,90
2020-06-01,93
2020-06-02,86
2020-06-03,100
2020-06-04,88
2020-06-05,85
2020-06-06,92
2020-06-07,88
2020-06-08,82
2020-06-09,92
2020-06-10,90
2020-06-11,87
2020-06-12,85
2020-06-13,89
2020-06-14,86
2020-06-15,89
2020-06-16,88
2020-06-17,89
2020-06-18,86
2020-06-19,82
2020-06-20,91
2020-06-21,88
2020-06-22,88
2020-06-23,89
2020-06-24,85
2020-06-25,82
2020-06-26,84
2020-06-27,84
2020-06-28,93
2020-06-29,87
2020-06-30,81
2020-07-01,88
2020-07-02,86
2020-07-03,83
2020-07-04,94
2020-07-05,92
2020-07-06,84
2020-07-07,89
2020-07-08,90
2020-07-09,91
2020-07-10,84
2020-07-11,89
2020-07-12,87
2020-07-13,82
2020-07-14,91
2020-07-15,89
2020-07-16,87
2020-07-17,83
2020-07-18,91
2020-07-19,90
2020-07-20,88
2020-07-21,89
2020-07-22,83
2020-07-23,88
2020-07-24,87
2020-07-25,90
2020-07-26,87
2020-07-27,90
2020-07-28,89
2020-07-29,88
2020-07-30,89
2020-07-31,87
2020-08-01,89
2020-08-02,88
2020-08-03,84
2020-08-04,87
2020-08-05,89
2020-08-06,87
2020-08-07,87
2020-08-08,94
2020-08-09,88
2020-08-10,85
2020-08-11,87
2020-08-12,86
2020-08-13,85
2020-08-14,82
2020-08-15,90
2020-08-16,91
2020-08-17,90
2020-08-18,90
2020-08-19,100
2020-08-20,90
2020-08-21,86
2020-08-22,89
2020-08-23,87
2020-08-24,88
2020-08-25,90
2020-08-26,84
2020-08-27,89
2020-08-28,85
2020-08-29,82
2020-08-30,90
2020-08-31,84
2020-09-01,86
2020-09-02,89
2020-09-03,89
2020-09-04,82
2020-09-05,94
2020-09-06,91
2020-09-07,93
2020-09-08,91
2020-09-09,90
2020-09-10,89
2020-09-11,82
2020-09-12,90
2020-09-13,91
2020-09-14,88
2020-09-15,89
2020-09-16,94
2020-09-17,92
2020-09-18,86
2020-09-19,96
2020-09-20,91
2020-09-21,88
2020-09-22,89
2020-09-23,91
2020-09-24,85
2020-09-25,80
2020-09-26,86
2020-09-27,84
2020-09-28,91
2020-09-29,84
2020-09-30,86
