date,/m/01t5c7_0,/m/01t5c7,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,19.0,19.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,21.0,21.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,22.0,22.0,1
2021-02-14,22.0,22.0,1
2021-02-15,38.0,38.0,1
2021-02-16,40.0,40.0,1
2021-02-17,0.0,0.0,1
2021-02-18,20.0,20.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,48.0,48.0,1
2021-02-22,37.0,37.0,1
2021-02-23,0.0,0.0,1
2021-02-24,40.0,40.0,1
2021-02-25,40.0,40.0,1
2021-02-26,20.0,20.0,1
2021-02-27,45.0,45.0,1
2021-02-28,0.0,0.0,1
2021-03-01,78.0,78.0,1
2021-03-02,0.0,0.0,1
2021-03-03,20.0,20.0,1
2021-03-04,0.0,0.0,1
2021-03-05,20.0,20.0,1
2021-03-06,45.0,45.0,1
2021-03-07,22.0,22.0,1
2021-03-08,0.0,0.0,1
2021-03-09,19.0,19.0,1
2021-03-10,0.0,0.0,1
2021-03-11,39.0,39.0,1
2021-03-12,100.0,100.0,1
2021-03-13,42.0,42.0,1
2021-03-14,21.0,21.0,1
2021-03-15,30.0,30.0,1
2021-03-16,50.0,50.0,1
2021-03-17,39.0,39.0,1
2021-03-18,20.0,20.0,1
2021-03-19,0.0,0.0,1
2021-03-20,23.0,23.0,1
2021-03-21,21.0,21.0,1
2021-03-22,39.0,39.0,1
2021-03-23,39.0,39.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,21.0,21.0,1
2021-03-27,22.0,22.0,1
2021-03-28,23.0,23.0,1
2021-03-29,0.0,0.0,1
2021-03-30,21.0,21.0,1
2021-03-31,0.0,0.0,1
2021-04-01,21.0,21.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,19.0,19.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,20.0,20.0,1
2021-04-10,20.0,20.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,19.0,19.0,1
2021-04-20,20.0,20.0,1
2021-04-21,0.0,0.0,1
2021-04-22,41.0,41.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,19.0,19.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,43.0,43.0,1
2021-05-03,0.0,0.0,1
2021-05-04,36.0,36.0,1
2021-05-05,19.0,19.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,44.0,44.0,1
2021-05-09,23.0,23.0,1
2021-05-10,19.0,19.0,1
2021-05-11,0.0,0.0,1
2021-05-12,20.0,20.0,1
2021-05-13,21.0,21.0,1
2021-05-14,0.0,0.0,1
