date,/m/01b4_q
2020-02-01,21
2020-02-02,20
2020-02-03,26
2020-02-04,39
2020-02-05,20
2020-02-06,0
2020-02-07,0
2020-02-08,42
2020-02-09,19
2020-02-10,19
2020-02-11,19
2020-02-12,0
2020-02-13,30
2020-02-14,0
2020-02-15,21
2020-02-16,0
2020-02-17,0
2020-02-18,38
2020-02-19,19
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,20
2020-02-24,28
2020-02-25,19
2020-02-26,27
2020-02-27,46
2020-02-28,19
2020-02-29,31
2020-03-01,58
2020-03-02,37
2020-03-03,48
2020-03-04,48
2020-03-05,39
2020-03-06,68
2020-03-07,21
2020-03-08,19
2020-03-09,37
2020-03-10,46
2020-03-11,73
2020-03-12,27
2020-03-13,69
2020-03-14,100
2020-03-15,50
2020-03-16,35
2020-03-17,44
2020-03-18,18
2020-03-19,54
2020-03-20,59
2020-03-21,85
2020-03-22,77
2020-03-23,48
2020-03-24,69
2020-03-25,18
2020-03-26,52
2020-03-27,56
2020-03-28,84
2020-03-29,54
2020-03-30,16
2020-03-31,32
2020-04-01,25
2020-04-02,57
2020-04-03,57
2020-04-04,29
2020-04-05,41
2020-04-06,33
2020-04-07,51
2020-04-08,70
2020-04-09,53
2020-04-10,36
2020-04-11,78
2020-04-12,38
2020-04-13,67
2020-04-14,16
2020-04-15,34
2020-04-16,52
2020-04-17,43
2020-04-18,43
2020-04-19,26
2020-04-20,49
2020-04-21,42
2020-04-22,43
2020-04-23,42
2020-04-24,42
2020-04-25,38
2020-04-26,39
2020-04-27,26
2020-04-28,47
2020-04-29,24
2020-04-30,30
2020-05-01,16
2020-05-02,34
2020-05-03,27
2020-05-04,0
2020-05-05,23
2020-05-06,33
2020-05-07,52
2020-05-08,26
2020-05-09,38
2020-05-10,18
2020-05-11,0
2020-05-12,17
2020-05-13,17
2020-05-14,0
2020-05-15,35
2020-05-16,29
2020-05-17,20
2020-05-18,26
2020-05-19,17
2020-05-20,35
2020-05-21,19
2020-05-22,17
2020-05-23,53
2020-05-24,18
2020-05-25,32
2020-05-26,0
2020-05-27,17
2020-05-28,34
2020-05-29,18
2020-05-30,0
2020-05-31,20
