date,/m/0h5dw_0,/m/0h5dw,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,14.0,14.0,1
2021-02-03,28.0,28.0,1
2021-02-04,30.0,30.0,1
2021-02-05,44.0,44.0,1
2021-02-06,0.0,0.0,1
2021-02-07,47.0,47.0,1
2021-02-08,0.0,0.0,1
2021-02-09,15.0,15.0,1
2021-02-10,29.0,29.0,1
2021-02-11,59.0,59.0,1
2021-02-12,75.0,75.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,29.0,29.0,1
2021-02-16,45.0,45.0,1
2021-02-17,44.0,44.0,1
2021-02-18,29.0,29.0,1
2021-02-19,31.0,31.0,1
2021-02-20,18.0,18.0,1
2021-02-21,36.0,36.0,1
2021-02-22,83.0,83.0,1
2021-02-23,30.0,30.0,1
2021-02-24,45.0,45.0,1
2021-02-25,30.0,30.0,1
2021-02-26,0.0,0.0,1
2021-02-27,34.0,34.0,1
2021-02-28,0.0,0.0,1
2021-03-01,29.0,29.0,1
2021-03-02,30.0,30.0,1
2021-03-03,15.0,15.0,1
2021-03-04,29.0,29.0,1
2021-03-05,31.0,31.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,15.0,15.0,1
2021-03-09,57.0,57.0,1
2021-03-10,29.0,29.0,1
2021-03-11,0.0,0.0,1
2021-03-12,15.0,15.0,1
2021-03-13,16.0,16.0,1
2021-03-14,15.0,15.0,1
2021-03-15,34.0,34.0,1
2021-03-16,38.0,38.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,31.0,31.0,1
2021-03-20,34.0,34.0,1
2021-03-21,48.0,48.0,1
2021-03-22,15.0,15.0,1
2021-03-23,0.0,0.0,1
2021-03-24,15.0,15.0,1
2021-03-25,30.0,30.0,1
2021-03-26,31.0,31.0,1
2021-03-27,16.0,16.0,1
2021-03-28,17.0,17.0,1
2021-03-29,15.0,15.0,1
2021-03-30,32.0,32.0,1
2021-03-31,65.0,65.0,1
2021-04-01,46.0,46.0,1
2021-04-02,16.0,16.0,1
2021-04-03,0.0,0.0,1
2021-04-04,17.0,17.0,1
2021-04-05,15.0,15.0,1
2021-04-06,14.0,14.0,1
2021-04-07,29.0,29.0,1
2021-04-08,45.0,45.0,1
2021-04-09,15.0,15.0,1
2021-04-10,15.0,15.0,1
2021-04-11,16.0,16.0,1
2021-04-12,43.0,43.0,1
2021-04-13,15.0,15.0,1
2021-04-14,15.0,15.0,1
2021-04-15,30.0,30.0,1
2021-04-16,47.0,47.0,1
2021-04-17,17.0,17.0,1
2021-04-18,0.0,0.0,1
2021-04-19,14.0,14.0,1
2021-04-20,30.0,30.0,1
2021-04-21,45.0,45.0,1
2021-04-22,0.0,0.0,1
2021-04-23,32.0,32.0,1
2021-04-24,35.0,35.0,1
2021-04-25,17.0,17.0,1
2021-04-26,0.0,0.0,1
2021-04-27,15.0,15.0,1
2021-04-28,15.0,15.0,1
2021-04-29,0.0,0.0,1
2021-04-30,59.0,59.0,1
2021-05-01,16.0,16.0,1
2021-05-02,0.0,0.0,1
2021-05-03,28.0,28.0,1
2021-05-04,27.0,27.0,1
2021-05-05,70.0,70.0,1
2021-05-06,29.0,29.0,1
2021-05-07,30.0,30.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,43.0,43.0,1
2021-05-11,28.0,28.0,1
2021-05-12,29.0,29.0,1
2021-05-13,62.0,62.0,1
2021-05-14,32.0,32.0,1
