date,/m/07clx
2020-02-01,53
2020-02-02,67
2020-02-03,41
2020-02-04,62
2020-02-05,68
2020-02-06,70
2020-02-07,72
2020-02-08,72
2020-02-09,64
2020-02-10,32
2020-02-11,91
2020-02-12,66
2020-02-13,42
2020-02-14,75
2020-02-15,86
2020-02-16,70
2020-02-17,98
2020-02-18,53
2020-02-19,74
2020-02-20,76
2020-02-21,27
2020-02-22,64
2020-02-23,69
2020-02-24,56
2020-02-25,73
2020-02-26,77
2020-02-27,55
2020-02-28,76
2020-02-29,43
2020-03-01,66
2020-03-02,83
2020-03-03,94
2020-03-04,61
2020-03-05,25
2020-03-06,62
2020-03-07,58
2020-03-08,41
2020-03-09,43
2020-03-10,43
2020-03-11,50
2020-03-12,34
2020-03-13,50
2020-03-14,60
2020-03-15,30
2020-03-16,41
2020-03-17,42
2020-03-18,42
2020-03-19,45
2020-03-20,43
2020-03-21,56
2020-03-22,50
2020-03-23,54
2020-03-24,59
2020-03-25,45
2020-03-26,44
2020-03-27,62
2020-03-28,72
2020-03-29,79
2020-03-30,100
2020-03-31,48
2020-04-01,39
2020-04-02,52
2020-04-03,45
2020-04-04,58
2020-04-05,47
2020-04-06,50
2020-04-07,48
2020-04-08,63
2020-04-09,38
2020-04-10,53
2020-04-11,41
2020-04-12,41
2020-04-13,79
2020-04-14,59
2020-04-15,40
2020-04-16,49
2020-04-17,70
2020-04-18,77
2020-04-19,90
2020-04-20,35
2020-04-21,62
2020-04-22,59
2020-04-23,39
2020-04-24,64
2020-04-25,52
2020-04-26,63
2020-04-27,33
2020-04-28,74
2020-04-29,44
2020-04-30,46
2020-05-01,56
2020-05-02,72
2020-05-03,76
2020-05-04,75
2020-05-05,36
2020-05-06,61
2020-05-07,45
2020-05-08,71
2020-05-09,57
2020-05-10,46
2020-05-11,45
2020-05-12,56
2020-05-13,56
2020-05-14,36
2020-05-15,71
2020-05-16,53
2020-05-17,76
2020-05-18,44
2020-05-19,48
2020-05-20,30
2020-05-21,46
2020-05-22,60
2020-05-23,68
2020-05-24,60
2020-05-25,63
2020-05-26,55
2020-05-27,29
2020-05-28,61
2020-05-29,49
2020-05-30,62
2020-05-31,59
