date,/m/018l35
2020-02-01,34
2020-02-02,47
2020-02-03,81
2020-02-04,47
2020-02-05,41
2020-02-06,54
2020-02-07,63
2020-02-08,23
2020-02-09,34
2020-02-10,68
2020-02-11,52
2020-02-12,30
2020-02-13,55
2020-02-14,40
2020-02-15,26
2020-02-16,37
2020-02-17,46
2020-02-18,48
2020-02-19,62
2020-02-20,53
2020-02-21,60
2020-02-22,38
2020-02-23,58
2020-02-24,48
2020-02-25,48
2020-02-26,46
2020-02-27,31
2020-02-28,56
2020-02-29,27
2020-03-01,60
2020-03-02,46
2020-03-03,60
2020-03-04,60
2020-03-05,60
2020-03-06,47
2020-03-07,33
2020-03-08,39
2020-03-09,20
2020-03-10,51
2020-03-11,35
2020-03-12,35
2020-03-13,61
2020-03-14,63
2020-03-15,45
2020-03-16,65
2020-03-17,100
2020-03-18,74
2020-03-19,82
2020-03-20,53
2020-03-21,77
2020-03-22,60
2020-03-23,78
2020-03-24,54
2020-03-25,57
2020-03-26,62
2020-03-27,56
2020-03-28,41
2020-03-29,28
2020-03-30,42
2020-03-31,29
2020-04-01,48
2020-04-02,31
2020-04-03,45
2020-04-04,46
2020-04-05,24
2020-04-06,56
2020-04-07,58
2020-04-08,23
2020-04-09,49
2020-04-10,56
2020-04-11,47
2020-04-12,34
2020-04-13,49
2020-04-14,35
2020-04-15,41
2020-04-16,42
2020-04-17,46
2020-04-18,40
2020-04-19,31
2020-04-20,43
2020-04-21,44
2020-04-22,38
2020-04-23,43
2020-04-24,18
2020-04-25,32
2020-04-26,33
2020-04-27,47
2020-04-28,49
2020-04-29,46
2020-04-30,33
2020-05-01,28
2020-05-02,39
2020-05-03,41
2020-05-04,37
2020-05-05,31
2020-05-06,24
2020-05-07,57
2020-05-08,40
2020-05-09,30
2020-05-10,28
2020-05-11,37
2020-05-12,18
2020-05-13,44
2020-05-14,36
2020-05-15,32
2020-05-16,37
2020-05-17,41
2020-05-18,35
2020-05-19,43
2020-05-20,38
2020-05-21,42
2020-05-22,36
2020-05-23,23
2020-05-24,36
2020-05-25,39
2020-05-26,37
2020-05-27,25
2020-05-28,27
2020-05-29,36
2020-05-30,49
2020-05-31,26
