date,/m/08l63y_0,/m/08l63y,batch_id
2021-02-01,79.0,79.0,1
2021-02-02,79.0,79.0,1
2021-02-03,40.0,40.0,1
2021-02-04,0.0,0.0,1
2021-02-05,21.0,21.0,1
2021-02-06,22.0,22.0,1
2021-02-07,22.0,22.0,1
2021-02-08,59.0,59.0,1
2021-02-09,61.0,61.0,1
2021-02-10,0.0,0.0,1
2021-02-11,20.0,20.0,1
2021-02-12,21.0,21.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,42.0,42.0,1
2021-02-17,0.0,0.0,1
2021-02-18,41.0,41.0,1
2021-02-19,0.0,0.0,1
2021-02-20,25.0,25.0,1
2021-02-21,0.0,0.0,1
2021-02-22,19.0,19.0,1
2021-02-23,42.0,42.0,1
2021-02-24,63.0,63.0,1
2021-02-25,21.0,21.0,1
2021-02-26,42.0,42.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,20.0,20.0,1
2021-03-02,21.0,21.0,1
2021-03-03,42.0,42.0,1
2021-03-04,20.0,20.0,1
2021-03-05,21.0,21.0,1
2021-03-06,47.0,47.0,1
2021-03-07,23.0,23.0,1
2021-03-08,20.0,20.0,1
2021-03-09,0.0,0.0,1
2021-03-10,0.0,0.0,1
2021-03-11,20.0,20.0,1
2021-03-12,21.0,21.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,63.0,63.0,1
2021-03-16,52.0,52.0,1
2021-03-17,20.0,20.0,1
2021-03-18,41.0,41.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,40.0,40.0,1
2021-03-23,40.0,40.0,1
2021-03-24,0.0,0.0,1
2021-03-25,21.0,21.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,21.0,21.0,1
2021-03-30,44.0,44.0,1
2021-03-31,45.0,45.0,1
2021-04-01,43.0,43.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,24.0,24.0,1
2021-04-05,0.0,0.0,1
2021-04-06,58.0,58.0,1
2021-04-07,100.0,100.0,1
2021-04-08,62.0,62.0,1
2021-04-09,21.0,21.0,1
2021-04-10,21.0,21.0,1
2021-04-11,22.0,22.0,1
2021-04-12,0.0,0.0,1
2021-04-13,42.0,42.0,1
2021-04-14,0.0,0.0,1
2021-04-15,42.0,42.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,21.0,21.0,1
2021-04-21,42.0,42.0,1
2021-04-22,42.0,42.0,1
2021-04-23,22.0,22.0,1
2021-04-24,0.0,0.0,1
2021-04-25,23.0,23.0,1
2021-04-26,20.0,20.0,1
2021-04-27,42.0,42.0,1
2021-04-28,21.0,21.0,1
2021-04-29,20.0,20.0,1
2021-04-30,41.0,41.0,1
2021-05-01,0.0,0.0,1
2021-05-02,22.0,22.0,1
2021-05-03,40.0,40.0,1
2021-05-04,0.0,0.0,1
2021-05-05,58.0,58.0,1
2021-05-06,20.0,20.0,1
2021-05-07,21.0,21.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,20.0,20.0,1
2021-05-11,20.0,20.0,1
2021-05-12,0.0,0.0,1
2021-05-13,21.0,21.0,1
2021-05-14,22.0,22.0,1
