date,/m/0135vc
2020-02-01,36
2020-02-02,34
2020-02-03,30
2020-02-04,51
2020-02-05,52
2020-02-06,35
2020-02-07,73
2020-02-08,37
2020-02-09,65
2020-02-10,49
2020-02-11,0
2020-02-12,34
2020-02-13,34
2020-02-14,36
2020-02-15,56
2020-02-16,51
2020-02-17,33
2020-02-18,0
2020-02-19,0
2020-02-20,52
2020-02-21,0
2020-02-22,56
2020-02-23,35
2020-02-24,66
2020-02-25,0
2020-02-26,32
2020-02-27,48
2020-02-28,34
2020-02-29,71
2020-03-01,100
2020-03-02,0
2020-03-03,44
2020-03-04,66
2020-03-05,33
2020-03-06,34
2020-03-07,0
2020-03-08,34
2020-03-09,64
2020-03-10,32
2020-03-11,63
2020-03-12,31
2020-03-13,34
2020-03-14,35
2020-03-15,35
2020-03-16,0
2020-03-17,31
2020-03-18,31
2020-03-19,31
2020-03-20,58
2020-03-21,33
2020-03-22,34
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,30
2020-03-27,42
2020-03-28,33
2020-03-29,42
2020-03-30,83
2020-03-31,28
2020-04-01,58
2020-04-02,47
2020-04-03,29
2020-04-04,33
2020-04-05,35
2020-04-06,0
2020-04-07,44
2020-04-08,51
2020-04-09,60
2020-04-10,62
2020-04-11,34
2020-04-12,50
2020-04-13,44
2020-04-14,29
2020-04-15,30
2020-04-16,40
2020-04-17,30
2020-04-18,60
2020-04-19,50
2020-04-20,28
2020-04-21,88
2020-04-22,30
2020-04-23,0
2020-04-24,44
2020-04-25,33
2020-04-26,34
2020-04-27,0
2020-04-28,0
2020-04-29,55
2020-04-30,27
2020-05-01,56
2020-05-02,44
2020-05-03,47
2020-05-04,27
2020-05-05,40
2020-05-06,29
2020-05-07,30
2020-05-08,46
2020-05-09,33
2020-05-10,31
2020-05-11,53
2020-05-12,0
2020-05-13,43
2020-05-14,30
2020-05-15,46
2020-05-16,51
2020-05-17,70
2020-05-18,59
2020-05-19,0
2020-05-20,0
2020-05-21,34
2020-05-22,29
2020-05-23,61
2020-05-24,46
2020-05-25,28
2020-05-26,89
2020-05-27,44
2020-05-28,29
2020-05-29,61
2020-05-30,34
2020-05-31,46
