date,/m/01_wxr_0,/m/01_wxr,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,50.0,50.0,1
2021-02-03,0.0,0.0,1
2021-02-04,35.0,35.0,1
2021-02-05,0.0,0.0,1
2021-02-06,18.0,18.0,1
2021-02-07,73.0,73.0,1
2021-02-08,0.0,0.0,1
2021-02-09,34.0,34.0,1
2021-02-10,50.0,50.0,1
2021-02-11,34.0,34.0,1
2021-02-12,0.0,0.0,1
2021-02-13,39.0,39.0,1
2021-02-14,19.0,19.0,1
2021-02-15,17.0,17.0,1
2021-02-16,35.0,35.0,1
2021-02-17,17.0,17.0,1
2021-02-18,51.0,51.0,1
2021-02-19,72.0,72.0,1
2021-02-20,20.0,20.0,1
2021-02-21,62.0,62.0,1
2021-02-22,16.0,16.0,1
2021-02-23,87.0,87.0,1
2021-02-24,52.0,52.0,1
2021-02-25,35.0,35.0,1
2021-02-26,0.0,0.0,1
2021-02-27,39.0,39.0,1
2021-02-28,0.0,0.0,1
2021-03-01,84.0,84.0,1
2021-03-02,69.0,69.0,1
2021-03-03,0.0,0.0,1
2021-03-04,17.0,17.0,1
2021-03-05,18.0,18.0,1
2021-03-06,0.0,0.0,1
2021-03-07,19.0,19.0,1
2021-03-08,34.0,34.0,1
2021-03-09,33.0,33.0,1
2021-03-10,17.0,17.0,1
2021-03-11,68.0,68.0,1
2021-03-12,35.0,35.0,1
2021-03-13,36.0,36.0,1
2021-03-14,71.0,71.0,1
2021-03-15,26.0,26.0,1
2021-03-16,29.0,29.0,1
2021-03-17,67.0,67.0,1
2021-03-18,17.0,17.0,1
2021-03-19,71.0,71.0,1
2021-03-20,79.0,79.0,1
2021-03-21,18.0,18.0,1
2021-03-22,67.0,67.0,1
2021-03-23,67.0,67.0,1
2021-03-24,50.0,50.0,1
2021-03-25,52.0,52.0,1
2021-03-26,54.0,54.0,1
2021-03-27,0.0,0.0,1
2021-03-28,100.0,100.0,1
2021-03-29,18.0,18.0,1
2021-03-30,73.0,73.0,1
2021-03-31,38.0,38.0,1
2021-04-01,18.0,18.0,1
2021-04-02,18.0,18.0,1
2021-04-03,0.0,0.0,1
2021-04-04,20.0,20.0,1
2021-04-05,0.0,0.0,1
2021-04-06,0.0,0.0,1
2021-04-07,50.0,50.0,1
2021-04-08,52.0,52.0,1
2021-04-09,18.0,18.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,66.0,66.0,1
2021-04-13,17.0,17.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,18.0,18.0,1
2021-04-17,20.0,20.0,1
2021-04-18,20.0,20.0,1
2021-04-19,17.0,17.0,1
2021-04-20,17.0,17.0,1
2021-04-21,17.0,17.0,1
2021-04-22,18.0,18.0,1
2021-04-23,37.0,37.0,1
2021-04-24,0.0,0.0,1
2021-04-25,39.0,39.0,1
2021-04-26,34.0,34.0,1
2021-04-27,17.0,17.0,1
2021-04-28,17.0,17.0,1
2021-04-29,50.0,50.0,1
2021-04-30,17.0,17.0,1
2021-05-01,37.0,37.0,1
2021-05-02,37.0,37.0,1
2021-05-03,16.0,16.0,1
2021-05-04,16.0,16.0,1
2021-05-05,64.0,64.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,19.0,19.0,1
2021-05-09,20.0,20.0,1
2021-05-10,17.0,17.0,1
2021-05-11,16.0,16.0,1
2021-05-12,51.0,51.0,1
2021-05-13,0.0,0.0,1
2021-05-14,18.0,18.0,1
