date,/m/013677_0,/m/013677,batch_id
2021-02-01,13.0,13.0,1
2021-02-02,50.0,50.0,1
2021-02-03,13.0,13.0,1
2021-02-04,40.0,40.0,1
2021-02-05,52.0,52.0,1
2021-02-06,28.0,28.0,1
2021-02-07,28.0,28.0,1
2021-02-08,38.0,38.0,1
2021-02-09,64.0,64.0,1
2021-02-10,50.0,50.0,1
2021-02-11,26.0,26.0,1
2021-02-12,26.0,26.0,1
2021-02-13,59.0,59.0,1
2021-02-14,44.0,44.0,1
2021-02-15,13.0,13.0,1
2021-02-16,79.0,79.0,1
2021-02-17,39.0,39.0,1
2021-02-18,26.0,26.0,1
2021-02-19,14.0,14.0,1
2021-02-20,31.0,31.0,1
2021-02-21,47.0,47.0,1
2021-02-22,61.0,61.0,1
2021-02-23,13.0,13.0,1
2021-02-24,53.0,53.0,1
2021-02-25,0.0,0.0,1
2021-02-26,53.0,53.0,1
2021-02-27,89.0,89.0,1
2021-02-28,29.0,29.0,1
2021-03-01,51.0,51.0,1
2021-03-02,66.0,66.0,1
2021-03-03,53.0,53.0,1
2021-03-04,13.0,13.0,1
2021-03-05,54.0,54.0,1
2021-03-06,45.0,45.0,1
2021-03-07,14.0,14.0,1
2021-03-08,39.0,39.0,1
2021-03-09,38.0,38.0,1
2021-03-10,39.0,39.0,1
2021-03-11,26.0,26.0,1
2021-03-12,0.0,0.0,1
2021-03-13,42.0,42.0,1
2021-03-14,54.0,54.0,1
2021-03-15,40.0,40.0,1
2021-03-16,100.0,100.0,1
2021-03-17,26.0,26.0,1
2021-03-18,26.0,26.0,1
2021-03-19,0.0,0.0,1
2021-03-20,30.0,30.0,1
2021-03-21,42.0,42.0,1
2021-03-22,51.0,51.0,1
2021-03-23,64.0,64.0,1
2021-03-24,13.0,13.0,1
2021-03-25,40.0,40.0,1
2021-03-26,0.0,0.0,1
2021-03-27,71.0,71.0,1
2021-03-28,31.0,31.0,1
2021-03-29,27.0,27.0,1
2021-03-30,28.0,28.0,1
2021-03-31,14.0,14.0,1
2021-04-01,55.0,55.0,1
2021-04-02,0.0,0.0,1
2021-04-03,30.0,30.0,1
2021-04-04,30.0,30.0,1
2021-04-05,80.0,80.0,1
2021-04-06,37.0,37.0,1
2021-04-07,13.0,13.0,1
2021-04-08,66.0,66.0,1
2021-04-09,94.0,94.0,1
2021-04-10,13.0,13.0,1
2021-04-11,0.0,0.0,1
2021-04-12,25.0,25.0,1
2021-04-13,13.0,13.0,1
2021-04-14,52.0,52.0,1
2021-04-15,26.0,26.0,1
2021-04-16,69.0,69.0,1
2021-04-17,15.0,15.0,1
2021-04-18,60.0,60.0,1
2021-04-19,38.0,38.0,1
2021-04-20,52.0,52.0,1
2021-04-21,27.0,27.0,1
2021-04-22,0.0,0.0,1
2021-04-23,14.0,14.0,1
2021-04-24,78.0,78.0,1
2021-04-25,15.0,15.0,1
2021-04-26,26.0,26.0,1
2021-04-27,53.0,53.0,1
2021-04-28,66.0,66.0,1
2021-04-29,0.0,0.0,1
2021-04-30,65.0,65.0,1
2021-05-01,14.0,14.0,1
2021-05-02,85.0,85.0,1
2021-05-03,25.0,25.0,1
2021-05-04,36.0,36.0,1
2021-05-05,12.0,12.0,1
2021-05-06,77.0,77.0,1
2021-05-07,40.0,40.0,1
2021-05-08,29.0,29.0,1
2021-05-09,46.0,46.0,1
2021-05-10,51.0,51.0,1
2021-05-11,62.0,62.0,1
2021-05-12,0.0,0.0,1
2021-05-13,55.0,55.0,1
2021-05-14,28.0,28.0,1
