date,/m/03dcyh
2020-02-01,40
2020-02-02,38
2020-02-03,33
2020-02-04,38
2020-02-05,58
2020-02-06,80
2020-02-07,0
2020-02-08,41
2020-02-09,36
2020-02-10,36
2020-02-11,0
2020-02-12,37
2020-02-13,38
2020-02-14,40
2020-02-15,42
2020-02-16,0
2020-02-17,56
2020-02-18,74
2020-02-19,55
2020-02-20,38
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,36
2020-02-25,36
2020-02-26,35
2020-02-27,0
2020-02-28,0
2020-02-29,78
2020-03-01,38
2020-03-02,35
2020-03-03,37
2020-03-04,0
2020-03-05,38
2020-03-06,38
2020-03-07,40
2020-03-08,56
2020-03-09,36
2020-03-10,72
2020-03-11,35
2020-03-12,34
2020-03-13,76
2020-03-14,58
2020-03-15,58
2020-03-16,0
2020-03-17,34
2020-03-18,52
2020-03-19,52
2020-03-20,66
2020-03-21,0
2020-03-22,37
2020-03-23,61
2020-03-24,100
2020-03-25,68
2020-03-26,67
2020-03-27,52
2020-03-28,36
2020-03-29,70
2020-03-30,31
2020-03-31,47
2020-04-01,48
2020-04-02,42
2020-04-03,32
2020-04-04,75
2020-04-05,39
2020-04-06,32
2020-04-07,50
2020-04-08,68
2020-04-09,51
2020-04-10,52
2020-04-11,38
2020-04-12,37
2020-04-13,33
2020-04-14,48
2020-04-15,44
2020-04-16,34
2020-04-17,0
2020-04-18,33
2020-04-19,34
2020-04-20,31
2020-04-21,0
2020-04-22,33
2020-04-23,33
2020-04-24,33
2020-04-25,37
2020-04-26,38
2020-04-27,32
2020-04-28,0
2020-04-29,0
2020-04-30,50
2020-05-01,32
2020-05-02,33
2020-05-03,35
2020-05-04,30
2020-05-05,29
2020-05-06,33
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,35
2020-05-11,0
2020-05-12,0
2020-05-13,32
2020-05-14,32
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,34
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,34
2020-05-25,0
2020-05-26,0
2020-05-27,33
2020-05-28,0
2020-05-29,35
2020-05-30,0
2020-05-31,0
