date,/m/0cnq0_0,/m/0cnq0,batch_id
2021-02-01,13.0,13.0,1
2021-02-02,0.0,0.0,1
2021-02-03,13.0,13.0,1
2021-02-04,14.0,14.0,1
2021-02-05,0.0,0.0,1
2021-02-06,44.0,44.0,1
2021-02-07,44.0,44.0,1
2021-02-08,13.0,13.0,1
2021-02-09,0.0,0.0,1
2021-02-10,40.0,40.0,1
2021-02-11,0.0,0.0,1
2021-02-12,28.0,28.0,1
2021-02-13,16.0,16.0,1
2021-02-14,0.0,0.0,1
2021-02-15,53.0,53.0,1
2021-02-16,14.0,14.0,1
2021-02-17,14.0,14.0,1
2021-02-18,14.0,14.0,1
2021-02-19,15.0,15.0,1
2021-02-20,99.0,99.0,1
2021-02-21,100.0,100.0,1
2021-02-22,39.0,39.0,1
2021-02-23,70.0,70.0,1
2021-02-24,28.0,28.0,1
2021-02-25,70.0,70.0,1
2021-02-26,28.0,28.0,1
2021-02-27,16.0,16.0,1
2021-02-28,45.0,45.0,1
2021-03-01,68.0,68.0,1
2021-03-02,0.0,0.0,1
2021-03-03,28.0,28.0,1
2021-03-04,27.0,27.0,1
2021-03-05,29.0,29.0,1
2021-03-06,32.0,32.0,1
2021-03-07,30.0,30.0,1
2021-03-08,27.0,27.0,1
2021-03-09,0.0,0.0,1
2021-03-10,41.0,41.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,44.0,44.0,1
2021-03-14,58.0,58.0,1
2021-03-15,21.0,21.0,1
2021-03-16,12.0,12.0,1
2021-03-17,95.0,95.0,1
2021-03-18,14.0,14.0,1
2021-03-19,0.0,0.0,1
2021-03-20,16.0,16.0,1
2021-03-21,30.0,30.0,1
2021-03-22,27.0,27.0,1
2021-03-23,14.0,14.0,1
2021-03-24,0.0,0.0,1
2021-03-25,14.0,14.0,1
2021-03-26,14.0,14.0,1
2021-03-27,60.0,60.0,1
2021-03-28,16.0,16.0,1
2021-03-29,85.0,85.0,1
2021-03-30,59.0,59.0,1
2021-03-31,46.0,46.0,1
2021-04-01,43.0,43.0,1
2021-04-02,59.0,59.0,1
2021-04-03,32.0,32.0,1
2021-04-04,64.0,64.0,1
2021-04-05,57.0,57.0,1
2021-04-06,26.0,26.0,1
2021-04-07,13.0,13.0,1
2021-04-08,14.0,14.0,1
2021-04-09,28.0,28.0,1
2021-04-10,28.0,28.0,1
2021-04-11,29.0,29.0,1
2021-04-12,26.0,26.0,1
2021-04-13,42.0,42.0,1
2021-04-14,68.0,68.0,1
2021-04-15,0.0,0.0,1
2021-04-16,44.0,44.0,1
2021-04-17,32.0,32.0,1
2021-04-18,32.0,32.0,1
2021-04-19,27.0,27.0,1
2021-04-20,41.0,41.0,1
2021-04-21,56.0,56.0,1
2021-04-22,57.0,57.0,1
2021-04-23,44.0,44.0,1
2021-04-24,49.0,49.0,1
2021-04-25,31.0,31.0,1
2021-04-26,41.0,41.0,1
2021-04-27,28.0,28.0,1
2021-04-28,84.0,84.0,1
2021-04-29,54.0,54.0,1
2021-04-30,41.0,41.0,1
2021-05-01,30.0,30.0,1
2021-05-02,15.0,15.0,1
2021-05-03,53.0,53.0,1
2021-05-04,38.0,38.0,1
2021-05-05,13.0,13.0,1
2021-05-06,13.0,13.0,1
2021-05-07,98.0,98.0,1
2021-05-08,76.0,76.0,1
2021-05-09,33.0,33.0,1
2021-05-10,54.0,54.0,1
2021-05-11,13.0,13.0,1
2021-05-12,41.0,41.0,1
2021-05-13,29.0,29.0,1
2021-05-14,0.0,0.0,1
