date,/g/11fd6db9f8_0,/g/11fd6db9f8,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,9.0,9.0,1
2021-02-03,35.0,35.0,1
2021-02-04,18.0,18.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,9.0,9.0,1
2021-02-09,81.0,81.0,1
2021-02-10,62.0,62.0,1
2021-02-11,100.0,100.0,1
2021-02-12,18.0,18.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,18.0,18.0,1
2021-02-16,9.0,9.0,1
2021-02-17,36.0,36.0,1
2021-02-18,18.0,18.0,1
2021-02-19,10.0,10.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,9.0,9.0,1
2021-02-24,28.0,28.0,1
2021-02-25,19.0,19.0,1
2021-02-26,9.0,9.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,9.0,9.0,1
2021-03-02,19.0,19.0,1
2021-03-03,9.0,9.0,1
2021-03-04,9.0,9.0,1
2021-03-05,9.0,9.0,1
2021-03-06,10.0,10.0,1
2021-03-07,10.0,10.0,1
2021-03-08,0.0,0.0,1
2021-03-09,9.0,9.0,1
2021-03-10,0.0,0.0,1
2021-03-11,27.0,27.0,1
2021-03-12,9.0,9.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,7.0,7.0,1
2021-03-16,0.0,0.0,1
2021-03-17,9.0,9.0,1
2021-03-18,0.0,0.0,1
2021-03-19,9.0,9.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,9.0,9.0,1
2021-03-23,63.0,63.0,1
2021-03-24,27.0,27.0,1
2021-03-25,0.0,0.0,1
2021-03-26,19.0,19.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,9.0,9.0,1
2021-03-30,10.0,10.0,1
2021-03-31,10.0,10.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,9.0,9.0,1
2021-04-06,17.0,17.0,1
2021-04-07,0.0,0.0,1
2021-04-08,9.0,9.0,1
2021-04-09,19.0,19.0,1
2021-04-10,9.0,9.0,1
2021-04-11,10.0,10.0,1
2021-04-12,26.0,26.0,1
2021-04-13,19.0,19.0,1
2021-04-14,18.0,18.0,1
2021-04-15,18.0,18.0,1
2021-04-16,10.0,10.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,9.0,9.0,1
2021-04-20,27.0,27.0,1
2021-04-21,28.0,28.0,1
2021-04-22,19.0,19.0,1
2021-04-23,10.0,10.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,10.0,10.0,1
2021-05-02,0.0,0.0,1
2021-05-03,9.0,9.0,1
2021-05-04,8.0,8.0,1
2021-05-05,9.0,9.0,1
2021-05-06,0.0,0.0,1
2021-05-07,9.0,9.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,9.0,9.0,1
2021-05-12,9.0,9.0,1
2021-05-13,0.0,0.0,1
2021-05-14,10.0,10.0,1
