date,/m/03k2qf
2020-02-01,54
2020-02-02,42
2020-02-03,67
2020-02-04,100
2020-02-05,51
2020-02-06,35
2020-02-07,54
2020-02-08,27
2020-02-09,39
2020-02-10,56
2020-02-11,17
2020-02-12,66
2020-02-13,34
2020-02-14,18
2020-02-15,64
2020-02-16,50
2020-02-17,66
2020-02-18,66
2020-02-19,32
2020-02-20,42
2020-02-21,44
2020-02-22,45
2020-02-23,51
2020-02-24,64
2020-02-25,80
2020-02-26,23
2020-02-27,16
2020-02-28,50
2020-02-29,35
2020-03-01,50
2020-03-02,39
2020-03-03,65
2020-03-04,16
2020-03-05,24
2020-03-06,17
2020-03-07,54
2020-03-08,66
2020-03-09,55
2020-03-10,32
2020-03-11,31
2020-03-12,61
2020-03-13,42
2020-03-14,34
2020-03-15,25
2020-03-16,60
2020-03-17,38
2020-03-18,15
2020-03-19,38
2020-03-20,14
2020-03-21,48
2020-03-22,33
2020-03-23,27
2020-03-24,15
2020-03-25,15
2020-03-26,15
2020-03-27,14
2020-03-28,24
2020-03-29,15
2020-03-30,14
2020-03-31,14
2020-04-01,21
2020-04-02,21
2020-04-03,14
2020-04-04,16
2020-04-05,53
2020-04-06,43
2020-04-07,15
2020-04-08,30
2020-04-09,31
2020-04-10,15
2020-04-11,17
2020-04-12,24
2020-04-13,29
2020-04-14,14
2020-04-15,0
2020-04-16,30
2020-04-17,0
2020-04-18,30
2020-04-19,15
2020-04-20,14
2020-04-21,14
2020-04-22,0
2020-04-23,14
2020-04-24,14
2020-04-25,32
2020-04-26,17
2020-04-27,29
2020-04-28,0
2020-04-29,21
2020-04-30,13
2020-05-01,14
2020-05-02,14
2020-05-03,61
2020-05-04,26
2020-05-05,19
2020-05-06,14
2020-05-07,0
2020-05-08,15
2020-05-09,16
2020-05-10,31
2020-05-11,13
2020-05-12,28
2020-05-13,28
2020-05-14,14
2020-05-15,30
2020-05-16,16
2020-05-17,26
2020-05-18,15
2020-05-19,22
2020-05-20,15
2020-05-21,17
2020-05-22,14
2020-05-23,30
2020-05-24,23
2020-05-25,21
2020-05-26,15
2020-05-27,44
2020-05-28,36
2020-05-29,15
2020-05-30,17
2020-05-31,0
