date,/m/05vqh7
2020-02-01,44
2020-02-02,65
2020-02-03,90
2020-02-04,60
2020-02-05,65
2020-02-06,94
2020-02-07,69
2020-02-08,36
2020-02-09,64
2020-02-10,71
2020-02-11,82
2020-02-12,57
2020-02-13,65
2020-02-14,61
2020-02-15,47
2020-02-16,85
2020-02-17,71
2020-02-18,70
2020-02-19,68
2020-02-20,60
2020-02-21,46
2020-02-22,91
2020-02-23,76
2020-02-24,73
2020-02-25,58
2020-02-26,76
2020-02-27,82
2020-02-28,61
2020-02-29,52
2020-03-01,53
2020-03-02,69
2020-03-03,61
2020-03-04,53
2020-03-05,63
2020-03-06,92
2020-03-07,62
2020-03-08,72
2020-03-09,58
2020-03-10,77
2020-03-11,85
2020-03-12,63
2020-03-13,54
2020-03-14,61
2020-03-15,78
2020-03-16,50
2020-03-17,46
2020-03-18,58
2020-03-19,55
2020-03-20,50
2020-03-21,68
2020-03-22,42
2020-03-23,58
2020-03-24,60
2020-03-25,71
2020-03-26,68
2020-03-27,59
2020-03-28,69
2020-03-29,82
2020-03-30,70
2020-03-31,72
2020-04-01,76
2020-04-02,58
2020-04-03,73
2020-04-04,95
2020-04-05,80
2020-04-06,57
2020-04-07,75
2020-04-08,90
2020-04-09,72
2020-04-10,78
2020-04-11,92
2020-04-12,41
2020-04-13,59
2020-04-14,71
2020-04-15,58
2020-04-16,84
2020-04-17,51
2020-04-18,71
2020-04-19,80
2020-04-20,71
2020-04-21,66
2020-04-22,63
2020-04-23,75
2020-04-24,76
2020-04-25,90
2020-04-26,74
2020-04-27,79
2020-04-28,64
2020-04-29,75
2020-04-30,69
2020-05-01,71
2020-05-02,91
2020-05-03,100
2020-05-04,73
2020-05-05,61
2020-05-06,66
2020-05-07,76
2020-05-08,62
2020-05-09,70
2020-05-10,75
2020-05-11,62
2020-05-12,82
2020-05-13,61
2020-05-14,66
2020-05-15,66
2020-05-16,79
2020-05-17,62
2020-05-18,77
2020-05-19,72
2020-05-20,58
2020-05-21,67
2020-05-22,61
2020-05-23,51
2020-05-24,77
2020-05-25,81
2020-05-26,60
2020-05-27,72
2020-05-28,48
2020-05-29,71
2020-05-30,50
2020-05-31,67
2020-06-01,64
2020-06-02,47
2020-06-03,54
2020-06-04,69
2020-06-05,60
2020-06-06,55
2020-06-07,48
2020-06-08,47
2020-06-09,51
2020-06-10,65
2020-06-11,67
2020-06-12,58
2020-06-13,71
2020-06-14,81
2020-06-15,77
2020-06-16,54
2020-06-17,59
2020-06-18,93
2020-06-19,73
2020-06-20,54
2020-06-21,89
2020-06-22,74
2020-06-23,71
2020-06-24,78
2020-06-25,64
2020-06-26,55
2020-06-27,74
2020-06-28,70
2020-06-29,54
2020-06-30,56
2020-07-01,85
2020-07-02,63
2020-07-03,60
2020-07-04,60
2020-07-05,88
2020-07-06,65
2020-07-07,88
2020-07-08,71
2020-07-09,78
2020-07-10,83
2020-07-11,80
2020-07-12,84
2020-07-13,78
2020-07-14,79
2020-07-15,78
2020-07-16,69
2020-07-17,56
2020-07-18,84
2020-07-19,85
2020-07-20,78
2020-07-21,60
2020-07-22,69
2020-07-23,77
2020-07-24,64
2020-07-25,84
2020-07-26,85
2020-07-27,71
2020-07-28,71
2020-07-29,63
2020-07-30,64
2020-07-31,61
2020-08-01,64
2020-08-02,80
2020-08-03,77
2020-08-04,62
2020-08-05,70
2020-08-06,62
2020-08-07,64
2020-08-08,74
2020-08-09,79
2020-08-10,69
2020-08-11,78
2020-08-12,62
2020-08-13,65
2020-08-14,73
2020-08-15,65
2020-08-16,60
2020-08-17,61
2020-08-18,65
2020-08-19,80
2020-08-20,76
2020-08-21,74
2020-08-22,56
2020-08-23,60
2020-08-24,69
2020-08-25,71
2020-08-26,64
2020-08-27,75
2020-08-28,84
2020-08-29,71
2020-08-30,76
2020-08-31,61
2020-09-01,55
2020-09-02,66
2020-09-03,65
2020-09-04,51
2020-09-05,60
2020-09-06,71
2020-09-07,70
2020-09-08,67
2020-09-09,43
2020-09-10,64
2020-09-11,71
2020-09-12,64
2020-09-13,60
2020-09-14,87
2020-09-15,62
2020-09-16,85
2020-09-17,76
2020-09-18,66
2020-09-19,78
2020-09-20,71
2020-09-21,63
2020-09-22,67
2020-09-23,47
2020-09-24,63
2020-09-25,55
2020-09-26,57
2020-09-27,61
2020-09-28,81
2020-09-29,69
