date,/g/11b825b_9d_0,/g/11b825b_9d,batch_id
2021-02-01,49.0,49.0,1
2021-02-02,40.0,40.0,1
2021-02-03,18.0,18.0,1
2021-02-04,42.0,42.0,1
2021-02-05,23.0,23.0,1
2021-02-06,0.0,0.0,1
2021-02-07,5.0,5.0,1
2021-02-08,18.0,18.0,1
2021-02-09,14.0,14.0,1
2021-02-10,9.0,9.0,1
2021-02-11,9.0,9.0,1
2021-02-12,14.0,14.0,1
2021-02-13,0.0,0.0,1
2021-02-14,5.0,5.0,1
2021-02-15,36.0,36.0,1
2021-02-16,19.0,19.0,1
2021-02-17,14.0,14.0,1
2021-02-18,23.0,23.0,1
2021-02-19,25.0,25.0,1
2021-02-20,17.0,17.0,1
2021-02-21,6.0,6.0,1
2021-02-22,9.0,9.0,1
2021-02-23,38.0,38.0,1
2021-02-24,100.0,100.0,1
2021-02-25,33.0,33.0,1
2021-02-26,28.0,28.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,18.0,18.0,1
2021-03-02,33.0,33.0,1
2021-03-03,19.0,19.0,1
2021-03-04,36.0,36.0,1
2021-03-05,43.0,43.0,1
2021-03-06,11.0,11.0,1
2021-03-07,0.0,0.0,1
2021-03-08,37.0,37.0,1
2021-03-09,36.0,36.0,1
2021-03-10,18.0,18.0,1
2021-03-11,18.0,18.0,1
2021-03-12,28.0,28.0,1
2021-03-13,5.0,5.0,1
2021-03-14,0.0,0.0,1
2021-03-15,18.0,18.0,1
2021-03-16,28.0,28.0,1
2021-03-17,14.0,14.0,1
2021-03-18,14.0,14.0,1
2021-03-19,19.0,19.0,1
2021-03-20,5.0,5.0,1
2021-03-21,5.0,5.0,1
2021-03-22,14.0,14.0,1
2021-03-23,27.0,27.0,1
2021-03-24,27.0,27.0,1
2021-03-25,24.0,24.0,1
2021-03-26,29.0,29.0,1
2021-03-27,5.0,5.0,1
2021-03-28,5.0,5.0,1
2021-03-29,29.0,29.0,1
2021-03-30,55.0,55.0,1
2021-03-31,41.0,41.0,1
2021-04-01,15.0,15.0,1
2021-04-02,5.0,5.0,1
2021-04-03,0.0,0.0,1
2021-04-04,5.0,5.0,1
2021-04-05,5.0,5.0,1
2021-04-06,9.0,9.0,1
2021-04-07,23.0,23.0,1
2021-04-08,42.0,42.0,1
2021-04-09,10.0,10.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,22.0,22.0,1
2021-04-13,19.0,19.0,1
2021-04-14,37.0,37.0,1
2021-04-15,19.0,19.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,54.0,54.0,1
2021-04-20,19.0,19.0,1
2021-04-21,47.0,47.0,1
2021-04-22,29.0,29.0,1
2021-04-23,10.0,10.0,1
2021-04-24,0.0,0.0,1
2021-04-25,11.0,11.0,1
2021-04-26,18.0,18.0,1
2021-04-27,29.0,29.0,1
2021-04-28,71.0,71.0,1
2021-04-29,9.0,9.0,1
2021-04-30,23.0,23.0,1
2021-05-01,0.0,0.0,1
2021-05-02,5.0,5.0,1
2021-05-03,22.0,22.0,1
2021-05-04,39.0,39.0,1
2021-05-05,26.0,26.0,1
2021-05-06,14.0,14.0,1
2021-05-07,24.0,24.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,14.0,14.0,1
2021-05-11,27.0,27.0,1
2021-05-12,9.0,9.0,1
2021-05-13,0.0,0.0,1
2021-05-14,10.0,10.0,1
