date,/m/02r3jk_0,/m/02r3jk,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,15.0,15.0,1
2021-02-03,15.0,15.0,1
2021-02-04,32.0,32.0,1
2021-02-05,16.0,16.0,1
2021-02-06,16.0,16.0,1
2021-02-07,17.0,17.0,1
2021-02-08,30.0,30.0,1
2021-02-09,0.0,0.0,1
2021-02-10,30.0,30.0,1
2021-02-11,31.0,31.0,1
2021-02-12,16.0,16.0,1
2021-02-13,18.0,18.0,1
2021-02-14,0.0,0.0,1
2021-02-15,15.0,15.0,1
2021-02-16,0.0,0.0,1
2021-02-17,16.0,16.0,1
2021-02-18,16.0,16.0,1
2021-02-19,16.0,16.0,1
2021-02-20,19.0,19.0,1
2021-02-21,19.0,19.0,1
2021-02-22,15.0,15.0,1
2021-02-23,0.0,0.0,1
2021-02-24,32.0,32.0,1
2021-02-25,96.0,96.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,31.0,31.0,1
2021-03-02,32.0,32.0,1
2021-03-03,16.0,16.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,34.0,34.0,1
2021-03-08,0.0,0.0,1
2021-03-09,45.0,45.0,1
2021-03-10,15.0,15.0,1
2021-03-11,31.0,31.0,1
2021-03-12,0.0,0.0,1
2021-03-13,17.0,17.0,1
2021-03-14,81.0,81.0,1
2021-03-15,36.0,36.0,1
2021-03-16,66.0,66.0,1
2021-03-17,92.0,92.0,1
2021-03-18,77.0,77.0,1
2021-03-19,32.0,32.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,46.0,46.0,1
2021-03-24,15.0,15.0,1
2021-03-25,48.0,48.0,1
2021-03-26,16.0,16.0,1
2021-03-27,0.0,0.0,1
2021-03-28,18.0,18.0,1
2021-03-29,16.0,16.0,1
2021-03-30,50.0,50.0,1
2021-03-31,52.0,52.0,1
2021-04-01,16.0,16.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,16.0,16.0,1
2021-04-06,15.0,15.0,1
2021-04-07,46.0,46.0,1
2021-04-08,47.0,47.0,1
2021-04-09,32.0,32.0,1
2021-04-10,32.0,32.0,1
2021-04-11,17.0,17.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,15.0,15.0,1
2021-04-15,0.0,0.0,1
2021-04-16,33.0,33.0,1
2021-04-17,54.0,54.0,1
2021-04-18,0.0,0.0,1
2021-04-19,30.0,30.0,1
2021-04-20,31.0,31.0,1
2021-04-21,32.0,32.0,1
2021-04-22,32.0,32.0,1
2021-04-23,0.0,0.0,1
2021-04-24,37.0,37.0,1
2021-04-25,35.0,35.0,1
2021-04-26,15.0,15.0,1
2021-04-27,16.0,16.0,1
2021-04-28,16.0,16.0,1
2021-04-29,61.0,61.0,1
2021-04-30,0.0,0.0,1
2021-05-01,34.0,34.0,1
2021-05-02,17.0,17.0,1
2021-05-03,45.0,45.0,1
2021-05-04,14.0,14.0,1
2021-05-05,29.0,29.0,1
2021-05-06,15.0,15.0,1
2021-05-07,0.0,0.0,1
2021-05-08,34.0,34.0,1
2021-05-09,18.0,18.0,1
2021-05-10,15.0,15.0,1
2021-05-11,30.0,30.0,1
2021-05-12,31.0,31.0,1
2021-05-13,49.0,49.0,1
2021-05-14,100.0,100.0,1
