date,/m/01fqc__0,/m/01fqc_,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,42.0,42.0,1
2021-02-03,0.0,0.0,1
2021-02-04,44.0,44.0,1
2021-02-05,14.0,14.0,1
2021-02-06,31.0,31.0,1
2021-02-07,77.0,77.0,1
2021-02-08,56.0,56.0,1
2021-02-09,29.0,29.0,1
2021-02-10,28.0,28.0,1
2021-02-11,14.0,14.0,1
2021-02-12,29.0,29.0,1
2021-02-13,16.0,16.0,1
2021-02-14,65.0,65.0,1
2021-02-15,28.0,28.0,1
2021-02-16,44.0,44.0,1
2021-02-17,58.0,58.0,1
2021-02-18,43.0,43.0,1
2021-02-19,0.0,0.0,1
2021-02-20,35.0,35.0,1
2021-02-21,0.0,0.0,1
2021-02-22,14.0,14.0,1
2021-02-23,15.0,15.0,1
2021-02-24,44.0,44.0,1
2021-02-25,30.0,30.0,1
2021-02-26,15.0,15.0,1
2021-02-27,16.0,16.0,1
2021-02-28,32.0,32.0,1
2021-03-01,0.0,0.0,1
2021-03-02,15.0,15.0,1
2021-03-03,59.0,59.0,1
2021-03-04,42.0,42.0,1
2021-03-05,45.0,45.0,1
2021-03-06,17.0,17.0,1
2021-03-07,32.0,32.0,1
2021-03-08,29.0,29.0,1
2021-03-09,28.0,28.0,1
2021-03-10,29.0,29.0,1
2021-03-11,14.0,14.0,1
2021-03-12,29.0,29.0,1
2021-03-13,46.0,46.0,1
2021-03-14,15.0,15.0,1
2021-03-15,22.0,22.0,1
2021-03-16,37.0,37.0,1
2021-03-17,0.0,0.0,1
2021-03-18,43.0,43.0,1
2021-03-19,15.0,15.0,1
2021-03-20,17.0,17.0,1
2021-03-21,16.0,16.0,1
2021-03-22,28.0,28.0,1
2021-03-23,28.0,28.0,1
2021-03-24,28.0,28.0,1
2021-03-25,59.0,59.0,1
2021-03-26,15.0,15.0,1
2021-03-27,0.0,0.0,1
2021-03-28,17.0,17.0,1
2021-03-29,0.0,0.0,1
2021-03-30,31.0,31.0,1
2021-03-31,0.0,0.0,1
2021-04-01,30.0,30.0,1
2021-04-02,31.0,31.0,1
2021-04-03,33.0,33.0,1
2021-04-04,17.0,17.0,1
2021-04-05,45.0,45.0,1
2021-04-06,82.0,82.0,1
2021-04-07,56.0,56.0,1
2021-04-08,58.0,58.0,1
2021-04-09,30.0,30.0,1
2021-04-10,0.0,0.0,1
2021-04-11,31.0,31.0,1
2021-04-12,14.0,14.0,1
2021-04-13,0.0,0.0,1
2021-04-14,72.0,72.0,1
2021-04-15,73.0,73.0,1
2021-04-16,15.0,15.0,1
2021-04-17,100.0,100.0,1
2021-04-18,17.0,17.0,1
2021-04-19,0.0,0.0,1
2021-04-20,14.0,14.0,1
2021-04-21,15.0,15.0,1
2021-04-22,0.0,0.0,1
2021-04-23,16.0,16.0,1
2021-04-24,34.0,34.0,1
2021-04-25,49.0,49.0,1
2021-04-26,0.0,0.0,1
2021-04-27,44.0,44.0,1
2021-04-28,15.0,15.0,1
2021-04-29,42.0,42.0,1
2021-04-30,14.0,14.0,1
2021-05-01,0.0,0.0,1
2021-05-02,47.0,47.0,1
2021-05-03,14.0,14.0,1
2021-05-04,27.0,27.0,1
2021-05-05,82.0,82.0,1
2021-05-06,42.0,42.0,1
2021-05-07,44.0,44.0,1
2021-05-08,32.0,32.0,1
2021-05-09,51.0,51.0,1
2021-05-10,56.0,56.0,1
2021-05-11,14.0,14.0,1
2021-05-12,14.0,14.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
