date,/g/11h366460d_0,/g/11h366460d,batch_id
2021-02-01,20.0,20.0,1
2021-02-02,0.0,0.0,1
2021-02-03,40.0,40.0,1
2021-02-04,21.0,21.0,1
2021-02-05,21.0,21.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,81.0,81.0,1
2021-02-10,40.0,40.0,1
2021-02-11,21.0,21.0,1
2021-02-12,21.0,21.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,20.0,20.0,1
2021-02-16,21.0,21.0,1
2021-02-17,0.0,0.0,1
2021-02-18,41.0,41.0,1
2021-02-19,22.0,22.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,19.0,19.0,1
2021-02-23,63.0,63.0,1
2021-02-24,42.0,42.0,1
2021-02-25,0.0,0.0,1
2021-02-26,21.0,21.0,1
2021-02-27,23.0,23.0,1
2021-02-28,0.0,0.0,1
2021-03-01,61.0,61.0,1
2021-03-02,0.0,0.0,1
2021-03-03,42.0,42.0,1
2021-03-04,60.0,60.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,100.0,100.0,1
2021-03-10,41.0,41.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,22.0,22.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,0.0,0.0,1
2021-03-17,20.0,20.0,1
2021-03-18,0.0,0.0,1
2021-03-19,21.0,21.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,20.0,20.0,1
2021-03-23,20.0,20.0,1
2021-03-24,61.0,61.0,1
2021-03-25,21.0,21.0,1
2021-03-26,0.0,0.0,1
2021-03-27,23.0,23.0,1
2021-03-28,0.0,0.0,1
2021-03-29,21.0,21.0,1
2021-03-30,22.0,22.0,1
2021-03-31,23.0,23.0,1
2021-04-01,22.0,22.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,24.0,24.0,1
2021-04-05,0.0,0.0,1
2021-04-06,20.0,20.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,42.0,42.0,1
2021-04-10,0.0,0.0,1
2021-04-11,22.0,22.0,1
2021-04-12,20.0,20.0,1
2021-04-13,42.0,42.0,1
2021-04-14,41.0,41.0,1
2021-04-15,42.0,42.0,1
2021-04-16,22.0,22.0,1
2021-04-17,24.0,24.0,1
2021-04-18,0.0,0.0,1
2021-04-19,20.0,20.0,1
2021-04-20,41.0,41.0,1
2021-04-21,21.0,21.0,1
2021-04-22,0.0,0.0,1
2021-04-23,44.0,44.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,20.0,20.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,60.0,60.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,20.0,20.0,1
2021-05-04,19.0,19.0,1
2021-05-05,78.0,78.0,1
2021-05-06,40.0,40.0,1
2021-05-07,21.0,21.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,20.0,20.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,22.0,22.0,1
2021-05-14,0.0,0.0,1
