date,/m/04sh3
2020-02-01,41
2020-02-02,49
2020-02-03,73
2020-02-04,59
2020-02-05,51
2020-02-06,45
2020-02-07,64
2020-02-08,64
2020-02-09,43
2020-02-10,63
2020-02-11,45
2020-02-12,62
2020-02-13,43
2020-02-14,41
2020-02-15,67
2020-02-16,38
2020-02-17,34
2020-02-18,74
2020-02-19,60
2020-02-20,42
2020-02-21,54
2020-02-22,47
2020-02-23,38
2020-02-24,53
2020-02-25,45
2020-02-26,59
2020-02-27,45
2020-02-28,54
2020-02-29,61
2020-03-01,70
2020-03-02,82
2020-03-03,49
2020-03-04,68
2020-03-05,56
2020-03-06,55
2020-03-07,26
2020-03-08,58
2020-03-09,56
2020-03-10,59
2020-03-11,48
2020-03-12,43
2020-03-13,59
2020-03-14,60
2020-03-15,73
2020-03-16,56
2020-03-17,52
2020-03-18,30
2020-03-19,65
2020-03-20,41
2020-03-21,47
2020-03-22,56
2020-03-23,83
2020-03-24,48
2020-03-25,33
2020-03-26,34
2020-03-27,39
2020-03-28,29
2020-03-29,22
2020-03-30,39
2020-03-31,28
2020-04-01,33
2020-04-02,28
2020-04-03,27
2020-04-04,42
2020-04-05,25
2020-04-06,22
2020-04-07,27
2020-04-08,29
2020-04-09,31
2020-04-10,34
2020-04-11,53
2020-04-12,40
2020-04-13,40
2020-04-14,48
2020-04-15,36
2020-04-16,36
2020-04-17,37
2020-04-18,34
2020-04-19,31
2020-04-20,32
2020-04-21,32
2020-04-22,23
2020-04-23,28
2020-04-24,24
2020-04-25,22
2020-04-26,31
2020-04-27,30
2020-04-28,37
2020-04-29,31
2020-04-30,37
2020-05-01,32
2020-05-02,25
2020-05-03,41
2020-05-04,35
2020-05-05,51
2020-05-06,43
2020-05-07,35
2020-05-08,27
2020-05-09,44
2020-05-10,33
2020-05-11,55
2020-05-12,52
2020-05-13,47
2020-05-14,30
2020-05-15,40
2020-05-16,28
2020-05-17,38
2020-05-18,39
2020-05-19,38
2020-05-20,37
2020-05-21,41
2020-05-22,38
2020-05-23,31
2020-05-24,37
2020-05-25,39
2020-05-26,32
2020-05-27,43
2020-05-28,25
2020-05-29,48
2020-05-30,34
2020-05-31,33
2020-06-01,23
2020-06-02,34
2020-06-03,39
2020-06-04,37
2020-06-05,37
2020-06-06,39
2020-06-07,25
2020-06-08,44
2020-06-09,26
2020-06-10,57
2020-06-11,40
2020-06-12,23
2020-06-13,26
2020-06-14,33
2020-06-15,53
2020-06-16,52
2020-06-17,39
2020-06-18,49
2020-06-19,42
2020-06-20,36
2020-06-21,38
2020-06-22,49
2020-06-23,43
2020-06-24,38
2020-06-25,35
2020-06-26,36
2020-06-27,38
2020-06-28,39
2020-06-29,42
2020-06-30,56
2020-07-01,29
2020-07-02,40
2020-07-03,35
2020-07-04,54
2020-07-05,19
2020-07-06,44
2020-07-07,49
2020-07-08,34
2020-07-09,25
2020-07-10,46
2020-07-11,28
2020-07-12,30
2020-07-13,41
2020-07-14,28
2020-07-15,39
2020-07-16,34
2020-07-17,46
2020-07-18,27
2020-07-19,26
2020-07-20,33
2020-07-21,36
2020-07-22,43
2020-07-23,39
2020-07-24,44
2020-07-25,17
2020-07-26,30
2020-07-27,44
2020-07-28,48
2020-07-29,36
2020-07-30,46
2020-07-31,52
2020-08-01,32
2020-08-02,37
2020-08-03,43
2020-08-04,41
2020-08-05,41
2020-08-06,35
2020-08-07,36
2020-08-08,27
2020-08-09,31
2020-08-10,54
2020-08-11,49
2020-08-12,48
2020-08-13,39
2020-08-14,37
2020-08-15,25
2020-08-16,42
2020-08-17,46
2020-08-18,29
2020-08-19,49
2020-08-20,58
2020-08-21,38
2020-08-22,48
2020-08-23,17
2020-08-24,51
2020-08-25,66
2020-08-26,42
2020-08-27,57
2020-08-28,44
2020-08-29,33
2020-08-30,25
2020-08-31,50
2020-09-01,68
2020-09-02,100
2020-09-03,81
2020-09-04,49
2020-09-05,36
2020-09-06,48
2020-09-07,68
2020-09-08,77
2020-09-09,56
2020-09-10,47
2020-09-11,45
2020-09-12,52
2020-09-13,55
2020-09-14,58
2020-09-15,58
2020-09-16,53
2020-09-17,64
2020-09-18,64
2020-09-19,72
2020-09-20,51
2020-09-21,78
2020-09-22,75
2020-09-23,61
2020-09-24,55
2020-09-25,54
2020-09-26,54
2020-09-27,40
2020-09-28,43
2020-09-29,47
