date,/m/03sc8_0,/m/03sc8,batch_id
2021-02-01,16.0,16.0,1
2021-02-02,33.0,33.0,1
2021-02-03,82.0,82.0,1
2021-02-04,51.0,51.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,18.0,18.0,1
2021-02-08,49.0,49.0,1
2021-02-09,67.0,67.0,1
2021-02-10,49.0,49.0,1
2021-02-11,0.0,0.0,1
2021-02-12,34.0,34.0,1
2021-02-13,0.0,0.0,1
2021-02-14,19.0,19.0,1
2021-02-15,16.0,16.0,1
2021-02-16,17.0,17.0,1
2021-02-17,34.0,34.0,1
2021-02-18,17.0,17.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,20.0,20.0,1
2021-02-22,80.0,80.0,1
2021-02-23,35.0,35.0,1
2021-02-24,0.0,0.0,1
2021-02-25,0.0,0.0,1
2021-02-26,69.0,69.0,1
2021-02-27,19.0,19.0,1
2021-02-28,0.0,0.0,1
2021-03-01,17.0,17.0,1
2021-03-02,17.0,17.0,1
2021-03-03,52.0,52.0,1
2021-03-04,49.0,49.0,1
2021-03-05,18.0,18.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,33.0,33.0,1
2021-03-10,34.0,34.0,1
2021-03-11,34.0,34.0,1
2021-03-12,34.0,34.0,1
2021-03-13,0.0,0.0,1
2021-03-14,18.0,18.0,1
2021-03-15,26.0,26.0,1
2021-03-16,43.0,43.0,1
2021-03-17,33.0,33.0,1
2021-03-18,0.0,0.0,1
2021-03-19,53.0,53.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,67.0,67.0,1
2021-03-23,33.0,33.0,1
2021-03-24,100.0,100.0,1
2021-03-25,34.0,34.0,1
2021-03-26,35.0,35.0,1
2021-03-27,19.0,19.0,1
2021-03-28,20.0,20.0,1
2021-03-29,0.0,0.0,1
2021-03-30,36.0,36.0,1
2021-03-31,37.0,37.0,1
2021-04-01,18.0,18.0,1
2021-04-02,36.0,36.0,1
2021-04-03,0.0,0.0,1
2021-04-04,20.0,20.0,1
2021-04-05,35.0,35.0,1
2021-04-06,16.0,16.0,1
2021-04-07,0.0,0.0,1
2021-04-08,34.0,34.0,1
2021-04-09,17.0,17.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,16.0,16.0,1
2021-04-13,52.0,52.0,1
2021-04-14,34.0,34.0,1
2021-04-15,17.0,17.0,1
2021-04-16,36.0,36.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,66.0,66.0,1
2021-04-20,68.0,68.0,1
2021-04-21,86.0,86.0,1
2021-04-22,17.0,17.0,1
2021-04-23,36.0,36.0,1
2021-04-24,40.0,40.0,1
2021-04-25,39.0,39.0,1
2021-04-26,17.0,17.0,1
2021-04-27,52.0,52.0,1
2021-04-28,17.0,17.0,1
2021-04-29,17.0,17.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,82.0,82.0,1
2021-05-04,16.0,16.0,1
2021-05-05,48.0,48.0,1
2021-05-06,66.0,66.0,1
2021-05-07,69.0,69.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,50.0,50.0,1
2021-05-11,32.0,32.0,1
2021-05-12,34.0,34.0,1
2021-05-13,18.0,18.0,1
2021-05-14,0.0,0.0,1
