date,/g/11j4xt9hdf_0,/g/11j4xt9hdf,batch_id
2021-02-01,16.0,16.0,1
2021-02-02,47.0,47.0,1
2021-02-03,32.0,32.0,1
2021-02-04,0.0,0.0,1
2021-02-05,33.0,33.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,16.0,16.0,1
2021-02-11,0.0,0.0,1
2021-02-12,17.0,17.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,33.0,33.0,1
2021-02-17,0.0,0.0,1
2021-02-18,16.0,16.0,1
2021-02-19,17.0,17.0,1
2021-02-20,0.0,0.0,1
2021-02-21,40.0,40.0,1
2021-02-22,15.0,15.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,50.0,50.0,1
2021-02-26,0.0,0.0,1
2021-02-27,19.0,19.0,1
2021-02-28,0.0,0.0,1
2021-03-01,16.0,16.0,1
2021-03-02,0.0,0.0,1
2021-03-03,17.0,17.0,1
2021-03-04,16.0,16.0,1
2021-03-05,17.0,17.0,1
2021-03-06,37.0,37.0,1
2021-03-07,18.0,18.0,1
2021-03-08,0.0,0.0,1
2021-03-09,16.0,16.0,1
2021-03-10,16.0,16.0,1
2021-03-11,32.0,32.0,1
2021-03-12,50.0,50.0,1
2021-03-13,0.0,0.0,1
2021-03-14,17.0,17.0,1
2021-03-15,38.0,38.0,1
2021-03-16,14.0,14.0,1
2021-03-17,32.0,32.0,1
2021-03-18,16.0,16.0,1
2021-03-19,51.0,51.0,1
2021-03-20,19.0,19.0,1
2021-03-21,18.0,18.0,1
2021-03-22,32.0,32.0,1
2021-03-23,32.0,32.0,1
2021-03-24,48.0,48.0,1
2021-03-25,67.0,67.0,1
2021-03-26,17.0,17.0,1
2021-03-27,18.0,18.0,1
2021-03-28,0.0,0.0,1
2021-03-29,68.0,68.0,1
2021-03-30,0.0,0.0,1
2021-03-31,36.0,36.0,1
2021-04-01,17.0,17.0,1
2021-04-02,0.0,0.0,1
2021-04-03,57.0,57.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,16.0,16.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,34.0,34.0,1
2021-04-10,17.0,17.0,1
2021-04-11,0.0,0.0,1
2021-04-12,16.0,16.0,1
2021-04-13,100.0,100.0,1
2021-04-14,0.0,0.0,1
2021-04-15,17.0,17.0,1
2021-04-16,17.0,17.0,1
2021-04-17,57.0,57.0,1
2021-04-18,0.0,0.0,1
2021-04-19,16.0,16.0,1
2021-04-20,65.0,65.0,1
2021-04-21,67.0,67.0,1
2021-04-22,17.0,17.0,1
2021-04-23,18.0,18.0,1
2021-04-24,0.0,0.0,1
2021-04-25,37.0,37.0,1
2021-04-26,16.0,16.0,1
2021-04-27,50.0,50.0,1
2021-04-28,33.0,33.0,1
2021-04-29,48.0,48.0,1
2021-04-30,16.0,16.0,1
2021-05-01,18.0,18.0,1
2021-05-02,18.0,18.0,1
2021-05-03,32.0,32.0,1
2021-05-04,15.0,15.0,1
2021-05-05,31.0,31.0,1
2021-05-06,0.0,0.0,1
2021-05-07,17.0,17.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,16.0,16.0,1
2021-05-13,0.0,0.0,1
2021-05-14,17.0,17.0,1
