date,/m/0jnvp
2020-02-01,65
2020-02-02,75
2020-02-03,77
2020-02-04,62
2020-02-05,86
2020-02-06,67
2020-02-07,66
2020-02-08,70
2020-02-09,75
2020-02-10,75
2020-02-11,57
2020-02-12,64
2020-02-13,57
2020-02-14,77
2020-02-15,73
2020-02-16,71
2020-02-17,71
2020-02-18,62
2020-02-19,78
2020-02-20,72
2020-02-21,65
2020-02-22,82
2020-02-23,81
2020-02-24,71
2020-02-25,59
2020-02-26,85
2020-02-27,60
2020-02-28,70
2020-02-29,61
2020-03-01,64
2020-03-02,64
2020-03-03,76
2020-03-04,66
2020-03-05,52
2020-03-06,63
2020-03-07,69
2020-03-08,70
2020-03-09,75
2020-03-10,60
2020-03-11,56
2020-03-12,62
2020-03-13,59
2020-03-14,59
2020-03-15,60
2020-03-16,56
2020-03-17,53
2020-03-18,44
2020-03-19,66
2020-03-20,50
2020-03-21,65
2020-03-22,78
2020-03-23,68
2020-03-24,71
2020-03-25,57
2020-03-26,65
2020-03-27,68
2020-03-28,63
2020-03-29,83
2020-03-30,72
2020-03-31,67
2020-04-01,52
2020-04-02,95
2020-04-03,58
2020-04-04,96
2020-04-05,86
2020-04-06,78
2020-04-07,84
2020-04-08,84
2020-04-09,83
2020-04-10,61
2020-04-11,91
2020-04-12,85
2020-04-13,84
2020-04-14,70
2020-04-15,61
2020-04-16,70
2020-04-17,75
2020-04-18,81
2020-04-19,91
2020-04-20,62
2020-04-21,72
2020-04-22,83
2020-04-23,77
2020-04-24,65
2020-04-25,65
2020-04-26,79
2020-04-27,71
2020-04-28,73
2020-04-29,74
2020-04-30,69
2020-05-01,84
2020-05-02,93
2020-05-03,100
2020-05-04,68
2020-05-05,67
2020-05-06,70
2020-05-07,83
2020-05-08,82
2020-05-09,86
2020-05-10,83
2020-05-11,63
2020-05-12,74
2020-05-13,68
2020-05-14,74
2020-05-15,75
2020-05-16,79
2020-05-17,66
2020-05-18,72
2020-05-19,75
2020-05-20,80
2020-05-21,85
2020-05-22,76
2020-05-23,70
2020-05-24,95
2020-05-25,66
2020-05-26,71
2020-05-27,69
2020-05-28,60
2020-05-29,69
2020-05-30,67
2020-05-31,89
