date,/g/11fmp91zsp_0,/g/11fmp91zsp,batch_id
2021-02-01,29.0,29.0,1
2021-02-02,48.0,48.0,1
2021-02-03,48.0,48.0,1
2021-02-04,30.0,30.0,1
2021-02-05,20.0,20.0,1
2021-02-06,11.0,11.0,1
2021-02-07,0.0,0.0,1
2021-02-08,10.0,10.0,1
2021-02-09,30.0,30.0,1
2021-02-10,48.0,48.0,1
2021-02-11,100.0,100.0,1
2021-02-12,51.0,51.0,1
2021-02-13,11.0,11.0,1
2021-02-14,11.0,11.0,1
2021-02-15,10.0,10.0,1
2021-02-16,51.0,51.0,1
2021-02-17,20.0,20.0,1
2021-02-18,20.0,20.0,1
2021-02-19,21.0,21.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,9.0,9.0,1
2021-02-23,31.0,31.0,1
2021-02-24,31.0,31.0,1
2021-02-25,82.0,82.0,1
2021-02-26,0.0,0.0,1
2021-02-27,34.0,34.0,1
2021-02-28,11.0,11.0,1
2021-03-01,20.0,20.0,1
2021-03-02,10.0,10.0,1
2021-03-03,21.0,21.0,1
2021-03-04,10.0,10.0,1
2021-03-05,0.0,0.0,1
2021-03-06,11.0,11.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,0.0,0.0,1
2021-03-10,10.0,10.0,1
2021-03-11,10.0,10.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,9.0,9.0,1
2021-03-17,10.0,10.0,1
2021-03-18,40.0,40.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,39.0,39.0,1
2021-03-23,20.0,20.0,1
2021-03-24,30.0,30.0,1
2021-03-25,10.0,10.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,11.0,11.0,1
2021-04-02,0.0,0.0,1
2021-04-03,12.0,12.0,1
2021-04-04,0.0,0.0,1
2021-04-05,10.0,10.0,1
2021-04-06,9.0,9.0,1
2021-04-07,0.0,0.0,1
2021-04-08,20.0,20.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,20.0,20.0,1
2021-04-15,10.0,10.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,12.0,12.0,1
2021-04-19,0.0,0.0,1
2021-04-20,20.0,20.0,1
2021-04-21,20.0,20.0,1
2021-04-22,10.0,10.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,10.0,10.0,1
2021-04-27,10.0,10.0,1
2021-04-28,10.0,10.0,1
2021-04-29,10.0,10.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,10.0,10.0,1
2021-05-04,0.0,0.0,1
2021-05-05,9.0,9.0,1
2021-05-06,10.0,10.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,12.0,12.0,1
2021-05-10,10.0,10.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,10.0,10.0,1
2021-05-14,0.0,0.0,1
