date,/m/03nsr34_0,/m/03nsr34,batch_id
2021-02-01,37.0,37.0,1
2021-02-02,0.0,0.0,1
2021-02-03,0.0,0.0,1
2021-02-04,20.0,20.0,1
2021-02-05,19.0,19.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,19.0,19.0,1
2021-02-09,19.0,19.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,20.0,20.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,20.0,20.0,1
2021-02-17,0.0,0.0,1
2021-02-18,19.0,19.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,18.0,18.0,1
2021-02-23,20.0,20.0,1
2021-02-24,0.0,0.0,1
2021-02-25,20.0,20.0,1
2021-02-26,40.0,40.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,37.0,37.0,1
2021-03-05,40.0,40.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,19.0,19.0,1
2021-03-09,0.0,0.0,1
2021-03-10,0.0,0.0,1
2021-03-11,19.0,19.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,30.0,30.0,1
2021-03-16,99.0,99.0,1
2021-03-17,38.0,38.0,1
2021-03-18,58.0,58.0,1
2021-03-19,20.0,20.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,19.0,19.0,1
2021-03-23,19.0,19.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,20.0,20.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,100.0,100.0,1
2021-03-30,21.0,21.0,1
2021-03-31,21.0,21.0,1
2021-04-01,20.0,20.0,1
2021-04-02,21.0,21.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,0.0,0.0,1
2021-04-07,38.0,38.0,1
2021-04-08,19.0,19.0,1
2021-04-09,60.0,60.0,1
2021-04-10,20.0,20.0,1
2021-04-11,0.0,0.0,1
2021-04-12,19.0,19.0,1
2021-04-13,79.0,79.0,1
2021-04-14,38.0,38.0,1
2021-04-15,20.0,20.0,1
2021-04-16,61.0,61.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,0.0,0.0,1
2021-04-21,20.0,20.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,57.0,57.0,1
2021-04-27,20.0,20.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,21.0,21.0,1
2021-05-02,0.0,0.0,1
2021-05-03,19.0,19.0,1
2021-05-04,0.0,0.0,1
2021-05-05,18.0,18.0,1
2021-05-06,38.0,38.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,57.0,57.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
