date,/m/01gkcc_0,/m/01gkcc,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,22.0,22.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,46.0,46.0,1
2021-02-06,97.0,97.0,1
2021-02-07,0.0,0.0,1
2021-02-08,44.0,44.0,1
2021-02-09,0.0,0.0,1
2021-02-10,22.0,22.0,1
2021-02-11,23.0,23.0,1
2021-02-12,23.0,23.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,44.0,44.0,1
2021-02-16,0.0,0.0,1
2021-02-17,23.0,23.0,1
2021-02-18,23.0,23.0,1
2021-02-19,49.0,49.0,1
2021-02-20,28.0,28.0,1
2021-02-21,28.0,28.0,1
2021-02-22,43.0,43.0,1
2021-02-23,47.0,47.0,1
2021-02-24,24.0,24.0,1
2021-02-25,70.0,70.0,1
2021-02-26,47.0,47.0,1
2021-02-27,52.0,52.0,1
2021-02-28,76.0,76.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,47.0,47.0,1
2021-03-04,22.0,22.0,1
2021-03-05,48.0,48.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,45.0,45.0,1
2021-03-09,89.0,89.0,1
2021-03-10,46.0,46.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,49.0,49.0,1
2021-03-14,0.0,0.0,1
2021-03-15,18.0,18.0,1
2021-03-16,20.0,20.0,1
2021-03-17,23.0,23.0,1
2021-03-18,91.0,91.0,1
2021-03-19,24.0,24.0,1
2021-03-20,27.0,27.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,68.0,68.0,1
2021-03-24,23.0,23.0,1
2021-03-25,0.0,0.0,1
2021-03-26,48.0,48.0,1
2021-03-27,50.0,50.0,1
2021-03-28,27.0,27.0,1
2021-03-29,24.0,24.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,0.0,0.0,1
2021-04-02,25.0,25.0,1
2021-04-03,26.0,26.0,1
2021-04-04,0.0,0.0,1
2021-04-05,24.0,24.0,1
2021-04-06,0.0,0.0,1
2021-04-07,45.0,45.0,1
2021-04-08,23.0,23.0,1
2021-04-09,24.0,24.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,47.0,47.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,26.0,26.0,1
2021-04-18,53.0,53.0,1
2021-04-19,45.0,45.0,1
2021-04-20,46.0,46.0,1
2021-04-21,23.0,23.0,1
2021-04-22,24.0,24.0,1
2021-04-23,0.0,0.0,1
2021-04-24,55.0,55.0,1
2021-04-25,0.0,0.0,1
2021-04-26,45.0,45.0,1
2021-04-27,0.0,0.0,1
2021-04-28,23.0,23.0,1
2021-04-29,22.0,22.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,100.0,100.0,1
2021-05-03,0.0,0.0,1
2021-05-04,42.0,42.0,1
2021-05-05,0.0,0.0,1
2021-05-06,22.0,22.0,1
2021-05-07,23.0,23.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,22.0,22.0,1
2021-05-11,66.0,66.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
