date,/m/04w68t
2020-02-01,22
2020-02-02,21
2020-02-03,28
2020-02-04,21
2020-02-05,32
2020-02-06,22
2020-02-07,34
2020-02-08,23
2020-02-09,20
2020-02-10,20
2020-02-11,28
2020-02-12,0
2020-02-13,43
2020-02-14,22
2020-02-15,46
2020-02-16,42
2020-02-17,52
2020-02-18,20
2020-02-19,21
2020-02-20,22
2020-02-21,45
2020-02-22,23
2020-02-23,22
2020-02-24,20
2020-02-25,31
2020-02-26,39
2020-02-27,39
2020-02-28,32
2020-02-29,33
2020-03-01,42
2020-03-02,20
2020-03-03,21
2020-03-04,0
2020-03-05,21
2020-03-06,0
2020-03-07,22
2020-03-08,0
2020-03-09,20
2020-03-10,30
2020-03-11,26
2020-03-12,19
2020-03-13,35
2020-03-14,43
2020-03-15,0
2020-03-16,37
2020-03-17,19
2020-03-18,39
2020-03-19,29
2020-03-20,46
2020-03-21,40
2020-03-22,31
2020-03-23,17
2020-03-24,28
2020-03-25,19
2020-03-26,28
2020-03-27,17
2020-03-28,20
2020-03-29,38
2020-03-30,44
2020-03-31,0
2020-04-01,36
2020-04-02,17
2020-04-03,18
2020-04-04,21
2020-04-05,22
2020-04-06,36
2020-04-07,19
2020-04-08,19
2020-04-09,0
2020-04-10,19
2020-04-11,0
2020-04-12,21
2020-04-13,18
2020-04-14,35
2020-04-15,19
2020-04-16,38
2020-04-17,38
2020-04-18,38
2020-04-19,0
2020-04-20,18
2020-04-21,0
2020-04-22,19
2020-04-23,18
2020-04-24,18
2020-04-25,20
2020-04-26,21
2020-04-27,18
2020-04-28,17
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,18
2020-05-03,39
2020-05-04,16
2020-05-05,17
2020-05-06,27
2020-05-07,19
2020-05-08,0
2020-05-09,21
2020-05-10,29
2020-05-11,17
2020-05-12,36
2020-05-13,0
2020-05-14,18
2020-05-15,19
2020-05-16,0
2020-05-17,0
2020-05-18,27
2020-05-19,37
2020-05-20,28
2020-05-21,21
2020-05-22,18
2020-05-23,0
2020-05-24,19
2020-05-25,0
2020-05-26,28
2020-05-27,0
2020-05-28,18
2020-05-29,19
2020-05-30,0
2020-05-31,21
2020-06-01,20
2020-06-02,17
2020-06-03,16
2020-06-04,16
2020-06-05,16
2020-06-06,19
2020-06-07,0
2020-06-08,16
2020-06-09,0
2020-06-10,17
2020-06-11,18
2020-06-12,0
2020-06-13,0
2020-06-14,20
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,45
2020-06-19,28
2020-06-20,33
2020-06-21,21
2020-06-22,0
2020-06-23,19
2020-06-24,20
2020-06-25,20
2020-06-26,0
2020-06-27,41
2020-06-28,19
2020-06-29,18
2020-06-30,38
2020-07-01,36
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,39
2020-07-08,28
2020-07-09,20
2020-07-10,21
2020-07-11,0
2020-07-12,24
2020-07-13,40
2020-07-14,19
2020-07-15,20
2020-07-16,39
2020-07-17,22
2020-07-18,50
2020-07-19,24
2020-07-20,21
2020-07-21,23
2020-07-22,0
2020-07-23,0
2020-07-24,21
2020-07-25,0
2020-07-26,44
2020-07-27,39
2020-07-28,20
2020-07-29,0
2020-07-30,21
2020-07-31,0
2020-08-01,22
2020-08-02,21
2020-08-03,19
2020-08-04,19
2020-08-05,20
2020-08-06,30
2020-08-07,21
2020-08-08,0
2020-08-09,43
2020-08-10,19
2020-08-11,25
2020-08-12,28
2020-08-13,76
2020-08-14,19
2020-08-15,40
2020-08-16,100
2020-08-17,18
2020-08-18,19
2020-08-19,32
2020-08-20,29
2020-08-21,19
2020-08-22,21
2020-08-23,20
2020-08-24,24
2020-08-25,19
2020-08-26,19
2020-08-27,0
2020-08-28,20
2020-08-29,21
2020-08-30,20
2020-08-31,19
2020-09-01,19
2020-09-02,20
2020-09-03,20
2020-09-04,20
2020-09-05,0
2020-09-06,0
2020-09-07,30
2020-09-08,0
2020-09-09,20
2020-09-10,21
2020-09-11,0
2020-09-12,22
2020-09-13,22
2020-09-14,40
2020-09-15,20
2020-09-16,19
2020-09-17,20
2020-09-18,41
2020-09-19,22
2020-09-20,21
2020-09-21,29
2020-09-22,79
2020-09-23,38
2020-09-24,0
2020-09-25,42
2020-09-26,42
2020-09-27,20
2020-09-28,19
2020-09-29,20
