date,/m/0tbr
2020-02-01,35
2020-02-02,25
2020-02-03,51
2020-02-04,49
2020-02-05,41
2020-02-06,26
2020-02-07,40
2020-02-08,53
2020-02-09,23
2020-02-10,47
2020-02-11,41
2020-02-12,48
2020-02-13,50
2020-02-14,60
2020-02-15,54
2020-02-16,49
2020-02-17,48
2020-02-18,60
2020-02-19,32
2020-02-20,63
2020-02-21,43
2020-02-22,40
2020-02-23,67
2020-02-24,32
2020-02-25,47
2020-02-26,69
2020-02-27,45
2020-02-28,25
2020-02-29,34
2020-03-01,24
2020-03-02,31
2020-03-03,40
2020-03-04,48
2020-03-05,48
2020-03-06,49
2020-03-07,44
2020-03-08,49
2020-03-09,31
2020-03-10,38
2020-03-11,69
2020-03-12,67
2020-03-13,33
2020-03-14,42
2020-03-15,75
2020-03-16,33
2020-03-17,74
2020-03-18,23
2020-03-19,82
2020-03-20,85
2020-03-21,24
2020-03-22,48
2020-03-23,33
2020-03-24,29
2020-03-25,22
2020-03-26,65
2020-03-27,40
2020-03-28,47
2020-03-29,44
2020-03-30,91
2020-03-31,20
2020-04-01,31
2020-04-02,20
2020-04-03,51
2020-04-04,24
2020-04-05,63
2020-04-06,21
2020-04-07,21
2020-04-08,22
2020-04-09,22
2020-04-10,30
2020-04-11,36
2020-04-12,24
2020-04-13,62
2020-04-14,41
2020-04-15,43
2020-04-16,0
2020-04-17,37
2020-04-18,43
2020-04-19,22
2020-04-20,34
2020-04-21,21
2020-04-22,51
2020-04-23,32
2020-04-24,32
2020-04-25,23
2020-04-26,62
2020-04-27,28
2020-04-28,30
2020-04-29,49
2020-04-30,19
2020-05-01,31
2020-05-02,28
2020-05-03,22
2020-05-04,29
2020-05-05,19
2020-05-06,31
2020-05-07,44
2020-05-08,22
2020-05-09,36
2020-05-10,30
2020-05-11,20
2020-05-12,30
2020-05-13,31
2020-05-14,21
2020-05-15,22
2020-05-16,24
2020-05-17,0
2020-05-18,28
2020-05-19,43
2020-05-20,51
2020-05-21,36
2020-05-22,21
2020-05-23,56
2020-05-24,45
2020-05-25,21
2020-05-26,54
2020-05-27,21
2020-05-28,42
2020-05-29,22
2020-05-30,33
2020-05-31,25
2020-06-01,23
2020-06-02,27
2020-06-03,19
2020-06-04,18
2020-06-05,18
2020-06-06,32
2020-06-07,0
2020-06-08,27
2020-06-09,46
2020-06-10,30
2020-06-11,21
2020-06-12,21
2020-06-13,36
2020-06-14,24
2020-06-15,50
2020-06-16,20
2020-06-17,30
2020-06-18,52
2020-06-19,0
2020-06-20,38
2020-06-21,24
2020-06-22,49
2020-06-23,0
2020-06-24,46
2020-06-25,39
2020-06-26,23
2020-06-27,24
2020-06-28,44
2020-06-29,43
2020-06-30,43
2020-07-01,31
2020-07-02,22
2020-07-03,58
2020-07-04,25
2020-07-05,23
2020-07-06,33
2020-07-07,45
2020-07-08,44
2020-07-09,47
2020-07-10,36
2020-07-11,28
2020-07-12,0
2020-07-13,24
2020-07-14,22
2020-07-15,46
2020-07-16,45
2020-07-17,25
2020-07-18,58
2020-07-19,42
2020-07-20,25
2020-07-21,27
2020-07-22,33
2020-07-23,41
2020-07-24,49
2020-07-25,52
2020-07-26,25
2020-07-27,23
2020-07-28,23
2020-07-29,48
2020-07-30,50
2020-07-31,25
2020-08-01,26
2020-08-02,24
2020-08-03,21
2020-08-04,30
2020-08-05,47
2020-08-06,48
2020-08-07,37
2020-08-08,34
2020-08-09,41
2020-08-10,22
2020-08-11,44
2020-08-12,22
2020-08-13,22
2020-08-14,100
2020-08-15,0
2020-08-16,39
2020-08-17,0
2020-08-18,50
2020-08-19,37
2020-08-20,45
2020-08-21,30
2020-08-22,50
2020-08-23,30
2020-08-24,32
2020-08-25,22
2020-08-26,37
2020-08-27,38
2020-08-28,23
2020-08-29,0
2020-08-30,23
2020-08-31,43
2020-09-01,0
2020-09-02,31
2020-09-03,23
2020-09-04,23
2020-09-05,24
2020-09-06,38
2020-09-07,23
2020-09-08,34
2020-09-09,46
2020-09-10,94
2020-09-11,25
2020-09-12,35
2020-09-13,51
2020-09-14,23
2020-09-15,46
2020-09-16,46
2020-09-17,39
2020-09-18,36
2020-09-19,51
2020-09-20,37
2020-09-21,45
2020-09-22,57
2020-09-23,44
2020-09-24,0
2020-09-25,24
2020-09-26,33
2020-09-27,48
2020-09-28,22
2020-09-29,31
