date,/m/01b_5g
2020-02-01,31
2020-02-02,44
2020-02-03,52
2020-02-04,39
2020-02-05,30
2020-02-06,46
2020-02-07,47
2020-02-08,31
2020-02-09,28
2020-02-10,0
2020-02-11,29
2020-02-12,29
2020-02-13,29
2020-02-14,31
2020-02-15,94
2020-02-16,0
2020-02-17,0
2020-02-18,47
2020-02-19,43
2020-02-20,58
2020-02-21,52
2020-02-22,32
2020-02-23,30
2020-02-24,28
2020-02-25,28
2020-02-26,0
2020-02-27,54
2020-02-28,29
2020-02-29,40
2020-03-01,57
2020-03-02,56
2020-03-03,38
2020-03-04,28
2020-03-05,66
2020-03-06,29
2020-03-07,31
2020-03-08,86
2020-03-09,55
2020-03-10,0
2020-03-11,27
2020-03-12,0
2020-03-13,29
2020-03-14,30
2020-03-15,30
2020-03-16,77
2020-03-17,53
2020-03-18,27
2020-03-19,53
2020-03-20,100
2020-03-21,42
2020-03-22,87
2020-03-23,24
2020-03-24,64
2020-03-25,65
2020-03-26,34
2020-03-27,36
2020-03-28,28
2020-03-29,35
2020-03-30,71
2020-03-31,36
2020-04-01,58
2020-04-02,32
2020-04-03,61
2020-04-04,57
2020-04-05,29
2020-04-06,50
2020-04-07,26
2020-04-08,43
2020-04-09,35
2020-04-10,26
2020-04-11,29
2020-04-12,28
2020-04-13,58
2020-04-14,40
2020-04-15,26
2020-04-16,26
2020-04-17,26
2020-04-18,0
2020-04-19,26
2020-04-20,32
2020-04-21,50
2020-04-22,64
2020-04-23,33
2020-04-24,25
2020-04-25,28
2020-04-26,39
2020-04-27,25
2020-04-28,0
2020-04-29,24
2020-04-30,34
2020-05-01,37
2020-05-02,25
2020-05-03,0
2020-05-04,46
2020-05-05,23
2020-05-06,38
2020-05-07,26
2020-05-08,26
2020-05-09,57
2020-05-10,53
2020-05-11,38
2020-05-12,41
2020-05-13,25
2020-05-14,25
2020-05-15,52
2020-05-16,28
2020-05-17,30
2020-05-18,0
2020-05-19,0
2020-05-20,52
2020-05-21,29
2020-05-22,25
2020-05-23,39
2020-05-24,44
2020-05-25,61
2020-05-26,34
2020-05-27,38
2020-05-28,25
2020-05-29,53
2020-05-30,29
2020-05-31,0
