date,/g/1216fdm2_0,/g/1216fdm2,batch_id
2021-02-01,44.0,44.0,1
2021-02-02,31.0,31.0,1
2021-02-03,25.0,25.0,1
2021-02-04,39.0,39.0,1
2021-02-05,33.0,33.0,1
2021-02-06,0.0,0.0,1
2021-02-07,14.0,14.0,1
2021-02-08,31.0,31.0,1
2021-02-09,13.0,13.0,1
2021-02-10,6.0,6.0,1
2021-02-11,19.0,19.0,1
2021-02-12,26.0,26.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,44.0,44.0,1
2021-02-16,33.0,33.0,1
2021-02-17,20.0,20.0,1
2021-02-18,32.0,32.0,1
2021-02-19,34.0,34.0,1
2021-02-20,8.0,8.0,1
2021-02-21,0.0,0.0,1
2021-02-22,6.0,6.0,1
2021-02-23,26.0,26.0,1
2021-02-24,100.0,100.0,1
2021-02-25,60.0,60.0,1
2021-02-26,20.0,20.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,38.0,38.0,1
2021-03-02,46.0,46.0,1
2021-03-03,40.0,40.0,1
2021-03-04,31.0,31.0,1
2021-03-05,47.0,47.0,1
2021-03-06,22.0,22.0,1
2021-03-07,0.0,0.0,1
2021-03-08,45.0,45.0,1
2021-03-09,44.0,44.0,1
2021-03-10,39.0,39.0,1
2021-03-11,45.0,45.0,1
2021-03-12,40.0,40.0,1
2021-03-13,14.0,14.0,1
2021-03-14,14.0,14.0,1
2021-03-15,25.0,25.0,1
2021-03-16,61.0,61.0,1
2021-03-17,26.0,26.0,1
2021-03-18,6.0,6.0,1
2021-03-19,20.0,20.0,1
2021-03-20,8.0,8.0,1
2021-03-21,7.0,7.0,1
2021-03-22,51.0,51.0,1
2021-03-23,38.0,38.0,1
2021-03-24,26.0,26.0,1
2021-03-25,33.0,33.0,1
2021-03-26,41.0,41.0,1
2021-03-27,0.0,0.0,1
2021-03-28,8.0,8.0,1
2021-03-29,40.0,40.0,1
2021-03-30,70.0,70.0,1
2021-03-31,7.0,7.0,1
2021-04-01,34.0,34.0,1
2021-04-02,7.0,7.0,1
2021-04-03,0.0,0.0,1
2021-04-04,8.0,8.0,1
2021-04-05,7.0,7.0,1
2021-04-06,37.0,37.0,1
2021-04-07,25.0,25.0,1
2021-04-08,26.0,26.0,1
2021-04-09,20.0,20.0,1
2021-04-10,7.0,7.0,1
2021-04-11,0.0,0.0,1
2021-04-12,44.0,44.0,1
2021-04-13,20.0,20.0,1
2021-04-14,26.0,26.0,1
2021-04-15,39.0,39.0,1
2021-04-16,34.0,34.0,1
2021-04-17,0.0,0.0,1
2021-04-18,7.0,7.0,1
2021-04-19,50.0,50.0,1
2021-04-20,19.0,19.0,1
2021-04-21,53.0,53.0,1
2021-04-22,54.0,54.0,1
2021-04-23,21.0,21.0,1
2021-04-24,15.0,15.0,1
2021-04-25,0.0,0.0,1
2021-04-26,26.0,26.0,1
2021-04-27,40.0,40.0,1
2021-04-28,33.0,33.0,1
2021-04-29,6.0,6.0,1
2021-04-30,32.0,32.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,25.0,25.0,1
2021-05-04,54.0,54.0,1
2021-05-05,6.0,6.0,1
2021-05-06,25.0,25.0,1
2021-05-07,33.0,33.0,1
2021-05-08,7.0,7.0,1
2021-05-09,0.0,0.0,1
2021-05-10,32.0,32.0,1
2021-05-11,56.0,56.0,1
2021-05-12,32.0,32.0,1
2021-05-13,14.0,14.0,1
2021-05-14,14.0,14.0,1
