date,/m/030n8h_0,/m/030n8h,batch_id
2021-02-01,17.0,17.0,1
2021-02-02,17.0,17.0,1
2021-02-03,83.0,83.0,1
2021-02-04,52.0,52.0,1
2021-02-05,17.0,17.0,1
2021-02-06,0.0,0.0,1
2021-02-07,18.0,18.0,1
2021-02-08,67.0,67.0,1
2021-02-09,34.0,34.0,1
2021-02-10,17.0,17.0,1
2021-02-11,34.0,34.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,20.0,20.0,1
2021-02-15,100.0,100.0,1
2021-02-16,0.0,0.0,1
2021-02-17,17.0,17.0,1
2021-02-18,17.0,17.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,32.0,32.0,1
2021-02-23,0.0,0.0,1
2021-02-24,18.0,18.0,1
2021-02-25,18.0,18.0,1
2021-02-26,35.0,35.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,34.0,34.0,1
2021-03-02,70.0,70.0,1
2021-03-03,35.0,35.0,1
2021-03-04,50.0,50.0,1
2021-03-05,71.0,71.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,17.0,17.0,1
2021-03-09,33.0,33.0,1
2021-03-10,51.0,51.0,1
2021-03-11,17.0,17.0,1
2021-03-12,18.0,18.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,44.0,44.0,1
2021-03-17,34.0,34.0,1
2021-03-18,34.0,34.0,1
2021-03-19,36.0,36.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,17.0,17.0,1
2021-03-23,17.0,17.0,1
2021-03-24,17.0,17.0,1
2021-03-25,0.0,0.0,1
2021-03-26,18.0,18.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,71.0,71.0,1
2021-03-30,0.0,0.0,1
2021-03-31,19.0,19.0,1
2021-04-01,18.0,18.0,1
2021-04-02,37.0,37.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,0.0,0.0,1
2021-04-07,50.0,50.0,1
2021-04-08,0.0,0.0,1
2021-04-09,18.0,18.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,33.0,33.0,1
2021-04-13,35.0,35.0,1
2021-04-14,51.0,51.0,1
2021-04-15,0.0,0.0,1
2021-04-16,55.0,55.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,17.0,17.0,1
2021-04-20,34.0,34.0,1
2021-04-21,18.0,18.0,1
2021-04-22,71.0,71.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,34.0,34.0,1
2021-04-27,18.0,18.0,1
2021-04-28,35.0,35.0,1
2021-04-29,17.0,17.0,1
2021-04-30,17.0,17.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,50.0,50.0,1
2021-05-04,16.0,16.0,1
2021-05-05,0.0,0.0,1
2021-05-06,34.0,34.0,1
2021-05-07,17.0,17.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,50.0,50.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
