date,/m/026yf
2020-02-01,56
2020-02-02,64
2020-02-03,70
2020-02-04,79
2020-02-05,71
2020-02-06,73
2020-02-07,60
2020-02-08,46
2020-02-09,67
2020-02-10,70
2020-02-11,71
2020-02-12,70
2020-02-13,77
2020-02-14,57
2020-02-15,54
2020-02-16,69
2020-02-17,71
2020-02-18,74
2020-02-19,70
2020-02-20,67
2020-02-21,69
2020-02-22,54
2020-02-23,53
2020-02-24,57
2020-02-25,58
2020-02-26,72
2020-02-27,64
2020-02-28,66
2020-02-29,60
2020-03-01,73
2020-03-02,75
2020-03-03,61
2020-03-04,66
2020-03-05,70
2020-03-06,53
2020-03-07,57
2020-03-08,79
2020-03-09,85
2020-03-10,73
2020-03-11,85
2020-03-12,80
2020-03-13,56
2020-03-14,60
2020-03-15,64
2020-03-16,69
2020-03-17,90
2020-03-18,80
2020-03-19,86
2020-03-20,84
2020-03-21,73
2020-03-22,85
2020-03-23,94
2020-03-24,89
2020-03-25,91
2020-03-26,95
2020-03-27,88
2020-03-28,78
2020-03-29,80
2020-03-30,80
2020-03-31,92
2020-04-01,86
2020-04-02,93
2020-04-03,80
2020-04-04,72
2020-04-05,61
2020-04-06,77
2020-04-07,68
2020-04-08,71
2020-04-09,79
2020-04-10,68
2020-04-11,73
2020-04-12,62
2020-04-13,77
2020-04-14,76
2020-04-15,72
2020-04-16,77
2020-04-17,80
2020-04-18,69
2020-04-19,76
2020-04-20,90
2020-04-21,93
2020-04-22,87
2020-04-23,95
2020-04-24,79
2020-04-25,75
2020-04-26,73
2020-04-27,79
2020-04-28,94
2020-04-29,100
2020-04-30,91
2020-05-01,85
2020-05-02,73
2020-05-03,77
2020-05-04,79
2020-05-05,84
2020-05-06,71
2020-05-07,81
2020-05-08,79
2020-05-09,70
2020-05-10,69
2020-05-11,77
2020-05-12,87
2020-05-13,86
2020-05-14,92
2020-05-15,74
2020-05-16,66
2020-05-17,79
2020-05-18,73
2020-05-19,76
2020-05-20,80
2020-05-21,73
2020-05-22,69
2020-05-23,68
2020-05-24,71
2020-05-25,82
2020-05-26,85
2020-05-27,89
2020-05-28,76
2020-05-29,78
2020-05-30,64
2020-05-31,73
