date,/m/0294j
2020-02-01,51
2020-02-02,57
2020-02-03,61
2020-02-04,38
2020-02-05,55
2020-02-06,49
2020-02-07,36
2020-02-08,38
2020-02-09,41
2020-02-10,44
2020-02-11,49
2020-02-12,44
2020-02-13,38
2020-02-14,48
2020-02-15,61
2020-02-16,41
2020-02-17,55
2020-02-18,38
2020-02-19,42
2020-02-20,45
2020-02-21,41
2020-02-22,45
2020-02-23,49
2020-02-24,56
2020-02-25,49
2020-02-26,47
2020-02-27,39
2020-02-28,54
2020-02-29,48
2020-03-01,45
2020-03-02,46
2020-03-03,47
2020-03-04,54
2020-03-05,42
2020-03-06,46
2020-03-07,37
2020-03-08,46
2020-03-09,55
2020-03-10,53
2020-03-11,59
2020-03-12,59
2020-03-13,61
2020-03-14,60
2020-03-15,81
2020-03-16,62
2020-03-17,47
2020-03-18,68
2020-03-19,84
2020-03-20,84
2020-03-21,91
2020-03-22,90
2020-03-23,78
2020-03-24,78
2020-03-25,79
2020-03-26,71
2020-03-27,77
2020-03-28,81
2020-03-29,88
2020-03-30,70
2020-03-31,84
2020-04-01,69
2020-04-02,89
2020-04-03,75
2020-04-04,81
2020-04-05,91
2020-04-06,72
2020-04-07,74
2020-04-08,70
2020-04-09,76
2020-04-10,86
2020-04-11,100
2020-04-12,79
2020-04-13,89
2020-04-14,73
2020-04-15,70
2020-04-16,78
2020-04-17,88
2020-04-18,72
2020-04-19,70
2020-04-20,73
2020-04-21,60
2020-04-22,54
2020-04-23,60
2020-04-24,57
2020-04-25,74
2020-04-26,87
2020-04-27,67
2020-04-28,60
2020-04-29,67
2020-04-30,44
2020-05-01,55
2020-05-02,46
2020-05-03,65
2020-05-04,57
2020-05-05,59
2020-05-06,56
2020-05-07,41
2020-05-08,57
2020-05-09,59
2020-05-10,58
2020-05-11,41
2020-05-12,46
2020-05-13,47
2020-05-14,45
2020-05-15,46
2020-05-16,63
2020-05-17,58
2020-05-18,43
2020-05-19,48
2020-05-20,39
2020-05-21,54
2020-05-22,51
2020-05-23,56
2020-05-24,55
2020-05-25,52
2020-05-26,45
2020-05-27,56
2020-05-28,61
2020-05-29,58
2020-05-30,56
2020-05-31,52
