date,/g/11h_0nmqkp_0,/g/11h_0nmqkp,batch_id
2021-02-01,74.0,74.0,1
2021-02-02,18.0,18.0,1
2021-02-03,37.0,37.0,1
2021-02-04,19.0,19.0,1
2021-02-05,48.0,48.0,1
2021-02-06,0.0,0.0,1
2021-02-07,10.0,10.0,1
2021-02-08,9.0,9.0,1
2021-02-09,19.0,19.0,1
2021-02-10,18.0,18.0,1
2021-02-11,28.0,28.0,1
2021-02-12,29.0,29.0,1
2021-02-13,11.0,11.0,1
2021-02-14,0.0,0.0,1
2021-02-15,9.0,9.0,1
2021-02-16,48.0,48.0,1
2021-02-17,19.0,19.0,1
2021-02-18,38.0,38.0,1
2021-02-19,30.0,30.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,18.0,18.0,1
2021-02-23,10.0,10.0,1
2021-02-24,49.0,49.0,1
2021-02-25,19.0,19.0,1
2021-02-26,39.0,39.0,1
2021-02-27,0.0,0.0,1
2021-02-28,21.0,21.0,1
2021-03-01,9.0,9.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,55.0,55.0,1
2021-03-05,20.0,20.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,28.0,28.0,1
2021-03-09,37.0,37.0,1
2021-03-10,19.0,19.0,1
2021-03-11,28.0,28.0,1
2021-03-12,39.0,39.0,1
2021-03-13,10.0,10.0,1
2021-03-14,0.0,0.0,1
2021-03-15,44.0,44.0,1
2021-03-16,73.0,73.0,1
2021-03-17,75.0,75.0,1
2021-03-18,9.0,9.0,1
2021-03-19,30.0,30.0,1
2021-03-20,11.0,11.0,1
2021-03-21,0.0,0.0,1
2021-03-22,37.0,37.0,1
2021-03-23,28.0,28.0,1
2021-03-24,28.0,28.0,1
2021-03-25,19.0,19.0,1
2021-03-26,30.0,30.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,30.0,30.0,1
2021-03-30,20.0,20.0,1
2021-03-31,11.0,11.0,1
2021-04-01,100.0,100.0,1
2021-04-02,10.0,10.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,10.0,10.0,1
2021-04-06,18.0,18.0,1
2021-04-07,9.0,9.0,1
2021-04-08,67.0,67.0,1
2021-04-09,29.0,29.0,1
2021-04-10,19.0,19.0,1
2021-04-11,10.0,10.0,1
2021-04-12,0.0,0.0,1
2021-04-13,29.0,29.0,1
2021-04-14,28.0,28.0,1
2021-04-15,10.0,10.0,1
2021-04-16,20.0,20.0,1
2021-04-17,0.0,0.0,1
2021-04-18,11.0,11.0,1
2021-04-19,18.0,18.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,10.0,10.0,1
2021-04-23,20.0,20.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,28.0,28.0,1
2021-04-27,20.0,20.0,1
2021-04-28,10.0,10.0,1
2021-04-29,19.0,19.0,1
2021-04-30,28.0,28.0,1
2021-05-01,0.0,0.0,1
2021-05-02,10.0,10.0,1
2021-05-03,28.0,28.0,1
2021-05-04,26.0,26.0,1
2021-05-05,18.0,18.0,1
2021-05-06,19.0,19.0,1
2021-05-07,10.0,10.0,1
2021-05-08,0.0,0.0,1
2021-05-09,11.0,11.0,1
2021-05-10,28.0,28.0,1
2021-05-11,36.0,36.0,1
2021-05-12,9.0,9.0,1
2021-05-13,10.0,10.0,1
2021-05-14,10.0,10.0,1
