date,/m/03xlfx_0,/m/03xlfx,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,84.0,84.0,1
2021-02-03,67.0,67.0,1
2021-02-04,62.0,62.0,1
2021-02-05,47.0,47.0,1
2021-02-06,9.0,9.0,1
2021-02-07,12.0,12.0,1
2021-02-08,24.0,24.0,1
2021-02-09,19.0,19.0,1
2021-02-10,8.0,8.0,1
2021-02-11,25.0,25.0,1
2021-02-12,23.0,23.0,1
2021-02-13,3.0,3.0,1
2021-02-14,3.0,3.0,1
2021-02-15,5.0,5.0,1
2021-02-16,6.0,6.0,1
2021-02-17,11.0,11.0,1
2021-02-18,8.0,8.0,1
2021-02-19,6.0,6.0,1
2021-02-20,13.0,13.0,1
2021-02-21,7.0,7.0,1
2021-02-22,13.0,13.0,1
2021-02-23,6.0,6.0,1
2021-02-24,17.0,17.0,1
2021-02-25,46.0,46.0,1
2021-02-26,23.0,23.0,1
2021-02-27,9.0,9.0,1
2021-02-28,12.0,12.0,1
2021-03-01,30.0,30.0,1
2021-03-02,8.0,8.0,1
2021-03-03,26.0,26.0,1
2021-03-04,13.0,13.0,1
2021-03-05,23.0,23.0,1
2021-03-06,6.0,6.0,1
2021-03-07,0.0,0.0,1
2021-03-08,17.0,17.0,1
2021-03-09,11.0,11.0,1
2021-03-10,41.0,41.0,1
2021-03-11,22.0,22.0,1
2021-03-12,42.0,42.0,1
2021-03-13,9.0,9.0,1
2021-03-14,3.0,3.0,1
2021-03-15,28.0,28.0,1
2021-03-16,12.0,12.0,1
2021-03-17,8.0,8.0,1
2021-03-18,11.0,11.0,1
2021-03-19,12.0,12.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,8.0,8.0,1
2021-03-23,11.0,11.0,1
2021-03-24,16.0,16.0,1
2021-03-25,17.0,17.0,1
2021-03-26,23.0,23.0,1
2021-03-27,6.0,6.0,1
2021-03-28,0.0,0.0,1
2021-03-29,14.0,14.0,1
2021-03-30,9.0,9.0,1
2021-03-31,6.0,6.0,1
2021-04-01,12.0,12.0,1
2021-04-02,0.0,0.0,1
2021-04-03,3.0,3.0,1
2021-04-04,3.0,3.0,1
2021-04-05,6.0,6.0,1
2021-04-06,5.0,5.0,1
2021-04-07,8.0,8.0,1
2021-04-08,11.0,11.0,1
2021-04-09,3.0,3.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,5.0,5.0,1
2021-04-13,6.0,6.0,1
2021-04-14,6.0,6.0,1
2021-04-15,0.0,0.0,1
2021-04-16,18.0,18.0,1
2021-04-17,0.0,0.0,1
2021-04-18,3.0,3.0,1
2021-04-19,13.0,13.0,1
2021-04-20,6.0,6.0,1
2021-04-21,8.0,8.0,1
2021-04-22,3.0,3.0,1
2021-04-23,6.0,6.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,14.0,14.0,1
2021-04-27,17.0,17.0,1
2021-04-28,0.0,0.0,1
2021-04-29,5.0,5.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,3.0,3.0,1
2021-05-03,16.0,16.0,1
2021-05-04,8.0,8.0,1
2021-05-05,13.0,13.0,1
2021-05-06,3.0,3.0,1
2021-05-07,8.0,8.0,1
2021-05-08,0.0,0.0,1
2021-05-09,3.0,3.0,1
2021-05-10,5.0,5.0,1
2021-05-11,3.0,3.0,1
2021-05-12,19.0,19.0,1
2021-05-13,9.0,9.0,1
2021-05-14,3.0,3.0,1
