date,/g/11gx_4gpzc_0,/g/11gx_4gpzc,batch_id
2021-02-01,24.0,24.0,1
2021-02-02,71.0,71.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,49.0,49.0,1
2021-02-06,26.0,26.0,1
2021-02-07,26.0,26.0,1
2021-02-08,71.0,71.0,1
2021-02-09,24.0,24.0,1
2021-02-10,71.0,71.0,1
2021-02-11,24.0,24.0,1
2021-02-12,25.0,25.0,1
2021-02-13,55.0,55.0,1
2021-02-14,55.0,55.0,1
2021-02-15,0.0,0.0,1
2021-02-16,0.0,0.0,1
2021-02-17,24.0,24.0,1
2021-02-18,24.0,24.0,1
2021-02-19,26.0,26.0,1
2021-02-20,29.0,29.0,1
2021-02-21,0.0,0.0,1
2021-02-22,23.0,23.0,1
2021-02-23,0.0,0.0,1
2021-02-24,100.0,100.0,1
2021-02-25,25.0,25.0,1
2021-02-26,25.0,25.0,1
2021-02-27,55.0,55.0,1
2021-02-28,54.0,54.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,50.0,50.0,1
2021-03-04,0.0,0.0,1
2021-03-05,50.0,50.0,1
2021-03-06,56.0,56.0,1
2021-03-07,0.0,0.0,1
2021-03-08,72.0,72.0,1
2021-03-09,47.0,47.0,1
2021-03-10,24.0,24.0,1
2021-03-11,48.0,48.0,1
2021-03-12,50.0,50.0,1
2021-03-13,26.0,26.0,1
2021-03-14,25.0,25.0,1
2021-03-15,38.0,38.0,1
2021-03-16,21.0,21.0,1
2021-03-17,24.0,24.0,1
2021-03-18,24.0,24.0,1
2021-03-19,25.0,25.0,1
2021-03-20,28.0,28.0,1
2021-03-21,26.0,26.0,1
2021-03-22,0.0,0.0,1
2021-03-23,24.0,24.0,1
2021-03-24,24.0,24.0,1
2021-03-25,25.0,25.0,1
2021-03-26,51.0,51.0,1
2021-03-27,27.0,27.0,1
2021-03-28,29.0,29.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,27.0,27.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,84.0,84.0,1
2021-04-04,28.0,28.0,1
2021-04-05,25.0,25.0,1
2021-04-06,23.0,23.0,1
2021-04-07,47.0,47.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,50.0,50.0,1
2021-04-11,0.0,0.0,1
2021-04-12,23.0,23.0,1
2021-04-13,74.0,74.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,51.0,51.0,1
2021-04-17,56.0,56.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,24.0,24.0,1
2021-04-21,74.0,74.0,1
2021-04-22,25.0,25.0,1
2021-04-23,26.0,26.0,1
2021-04-24,29.0,29.0,1
2021-04-25,55.0,55.0,1
2021-04-26,0.0,0.0,1
2021-04-27,25.0,25.0,1
2021-04-28,25.0,25.0,1
2021-04-29,71.0,71.0,1
2021-04-30,24.0,24.0,1
2021-05-01,27.0,27.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,45.0,45.0,1
2021-05-05,46.0,46.0,1
2021-05-06,24.0,24.0,1
2021-05-07,0.0,0.0,1
2021-05-08,27.0,27.0,1
2021-05-09,29.0,29.0,1
2021-05-10,0.0,0.0,1
2021-05-11,70.0,70.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,78.0,78.0,1
