date,/g/122rtzqq_0,/g/122rtzqq,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,31.0,31.0,1
2021-02-04,99.0,99.0,1
2021-02-05,33.0,33.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,95.0,95.0,1
2021-02-09,64.0,64.0,1
2021-02-10,0.0,0.0,1
2021-02-11,33.0,33.0,1
2021-02-12,33.0,33.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,63.0,63.0,1
2021-02-16,66.0,66.0,1
2021-02-17,0.0,0.0,1
2021-02-18,0.0,0.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,92.0,92.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,0.0,0.0,1
2021-02-26,100.0,100.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,32.0,32.0,1
2021-03-02,0.0,0.0,1
2021-03-03,33.0,33.0,1
2021-03-04,32.0,32.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,63.0,63.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,33.0,33.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,25.0,25.0,1
2021-03-16,28.0,28.0,1
2021-03-17,96.0,96.0,1
2021-03-18,32.0,32.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,32.0,32.0,1
2021-03-23,64.0,64.0,1
2021-03-24,64.0,64.0,1
2021-03-25,0.0,0.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,34.0,34.0,1
2021-03-30,35.0,35.0,1
2021-03-31,36.0,36.0,1
2021-04-01,0.0,0.0,1
2021-04-02,35.0,35.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,62.0,62.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,31.0,31.0,1
2021-04-13,0.0,0.0,1
2021-04-14,32.0,32.0,1
2021-04-15,33.0,33.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,32.0,32.0,1
2021-04-20,33.0,33.0,1
2021-04-21,33.0,33.0,1
2021-04-22,34.0,34.0,1
2021-04-23,0.0,0.0,1
2021-04-24,39.0,39.0,1
2021-04-25,0.0,0.0,1
2021-04-26,97.0,97.0,1
2021-04-27,33.0,33.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,30.0,30.0,1
2021-05-05,92.0,92.0,1
2021-05-06,32.0,32.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
