date,/m/0f7s_d_0,/m/0f7s_d,batch_id
2021-02-01,68.0,68.0,1
2021-02-02,45.0,45.0,1
2021-02-03,68.0,68.0,1
2021-02-04,24.0,24.0,1
2021-02-05,71.0,71.0,1
2021-02-06,0.0,0.0,1
2021-02-07,25.0,25.0,1
2021-02-08,0.0,0.0,1
2021-02-09,23.0,23.0,1
2021-02-10,68.0,68.0,1
2021-02-11,47.0,47.0,1
2021-02-12,48.0,48.0,1
2021-02-13,27.0,27.0,1
2021-02-14,53.0,53.0,1
2021-02-15,23.0,23.0,1
2021-02-16,48.0,48.0,1
2021-02-17,70.0,70.0,1
2021-02-18,0.0,0.0,1
2021-02-19,50.0,50.0,1
2021-02-20,28.0,28.0,1
2021-02-21,28.0,28.0,1
2021-02-22,88.0,88.0,1
2021-02-23,0.0,0.0,1
2021-02-24,48.0,48.0,1
2021-02-25,48.0,48.0,1
2021-02-26,24.0,24.0,1
2021-02-27,53.0,53.0,1
2021-02-28,26.0,26.0,1
2021-03-01,46.0,46.0,1
2021-03-02,72.0,72.0,1
2021-03-03,24.0,24.0,1
2021-03-04,23.0,23.0,1
2021-03-05,49.0,49.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,23.0,23.0,1
2021-03-09,23.0,23.0,1
2021-03-10,23.0,23.0,1
2021-03-11,0.0,0.0,1
2021-03-12,24.0,24.0,1
2021-03-13,25.0,25.0,1
2021-03-14,0.0,0.0,1
2021-03-15,36.0,36.0,1
2021-03-16,100.0,100.0,1
2021-03-17,0.0,0.0,1
2021-03-18,47.0,47.0,1
2021-03-19,24.0,24.0,1
2021-03-20,27.0,27.0,1
2021-03-21,25.0,25.0,1
2021-03-22,69.0,69.0,1
2021-03-23,23.0,23.0,1
2021-03-24,0.0,0.0,1
2021-03-25,24.0,24.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,49.0,49.0,1
2021-03-30,25.0,25.0,1
2021-03-31,78.0,78.0,1
2021-04-01,49.0,49.0,1
2021-04-02,25.0,25.0,1
2021-04-03,54.0,54.0,1
2021-04-04,0.0,0.0,1
2021-04-05,24.0,24.0,1
2021-04-06,89.0,89.0,1
2021-04-07,23.0,23.0,1
2021-04-08,24.0,24.0,1
2021-04-09,0.0,0.0,1
2021-04-10,48.0,48.0,1
2021-04-11,0.0,0.0,1
2021-04-12,45.0,45.0,1
2021-04-13,48.0,48.0,1
2021-04-14,70.0,70.0,1
2021-04-15,48.0,48.0,1
2021-04-16,74.0,74.0,1
2021-04-17,27.0,27.0,1
2021-04-18,27.0,27.0,1
2021-04-19,23.0,23.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,24.0,24.0,1
2021-04-23,0.0,0.0,1
2021-04-24,28.0,28.0,1
2021-04-25,27.0,27.0,1
2021-04-26,23.0,23.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,0.0,0.0,1
2021-05-05,0.0,0.0,1
2021-05-06,23.0,23.0,1
2021-05-07,71.0,71.0,1
2021-05-08,26.0,26.0,1
2021-05-09,28.0,28.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,70.0,70.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
