date,/m/01_qc__0,/m/01_qc_,batch_id
2021-02-01,6.0,6.0,1
2021-02-02,12.0,12.0,1
2021-02-03,0.0,0.0,1
2021-02-04,6.0,6.0,1
2021-02-05,12.0,12.0,1
2021-02-06,7.0,7.0,1
2021-02-07,0.0,0.0,1
2021-02-08,6.0,6.0,1
2021-02-09,0.0,0.0,1
2021-02-10,6.0,6.0,1
2021-02-11,12.0,12.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,14.0,14.0,1
2021-02-15,24.0,24.0,1
2021-02-16,25.0,25.0,1
2021-02-17,6.0,6.0,1
2021-02-18,12.0,12.0,1
2021-02-19,0.0,0.0,1
2021-02-20,7.0,7.0,1
2021-02-21,0.0,0.0,1
2021-02-22,6.0,6.0,1
2021-02-23,6.0,6.0,1
2021-02-24,6.0,6.0,1
2021-02-25,0.0,0.0,1
2021-02-26,25.0,25.0,1
2021-02-27,7.0,7.0,1
2021-02-28,0.0,0.0,1
2021-03-01,6.0,6.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,6.0,6.0,1
2021-03-05,19.0,19.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,6.0,6.0,1
2021-03-09,6.0,6.0,1
2021-03-10,18.0,18.0,1
2021-03-11,6.0,6.0,1
2021-03-12,6.0,6.0,1
2021-03-13,7.0,7.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,5.0,5.0,1
2021-03-17,12.0,12.0,1
2021-03-18,6.0,6.0,1
2021-03-19,0.0,0.0,1
2021-03-20,7.0,7.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,0.0,0.0,1
2021-03-24,6.0,6.0,1
2021-03-25,6.0,6.0,1
2021-03-26,13.0,13.0,1
2021-03-27,7.0,7.0,1
2021-03-28,0.0,0.0,1
2021-03-29,6.0,6.0,1
2021-03-30,100.0,100.0,1
2021-03-31,7.0,7.0,1
2021-04-01,13.0,13.0,1
2021-04-02,0.0,0.0,1
2021-04-03,21.0,21.0,1
2021-04-04,7.0,7.0,1
2021-04-05,26.0,26.0,1
2021-04-06,12.0,12.0,1
2021-04-07,0.0,0.0,1
2021-04-08,12.0,12.0,1
2021-04-09,6.0,6.0,1
2021-04-10,13.0,13.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,13.0,13.0,1
2021-04-14,12.0,12.0,1
2021-04-15,13.0,13.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,7.0,7.0,1
2021-04-19,12.0,12.0,1
2021-04-20,25.0,25.0,1
2021-04-21,0.0,0.0,1
2021-04-22,6.0,6.0,1
2021-04-23,7.0,7.0,1
2021-04-24,15.0,15.0,1
2021-04-25,14.0,14.0,1
2021-04-26,0.0,0.0,1
2021-04-27,13.0,13.0,1
2021-04-28,6.0,6.0,1
2021-04-29,12.0,12.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,7.0,7.0,1
2021-05-03,12.0,12.0,1
2021-05-04,0.0,0.0,1
2021-05-05,12.0,12.0,1
2021-05-06,0.0,0.0,1
2021-05-07,6.0,6.0,1
2021-05-08,7.0,7.0,1
2021-05-09,22.0,22.0,1
2021-05-10,6.0,6.0,1
2021-05-11,0.0,0.0,1
2021-05-12,6.0,6.0,1
2021-05-13,19.0,19.0,1
2021-05-14,0.0,0.0,1
