date,/m/0t544l4_0,/m/0t544l4,batch_id
2021-02-01,11.0,11.0,1
2021-02-02,11.0,11.0,1
2021-02-03,57.0,57.0,1
2021-02-04,24.0,24.0,1
2021-02-05,12.0,12.0,1
2021-02-06,25.0,25.0,1
2021-02-07,13.0,13.0,1
2021-02-08,11.0,11.0,1
2021-02-09,35.0,35.0,1
2021-02-10,69.0,69.0,1
2021-02-11,24.0,24.0,1
2021-02-12,12.0,12.0,1
2021-02-13,54.0,54.0,1
2021-02-14,54.0,54.0,1
2021-02-15,46.0,46.0,1
2021-02-16,36.0,36.0,1
2021-02-17,24.0,24.0,1
2021-02-18,59.0,59.0,1
2021-02-19,100.0,100.0,1
2021-02-20,14.0,14.0,1
2021-02-21,72.0,72.0,1
2021-02-22,33.0,33.0,1
2021-02-23,12.0,12.0,1
2021-02-24,24.0,24.0,1
2021-02-25,12.0,12.0,1
2021-02-26,36.0,36.0,1
2021-02-27,0.0,0.0,1
2021-02-28,13.0,13.0,1
2021-03-01,23.0,23.0,1
2021-03-02,24.0,24.0,1
2021-03-03,36.0,36.0,1
2021-03-04,23.0,23.0,1
2021-03-05,12.0,12.0,1
2021-03-06,41.0,41.0,1
2021-03-07,13.0,13.0,1
2021-03-08,0.0,0.0,1
2021-03-09,35.0,35.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,24.0,24.0,1
2021-03-13,38.0,38.0,1
2021-03-14,49.0,49.0,1
2021-03-15,36.0,36.0,1
2021-03-16,0.0,0.0,1
2021-03-17,23.0,23.0,1
2021-03-18,12.0,12.0,1
2021-03-19,0.0,0.0,1
2021-03-20,41.0,41.0,1
2021-03-21,13.0,13.0,1
2021-03-22,12.0,12.0,1
2021-03-23,12.0,12.0,1
2021-03-24,35.0,35.0,1
2021-03-25,12.0,12.0,1
2021-03-26,12.0,12.0,1
2021-03-27,13.0,13.0,1
2021-03-28,0.0,0.0,1
2021-03-29,24.0,24.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,25.0,25.0,1
2021-04-02,13.0,13.0,1
2021-04-03,27.0,27.0,1
2021-04-04,14.0,14.0,1
2021-04-05,12.0,12.0,1
2021-04-06,45.0,45.0,1
2021-04-07,0.0,0.0,1
2021-04-08,12.0,12.0,1
2021-04-09,0.0,0.0,1
2021-04-10,24.0,24.0,1
2021-04-11,50.0,50.0,1
2021-04-12,23.0,23.0,1
2021-04-13,0.0,0.0,1
2021-04-14,35.0,35.0,1
2021-04-15,24.0,24.0,1
2021-04-16,87.0,87.0,1
2021-04-17,14.0,14.0,1
2021-04-18,55.0,55.0,1
2021-04-19,11.0,11.0,1
2021-04-20,71.0,71.0,1
2021-04-21,24.0,24.0,1
2021-04-22,24.0,24.0,1
2021-04-23,13.0,13.0,1
2021-04-24,14.0,14.0,1
2021-04-25,13.0,13.0,1
2021-04-26,0.0,0.0,1
2021-04-27,12.0,12.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,26.0,26.0,1
2021-05-02,0.0,0.0,1
2021-05-03,34.0,34.0,1
2021-05-04,44.0,44.0,1
2021-05-05,34.0,34.0,1
2021-05-06,35.0,35.0,1
2021-05-07,48.0,48.0,1
2021-05-08,26.0,26.0,1
2021-05-09,14.0,14.0,1
2021-05-10,58.0,58.0,1
2021-05-11,45.0,45.0,1
2021-05-12,12.0,12.0,1
2021-05-13,25.0,25.0,1
2021-05-14,13.0,13.0,1
