date,/m/01j6t0
2020-02-01,56
2020-02-02,60
2020-02-03,76
2020-02-04,93
2020-02-05,54
2020-02-06,73
2020-02-07,33
2020-02-08,54
2020-02-09,38
2020-02-10,45
2020-02-11,69
2020-02-12,46
2020-02-13,41
2020-02-14,70
2020-02-15,37
2020-02-16,30
2020-02-17,49
2020-02-18,58
2020-02-19,72
2020-02-20,67
2020-02-21,49
2020-02-22,54
2020-02-23,41
2020-02-24,45
2020-02-25,39
2020-02-26,64
2020-02-27,47
2020-02-28,54
2020-02-29,75
2020-03-01,26
2020-03-02,81
2020-03-03,71
2020-03-04,67
2020-03-05,79
2020-03-06,66
2020-03-07,50
2020-03-08,69
2020-03-09,38
2020-03-10,63
2020-03-11,68
2020-03-12,28
2020-03-13,30
2020-03-14,30
2020-03-15,67
2020-03-16,30
2020-03-17,36
2020-03-18,55
2020-03-19,67
2020-03-20,34
2020-03-21,39
2020-03-22,39
2020-03-23,64
2020-03-24,30
2020-03-25,42
2020-03-26,35
2020-03-27,58
2020-03-28,32
2020-03-29,82
2020-03-30,49
2020-03-31,55
2020-04-01,79
2020-04-02,27
2020-04-03,39
2020-04-04,33
2020-04-05,69
2020-04-06,28
2020-04-07,40
2020-04-08,45
2020-04-09,36
2020-04-10,37
2020-04-11,40
2020-04-12,59
2020-04-13,23
2020-04-14,33
2020-04-15,29
2020-04-16,30
2020-04-17,18
2020-04-18,29
2020-04-19,79
2020-04-20,44
2020-04-21,29
2020-04-22,41
2020-04-23,46
2020-04-24,26
2020-04-25,19
2020-04-26,50
2020-04-27,63
2020-04-28,32
2020-04-29,49
2020-04-30,39
2020-05-01,33
2020-05-02,40
2020-05-03,36
2020-05-04,57
2020-05-05,41
2020-05-06,34
2020-05-07,36
2020-05-08,78
2020-05-09,46
2020-05-10,54
2020-05-11,63
2020-05-12,61
2020-05-13,61
2020-05-14,51
2020-05-15,42
2020-05-16,39
2020-05-17,31
2020-05-18,35
2020-05-19,58
2020-05-20,42
2020-05-21,59
2020-05-22,56
2020-05-23,48
2020-05-24,48
2020-05-25,50
2020-05-26,27
2020-05-27,29
2020-05-28,43
2020-05-29,45
2020-05-30,40
2020-05-31,54
2020-06-01,62
2020-06-02,77
2020-06-03,51
2020-06-04,49
2020-06-05,52
2020-06-06,46
2020-06-07,44
2020-06-08,30
2020-06-09,30
2020-06-10,43
2020-06-11,39
2020-06-12,60
2020-06-13,66
2020-06-14,51
2020-06-15,77
2020-06-16,85
2020-06-17,53
2020-06-18,57
2020-06-19,45
2020-06-20,55
2020-06-21,85
2020-06-22,29
2020-06-23,55
2020-06-24,31
2020-06-25,50
2020-06-26,68
2020-06-27,92
2020-06-28,42
2020-06-29,40
2020-06-30,53
2020-07-01,85
2020-07-02,53
2020-07-03,28
2020-07-04,40
2020-07-05,38
2020-07-06,62
2020-07-07,49
2020-07-08,47
2020-07-09,70
2020-07-10,84
2020-07-11,45
2020-07-12,45
2020-07-13,32
2020-07-14,42
2020-07-15,63
2020-07-16,28
2020-07-17,81
2020-07-18,47
2020-07-19,60
2020-07-20,53
2020-07-21,51
2020-07-22,53
2020-07-23,67
2020-07-24,59
2020-07-25,100
2020-07-26,41
2020-07-27,55
2020-07-28,50
2020-07-29,59
2020-07-30,47
2020-07-31,61
2020-08-01,31
2020-08-02,46
2020-08-03,24
2020-08-04,31
2020-08-05,44
2020-08-06,39
2020-08-07,30
2020-08-08,31
2020-08-09,47
2020-08-10,36
2020-08-11,47
2020-08-12,29
2020-08-13,36
2020-08-14,36
2020-08-15,37
2020-08-16,89
2020-08-17,46
2020-08-18,35
2020-08-19,80
2020-08-20,55
2020-08-21,61
2020-08-22,54
2020-08-23,43
2020-08-24,81
2020-08-25,18
2020-08-26,72
2020-08-27,38
2020-08-28,56
2020-08-29,27
2020-08-30,39
2020-08-31,41
2020-09-01,86
2020-09-02,65
2020-09-03,44
2020-09-04,58
2020-09-05,50
2020-09-06,41
2020-09-07,44
2020-09-08,28
2020-09-09,74
2020-09-10,39
2020-09-11,47
2020-09-12,42
2020-09-13,56
2020-09-14,57
2020-09-15,51
2020-09-16,31
2020-09-17,47
2020-09-18,68
2020-09-19,49
2020-09-20,59
2020-09-21,73
2020-09-22,49
2020-09-23,78
2020-09-24,25
2020-09-25,49
2020-09-26,40
2020-09-27,45
2020-09-28,90
