date,/m/04l94t_0,/m/04l94t,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,55.0,55.0,1
2021-02-03,27.0,27.0,1
2021-02-04,29.0,29.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,28.0,28.0,1
2021-02-10,0.0,0.0,1
2021-02-11,28.0,28.0,1
2021-02-12,29.0,29.0,1
2021-02-13,0.0,0.0,1
2021-02-14,64.0,64.0,1
2021-02-15,28.0,28.0,1
2021-02-16,29.0,29.0,1
2021-02-17,28.0,28.0,1
2021-02-18,0.0,0.0,1
2021-02-19,30.0,30.0,1
2021-02-20,0.0,0.0,1
2021-02-21,34.0,34.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,29.0,29.0,1
2021-02-25,29.0,29.0,1
2021-02-26,0.0,0.0,1
2021-02-27,32.0,32.0,1
2021-02-28,31.0,31.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,29.0,29.0,1
2021-03-04,0.0,0.0,1
2021-03-05,29.0,29.0,1
2021-03-06,33.0,33.0,1
2021-03-07,31.0,31.0,1
2021-03-08,28.0,28.0,1
2021-03-09,0.0,0.0,1
2021-03-10,0.0,0.0,1
2021-03-11,56.0,56.0,1
2021-03-12,58.0,58.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,22.0,22.0,1
2021-03-16,0.0,0.0,1
2021-03-17,28.0,28.0,1
2021-03-18,28.0,28.0,1
2021-03-19,0.0,0.0,1
2021-03-20,33.0,33.0,1
2021-03-21,0.0,0.0,1
2021-03-22,56.0,56.0,1
2021-03-23,0.0,0.0,1
2021-03-24,28.0,28.0,1
2021-03-25,0.0,0.0,1
2021-03-26,60.0,60.0,1
2021-03-27,93.0,93.0,1
2021-03-28,100.0,100.0,1
2021-03-29,0.0,0.0,1
2021-03-30,61.0,61.0,1
2021-03-31,63.0,63.0,1
2021-04-01,0.0,0.0,1
2021-04-02,30.0,30.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,54.0,54.0,1
2021-04-07,0.0,0.0,1
2021-04-08,29.0,29.0,1
2021-04-09,29.0,29.0,1
2021-04-10,29.0,29.0,1
2021-04-11,61.0,61.0,1
2021-04-12,27.0,27.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,86.0,86.0,1
2021-04-16,60.0,60.0,1
2021-04-17,33.0,33.0,1
2021-04-18,33.0,33.0,1
2021-04-19,0.0,0.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,29.0,29.0,1
2021-04-23,31.0,31.0,1
2021-04-24,34.0,34.0,1
2021-04-25,0.0,0.0,1
2021-04-26,28.0,28.0,1
2021-04-27,29.0,29.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,62.0,62.0,1
2021-05-03,0.0,0.0,1
2021-05-04,26.0,26.0,1
2021-05-05,0.0,0.0,1
2021-05-06,56.0,56.0,1
2021-05-07,29.0,29.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,28.0,28.0,1
2021-05-13,60.0,60.0,1
2021-05-14,0.0,0.0,1
