date,/m/0c78m_0,/m/0c78m,batch_id
2021-02-01,29.0,29.0,1
2021-02-02,29.0,29.0,1
2021-02-03,58.0,58.0,1
2021-02-04,31.0,31.0,1
2021-02-05,0.0,0.0,1
2021-02-06,16.0,16.0,1
2021-02-07,0.0,0.0,1
2021-02-08,29.0,29.0,1
2021-02-09,45.0,45.0,1
2021-02-10,44.0,44.0,1
2021-02-11,15.0,15.0,1
2021-02-12,15.0,15.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,15.0,15.0,1
2021-02-17,15.0,15.0,1
2021-02-18,15.0,15.0,1
2021-02-19,32.0,32.0,1
2021-02-20,0.0,0.0,1
2021-02-21,18.0,18.0,1
2021-02-22,28.0,28.0,1
2021-02-23,15.0,15.0,1
2021-02-24,31.0,31.0,1
2021-02-25,15.0,15.0,1
2021-02-26,62.0,62.0,1
2021-02-27,17.0,17.0,1
2021-02-28,0.0,0.0,1
2021-03-01,45.0,45.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,58.0,58.0,1
2021-03-05,16.0,16.0,1
2021-03-06,17.0,17.0,1
2021-03-07,17.0,17.0,1
2021-03-08,45.0,45.0,1
2021-03-09,15.0,15.0,1
2021-03-10,60.0,60.0,1
2021-03-11,15.0,15.0,1
2021-03-12,15.0,15.0,1
2021-03-13,0.0,0.0,1
2021-03-14,31.0,31.0,1
2021-03-15,23.0,23.0,1
2021-03-16,26.0,26.0,1
2021-03-17,59.0,59.0,1
2021-03-18,60.0,60.0,1
2021-03-19,63.0,63.0,1
2021-03-20,17.0,17.0,1
2021-03-21,65.0,65.0,1
2021-03-22,15.0,15.0,1
2021-03-23,0.0,0.0,1
2021-03-24,59.0,59.0,1
2021-03-25,31.0,31.0,1
2021-03-26,32.0,32.0,1
2021-03-27,16.0,16.0,1
2021-03-28,18.0,18.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,67.0,67.0,1
2021-04-01,63.0,63.0,1
2021-04-02,48.0,48.0,1
2021-04-03,17.0,17.0,1
2021-04-04,0.0,0.0,1
2021-04-05,62.0,62.0,1
2021-04-06,29.0,29.0,1
2021-04-07,15.0,15.0,1
2021-04-08,30.0,30.0,1
2021-04-09,0.0,0.0,1
2021-04-10,31.0,31.0,1
2021-04-11,16.0,16.0,1
2021-04-12,58.0,58.0,1
2021-04-13,0.0,0.0,1
2021-04-14,60.0,60.0,1
2021-04-15,30.0,30.0,1
2021-04-16,0.0,0.0,1
2021-04-17,52.0,52.0,1
2021-04-18,17.0,17.0,1
2021-04-19,44.0,44.0,1
2021-04-20,30.0,30.0,1
2021-04-21,0.0,0.0,1
2021-04-22,62.0,62.0,1
2021-04-23,49.0,49.0,1
2021-04-24,54.0,54.0,1
2021-04-25,17.0,17.0,1
2021-04-26,15.0,15.0,1
2021-04-27,0.0,0.0,1
2021-04-28,31.0,31.0,1
2021-04-29,29.0,29.0,1
2021-04-30,60.0,60.0,1
2021-05-01,33.0,33.0,1
2021-05-02,66.0,66.0,1
2021-05-03,0.0,0.0,1
2021-05-04,14.0,14.0,1
2021-05-05,57.0,57.0,1
2021-05-06,44.0,44.0,1
2021-05-07,15.0,15.0,1
2021-05-08,100.0,100.0,1
2021-05-09,71.0,71.0,1
2021-05-10,59.0,59.0,1
2021-05-11,72.0,72.0,1
2021-05-12,30.0,30.0,1
2021-05-13,16.0,16.0,1
2021-05-14,16.0,16.0,1
