date,/g/11bvvzj9wt_0,/g/11bvvzj9wt,batch_id
2021-02-01,20.0,20.0,1
2021-02-02,20.0,20.0,1
2021-02-03,60.0,60.0,1
2021-02-04,42.0,42.0,1
2021-02-05,83.0,83.0,1
2021-02-06,22.0,22.0,1
2021-02-07,0.0,0.0,1
2021-02-08,60.0,60.0,1
2021-02-09,82.0,82.0,1
2021-02-10,100.0,100.0,1
2021-02-11,62.0,62.0,1
2021-02-12,21.0,21.0,1
2021-02-13,47.0,47.0,1
2021-02-14,23.0,23.0,1
2021-02-15,80.0,80.0,1
2021-02-16,0.0,0.0,1
2021-02-17,41.0,41.0,1
2021-02-18,41.0,41.0,1
2021-02-19,44.0,44.0,1
2021-02-20,0.0,0.0,1
2021-02-21,50.0,50.0,1
2021-02-22,39.0,39.0,1
2021-02-23,21.0,21.0,1
2021-02-24,21.0,21.0,1
2021-02-25,42.0,42.0,1
2021-02-26,21.0,21.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,61.0,61.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,0.0,0.0,1
2021-03-05,21.0,21.0,1
2021-03-06,0.0,0.0,1
2021-03-07,23.0,23.0,1
2021-03-08,20.0,20.0,1
2021-03-09,20.0,20.0,1
2021-03-10,41.0,41.0,1
2021-03-11,0.0,0.0,1
2021-03-12,21.0,21.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,0.0,0.0,1
2021-03-17,20.0,20.0,1
2021-03-18,62.0,62.0,1
2021-03-19,0.0,0.0,1
2021-03-20,48.0,48.0,1
2021-03-21,0.0,0.0,1
2021-03-22,61.0,61.0,1
2021-03-23,0.0,0.0,1
2021-03-24,0.0,0.0,1
2021-03-25,63.0,63.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,22.0,22.0,1
2021-03-31,46.0,46.0,1
2021-04-01,22.0,22.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,24.0,24.0,1
2021-04-05,21.0,21.0,1
2021-04-06,0.0,0.0,1
2021-04-07,40.0,40.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,20.0,20.0,1
2021-04-13,21.0,21.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,44.0,44.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,40.0,40.0,1
2021-04-20,41.0,41.0,1
2021-04-21,84.0,84.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,20.0,20.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,20.0,20.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,23.0,23.0,1
2021-05-03,20.0,20.0,1
2021-05-04,19.0,19.0,1
2021-05-05,20.0,20.0,1
2021-05-06,20.0,20.0,1
2021-05-07,21.0,21.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,20.0,20.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,22.0,22.0,1
2021-05-14,0.0,0.0,1
