date,/m/06xqq_0,/m/06xqq,batch_id
2021-02-01,60.0,60.0,1
2021-02-02,100.0,100.0,1
2021-02-03,20.0,20.0,1
2021-02-04,21.0,21.0,1
2021-02-05,0.0,0.0,1
2021-02-06,66.0,66.0,1
2021-02-07,66.0,66.0,1
2021-02-08,60.0,60.0,1
2021-02-09,0.0,0.0,1
2021-02-10,60.0,60.0,1
2021-02-11,0.0,0.0,1
2021-02-12,42.0,42.0,1
2021-02-13,0.0,0.0,1
2021-02-14,70.0,70.0,1
2021-02-15,20.0,20.0,1
2021-02-16,63.0,63.0,1
2021-02-17,0.0,0.0,1
2021-02-18,41.0,41.0,1
2021-02-19,44.0,44.0,1
2021-02-20,75.0,75.0,1
2021-02-21,25.0,25.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,42.0,42.0,1
2021-02-26,63.0,63.0,1
2021-02-27,47.0,47.0,1
2021-02-28,45.0,45.0,1
2021-03-01,82.0,82.0,1
2021-03-02,0.0,0.0,1
2021-03-03,64.0,64.0,1
2021-03-04,20.0,20.0,1
2021-03-05,43.0,43.0,1
2021-03-06,47.0,47.0,1
2021-03-07,23.0,23.0,1
2021-03-08,0.0,0.0,1
2021-03-09,20.0,20.0,1
2021-03-10,0.0,0.0,1
2021-03-11,21.0,21.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,86.0,86.0,1
2021-03-15,0.0,0.0,1
2021-03-16,18.0,18.0,1
2021-03-17,41.0,41.0,1
2021-03-18,41.0,41.0,1
2021-03-19,0.0,0.0,1
2021-03-20,48.0,48.0,1
2021-03-21,90.0,90.0,1
2021-03-22,0.0,0.0,1
2021-03-23,61.0,61.0,1
2021-03-24,61.0,61.0,1
2021-03-25,63.0,63.0,1
2021-03-26,0.0,0.0,1
2021-03-27,23.0,23.0,1
2021-03-28,73.0,73.0,1
2021-03-29,21.0,21.0,1
2021-03-30,0.0,0.0,1
2021-03-31,69.0,69.0,1
2021-04-01,87.0,87.0,1
2021-04-02,0.0,0.0,1
2021-04-03,48.0,48.0,1
2021-04-04,48.0,48.0,1
2021-04-05,43.0,43.0,1
2021-04-06,59.0,59.0,1
2021-04-07,0.0,0.0,1
2021-04-08,21.0,21.0,1
2021-04-09,43.0,43.0,1
2021-04-10,21.0,21.0,1
2021-04-11,22.0,22.0,1
2021-04-12,60.0,60.0,1
2021-04-13,21.0,21.0,1
2021-04-14,0.0,0.0,1
2021-04-15,42.0,42.0,1
2021-04-16,22.0,22.0,1
2021-04-17,0.0,0.0,1
2021-04-18,24.0,24.0,1
2021-04-19,0.0,0.0,1
2021-04-20,41.0,41.0,1
2021-04-21,0.0,0.0,1
2021-04-22,21.0,21.0,1
2021-04-23,22.0,22.0,1
2021-04-24,49.0,49.0,1
2021-04-25,24.0,24.0,1
2021-04-26,20.0,20.0,1
2021-04-27,21.0,21.0,1
2021-04-28,63.0,63.0,1
2021-04-29,20.0,20.0,1
2021-04-30,21.0,21.0,1
2021-05-01,68.0,68.0,1
2021-05-02,23.0,23.0,1
2021-05-03,40.0,40.0,1
2021-05-04,38.0,38.0,1
2021-05-05,0.0,0.0,1
2021-05-06,20.0,20.0,1
2021-05-07,21.0,21.0,1
2021-05-08,46.0,46.0,1
2021-05-09,0.0,0.0,1
2021-05-10,61.0,61.0,1
2021-05-11,40.0,40.0,1
2021-05-12,21.0,21.0,1
2021-05-13,43.0,43.0,1
2021-05-14,44.0,44.0,1
