date,/m/05drh_0,/m/05drh,batch_id
2021-02-01,57.0,57.0,1
2021-02-02,57.0,57.0,1
2021-02-03,57.0,57.0,1
2021-02-04,30.0,30.0,1
2021-02-05,49.0,49.0,1
2021-02-06,21.0,21.0,1
2021-02-07,0.0,0.0,1
2021-02-08,57.0,57.0,1
2021-02-09,29.0,29.0,1
2021-02-10,28.0,28.0,1
2021-02-11,68.0,68.0,1
2021-02-12,20.0,20.0,1
2021-02-13,44.0,44.0,1
2021-02-14,0.0,0.0,1
2021-02-15,28.0,28.0,1
2021-02-16,30.0,30.0,1
2021-02-17,20.0,20.0,1
2021-02-18,68.0,68.0,1
2021-02-19,52.0,52.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,55.0,55.0,1
2021-02-23,60.0,60.0,1
2021-02-24,40.0,40.0,1
2021-02-25,100.0,100.0,1
2021-02-26,10.0,10.0,1
2021-02-27,11.0,11.0,1
2021-02-28,0.0,0.0,1
2021-03-01,58.0,58.0,1
2021-03-02,40.0,40.0,1
2021-03-03,50.0,50.0,1
2021-03-04,38.0,38.0,1
2021-03-05,41.0,41.0,1
2021-03-06,0.0,0.0,1
2021-03-07,11.0,11.0,1
2021-03-08,68.0,68.0,1
2021-03-09,38.0,38.0,1
2021-03-10,29.0,29.0,1
2021-03-11,39.0,39.0,1
2021-03-12,40.0,40.0,1
2021-03-13,10.0,10.0,1
2021-03-14,10.0,10.0,1
2021-03-15,45.0,45.0,1
2021-03-16,67.0,67.0,1
2021-03-17,38.0,38.0,1
2021-03-18,78.0,78.0,1
2021-03-19,0.0,0.0,1
2021-03-20,23.0,23.0,1
2021-03-21,11.0,11.0,1
2021-03-22,19.0,19.0,1
2021-03-23,19.0,19.0,1
2021-03-24,19.0,19.0,1
2021-03-25,40.0,40.0,1
2021-03-26,20.0,20.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,41.0,41.0,1
2021-03-30,32.0,32.0,1
2021-03-31,32.0,32.0,1
2021-04-01,10.0,10.0,1
2021-04-02,10.0,10.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,70.0,70.0,1
2021-04-06,19.0,19.0,1
2021-04-07,29.0,29.0,1
2021-04-08,30.0,30.0,1
2021-04-09,40.0,40.0,1
2021-04-10,20.0,20.0,1
2021-04-11,10.0,10.0,1
2021-04-12,28.0,28.0,1
2021-04-13,30.0,30.0,1
2021-04-14,87.0,87.0,1
2021-04-15,49.0,49.0,1
2021-04-16,52.0,52.0,1
2021-04-17,11.0,11.0,1
2021-04-18,0.0,0.0,1
2021-04-19,28.0,28.0,1
2021-04-20,20.0,20.0,1
2021-04-21,30.0,30.0,1
2021-04-22,40.0,40.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,48.0,48.0,1
2021-04-27,40.0,40.0,1
2021-04-28,30.0,30.0,1
2021-04-29,76.0,76.0,1
2021-04-30,19.0,19.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,19.0,19.0,1
2021-05-04,9.0,9.0,1
2021-05-05,92.0,92.0,1
2021-05-06,19.0,19.0,1
2021-05-07,69.0,69.0,1
2021-05-08,11.0,11.0,1
2021-05-09,0.0,0.0,1
2021-05-10,29.0,29.0,1
2021-05-11,28.0,28.0,1
2021-05-12,20.0,20.0,1
2021-05-13,31.0,31.0,1
2021-05-14,42.0,42.0,1
