date,/g/1222z7xj
2020-02-01,96
2020-02-02,64
2020-02-03,40
2020-02-04,64
2020-02-05,39
2020-02-06,60
2020-02-07,77
2020-02-08,35
2020-02-09,37
2020-02-10,49
2020-02-11,70
2020-02-12,50
2020-02-13,32
2020-02-14,34
2020-02-15,42
2020-02-16,45
2020-02-17,50
2020-02-18,50
2020-02-19,82
2020-02-20,46
2020-02-21,34
2020-02-22,63
2020-02-23,60
2020-02-24,62
2020-02-25,37
2020-02-26,30
2020-02-27,77
2020-02-28,46
2020-02-29,46
2020-03-01,100
2020-03-02,60
2020-03-03,50
2020-03-04,19
2020-03-05,50
2020-03-06,44
2020-03-07,68
2020-03-08,76
2020-03-09,61
2020-03-10,48
2020-03-11,42
2020-03-12,77
2020-03-13,58
2020-03-14,59
2020-03-15,32
2020-03-16,68
2020-03-17,59
2020-03-18,47
2020-03-19,64
2020-03-20,33
2020-03-21,25
2020-03-22,69
2020-03-23,31
2020-03-24,45
2020-03-25,35
2020-03-26,40
2020-03-27,10
2020-03-28,43
2020-03-29,35
2020-03-30,37
2020-03-31,21
2020-04-01,27
2020-04-02,47
2020-04-03,37
2020-04-04,63
2020-04-05,40
2020-04-06,77
2020-04-07,45
2020-04-08,46
2020-04-09,58
2020-04-10,99
2020-04-11,96
2020-04-12,44
2020-04-13,61
2020-04-14,70
2020-04-15,73
2020-04-16,58
2020-04-17,92
2020-04-18,40
2020-04-19,69
2020-04-20,74
2020-04-21,39
2020-04-22,51
2020-04-23,66
2020-04-24,77
2020-04-25,37
2020-04-26,65
2020-04-27,73
2020-04-28,31
2020-04-29,67
2020-04-30,30
2020-05-01,48
2020-05-02,72
2020-05-03,65
2020-05-04,45
2020-05-05,60
2020-05-06,87
2020-05-07,57
2020-05-08,63
2020-05-09,50
2020-05-10,53
2020-05-11,30
2020-05-12,43
2020-05-13,70
2020-05-14,61
2020-05-15,46
2020-05-16,31
2020-05-17,73
2020-05-18,44
2020-05-19,45
2020-05-20,23
2020-05-21,63
2020-05-22,33
2020-05-23,58
2020-05-24,35
2020-05-25,49
2020-05-26,97
2020-05-27,56
2020-05-28,33
2020-05-29,58
2020-05-30,71
2020-05-31,91
2020-06-01,41
2020-06-02,59
2020-06-03,24
2020-06-04,33
2020-06-05,33
2020-06-06,39
2020-06-07,23
2020-06-08,14
2020-06-09,48
2020-06-10,52
2020-06-11,76
2020-06-12,55
2020-06-13,25
2020-06-14,67
2020-06-15,47
2020-06-16,56
2020-06-17,62
2020-06-18,61
2020-06-19,74
2020-06-20,47
2020-06-21,69
2020-06-22,39
2020-06-23,41
2020-06-24,30
2020-06-25,67
2020-06-26,72
2020-06-27,32
2020-06-28,76
2020-06-29,27
2020-06-30,45
2020-07-01,76
2020-07-02,79
2020-07-03,55
2020-07-04,39
2020-07-05,54
2020-07-06,40
2020-07-07,36
2020-07-08,40
2020-07-09,74
2020-07-10,69
2020-07-11,51
2020-07-12,57
2020-07-13,49
2020-07-14,47
2020-07-15,42
2020-07-16,47
2020-07-17,53
2020-07-18,23
2020-07-19,58
2020-07-20,38
2020-07-21,57
2020-07-22,32
2020-07-23,32
2020-07-24,57
2020-07-25,41
2020-07-26,53
2020-07-27,30
2020-07-28,61
2020-07-29,57
2020-07-30,39
2020-07-31,39
2020-08-01,47
2020-08-02,51
2020-08-03,23
2020-08-04,71
2020-08-05,61
2020-08-06,43
2020-08-07,64
2020-08-08,61
2020-08-09,59
2020-08-10,58
2020-08-11,40
2020-08-12,56
2020-08-13,52
2020-08-14,70
2020-08-15,36
2020-08-16,49
2020-08-17,72
2020-08-18,73
2020-08-19,51
2020-08-20,59
2020-08-21,59
2020-08-22,59
2020-08-23,53
2020-08-24,33
2020-08-25,40
2020-08-26,47
2020-08-27,42
2020-08-28,61
2020-08-29,32
2020-08-30,49
2020-08-31,67
2020-09-01,59
2020-09-02,36
2020-09-03,12
2020-09-04,61
2020-09-05,32
2020-09-06,85
2020-09-07,18
2020-09-08,24
2020-09-09,42
2020-09-10,69
2020-09-11,13
2020-09-12,34
2020-09-13,93
2020-09-14,48
2020-09-15,48
2020-09-16,54
2020-09-17,30
2020-09-18,75
2020-09-19,53
2020-09-20,51
2020-09-21,47
2020-09-22,42
2020-09-23,64
2020-09-24,42
2020-09-25,56
2020-09-26,45
2020-09-27,50
2020-09-28,29
2020-09-29,67
