date,/g/1w04j80k_0,/g/1w04j80k,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,26.0,26.0,1
2021-02-03,13.0,13.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,14.0,14.0,1
2021-02-07,14.0,14.0,1
2021-02-08,13.0,13.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,13.0,13.0,1
2021-02-12,14.0,14.0,1
2021-02-13,0.0,0.0,1
2021-02-14,15.0,15.0,1
2021-02-15,52.0,52.0,1
2021-02-16,14.0,14.0,1
2021-02-17,0.0,0.0,1
2021-02-18,27.0,27.0,1
2021-02-19,100.0,100.0,1
2021-02-20,32.0,32.0,1
2021-02-21,0.0,0.0,1
2021-02-22,13.0,13.0,1
2021-02-23,14.0,14.0,1
2021-02-24,14.0,14.0,1
2021-02-25,0.0,0.0,1
2021-02-26,28.0,28.0,1
2021-02-27,15.0,15.0,1
2021-02-28,15.0,15.0,1
2021-03-01,40.0,40.0,1
2021-03-02,27.0,27.0,1
2021-03-03,28.0,28.0,1
2021-03-04,26.0,26.0,1
2021-03-05,0.0,0.0,1
2021-03-06,15.0,15.0,1
2021-03-07,30.0,30.0,1
2021-03-08,13.0,13.0,1
2021-03-09,0.0,0.0,1
2021-03-10,40.0,40.0,1
2021-03-11,67.0,67.0,1
2021-03-12,41.0,41.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,21.0,21.0,1
2021-03-16,35.0,35.0,1
2021-03-17,27.0,27.0,1
2021-03-18,40.0,40.0,1
2021-03-19,28.0,28.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,27.0,27.0,1
2021-03-23,0.0,0.0,1
2021-03-24,0.0,0.0,1
2021-03-25,14.0,14.0,1
2021-03-26,56.0,56.0,1
2021-03-27,15.0,15.0,1
2021-03-28,0.0,0.0,1
2021-03-29,42.0,42.0,1
2021-03-30,15.0,15.0,1
2021-03-31,30.0,30.0,1
2021-04-01,43.0,43.0,1
2021-04-02,29.0,29.0,1
2021-04-03,0.0,0.0,1
2021-04-04,16.0,16.0,1
2021-04-05,0.0,0.0,1
2021-04-06,13.0,13.0,1
2021-04-07,13.0,13.0,1
2021-04-08,27.0,27.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,52.0,52.0,1
2021-04-13,55.0,55.0,1
2021-04-14,27.0,27.0,1
2021-04-15,14.0,14.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,16.0,16.0,1
2021-04-19,26.0,26.0,1
2021-04-20,27.0,27.0,1
2021-04-21,27.0,27.0,1
2021-04-22,42.0,42.0,1
2021-04-23,29.0,29.0,1
2021-04-24,16.0,16.0,1
2021-04-25,0.0,0.0,1
2021-04-26,40.0,40.0,1
2021-04-27,42.0,42.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,27.0,27.0,1
2021-05-01,15.0,15.0,1
2021-05-02,15.0,15.0,1
2021-05-03,26.0,26.0,1
2021-05-04,12.0,12.0,1
2021-05-05,0.0,0.0,1
2021-05-06,13.0,13.0,1
2021-05-07,27.0,27.0,1
2021-05-08,15.0,15.0,1
2021-05-09,0.0,0.0,1
2021-05-10,26.0,26.0,1
2021-05-11,13.0,13.0,1
2021-05-12,0.0,0.0,1
2021-05-13,14.0,14.0,1
2021-05-14,29.0,29.0,1
