date,/m/0743mf
2020-02-01,0
2020-02-02,58
2020-02-03,39
2020-02-04,29
2020-02-05,40
2020-02-06,31
2020-02-07,32
2020-02-08,96
2020-02-09,56
2020-02-10,0
2020-02-11,29
2020-02-12,29
2020-02-13,30
2020-02-14,62
2020-02-15,32
2020-02-16,29
2020-02-17,43
2020-02-18,29
2020-02-19,43
2020-02-20,30
2020-02-21,62
2020-02-22,48
2020-02-23,30
2020-02-24,43
2020-02-25,38
2020-02-26,40
2020-02-27,37
2020-02-28,30
2020-02-29,90
2020-03-01,29
2020-03-02,55
2020-03-03,57
2020-03-04,29
2020-03-05,59
2020-03-06,29
2020-03-07,31
2020-03-08,0
2020-03-09,42
2020-03-10,28
2020-03-11,36
2020-03-12,45
2020-03-13,49
2020-03-14,40
2020-03-15,29
2020-03-16,78
2020-03-17,44
2020-03-18,27
2020-03-19,54
2020-03-20,100
2020-03-21,57
2020-03-22,0
2020-03-23,24
2020-03-24,52
2020-03-25,35
2020-03-26,51
2020-03-27,36
2020-03-28,42
2020-03-29,67
2020-03-30,24
2020-03-31,24
2020-04-01,25
2020-04-02,24
2020-04-03,37
2020-04-04,29
2020-04-05,0
2020-04-06,38
2020-04-07,38
2020-04-08,53
2020-04-09,26
2020-04-10,0
2020-04-11,0
2020-04-12,29
2020-04-13,42
2020-04-14,25
2020-04-15,26
2020-04-16,80
2020-04-17,53
2020-04-18,26
2020-04-19,0
2020-04-20,24
2020-04-21,0
2020-04-22,26
2020-04-23,0
2020-04-24,25
2020-04-25,0
2020-04-26,30
2020-04-27,0
2020-04-28,24
2020-04-29,24
2020-04-30,23
2020-05-01,50
2020-05-02,25
2020-05-03,53
2020-05-04,23
2020-05-05,23
2020-05-06,50
2020-05-07,0
2020-05-08,26
2020-05-09,29
2020-05-10,27
2020-05-11,23
2020-05-12,24
2020-05-13,25
2020-05-14,25
2020-05-15,26
2020-05-16,29
2020-05-17,0
2020-05-18,0
2020-05-19,26
2020-05-20,26
2020-05-21,0
2020-05-22,37
2020-05-23,26
2020-05-24,27
2020-05-25,25
2020-05-26,52
2020-05-27,25
2020-05-28,25
2020-05-29,0
2020-05-30,0
2020-05-31,30
2020-06-01,27
2020-06-02,24
2020-06-03,22
2020-06-04,22
2020-06-05,29
2020-06-06,26
2020-06-07,26
2020-06-08,22
2020-06-09,23
2020-06-10,0
2020-06-11,24
2020-06-12,25
2020-06-13,0
2020-06-14,28
2020-06-15,0
2020-06-16,0
2020-06-17,24
2020-06-18,33
2020-06-19,26
2020-06-20,30
2020-06-21,85
2020-06-22,0
2020-06-23,0
2020-06-24,28
2020-06-25,28
2020-06-26,27
2020-06-27,29
2020-06-28,53
2020-06-29,25
2020-06-30,25
2020-07-01,25
2020-07-02,52
2020-07-03,0
2020-07-04,0
2020-07-05,28
2020-07-06,26
2020-07-07,0
2020-07-08,26
2020-07-09,0
2020-07-10,28
2020-07-11,0
2020-07-12,33
2020-07-13,0
2020-07-14,27
2020-07-15,0
2020-07-16,55
2020-07-17,30
2020-07-18,0
2020-07-19,0
2020-07-20,29
2020-07-21,32
2020-07-22,0
2020-07-23,0
2020-07-24,29
2020-07-25,0
2020-07-26,30
2020-07-27,54
2020-07-28,28
2020-07-29,29
2020-07-30,29
2020-07-31,0
2020-08-01,31
2020-08-02,29
2020-08-03,26
2020-08-04,0
2020-08-05,37
2020-08-06,43
2020-08-07,29
2020-08-08,30
2020-08-09,0
2020-08-10,53
2020-08-11,26
2020-08-12,52
2020-08-13,0
2020-08-14,67
2020-08-15,41
2020-08-16,65
2020-08-17,26
2020-08-18,39
2020-08-19,35
2020-08-20,40
2020-08-21,27
2020-08-22,30
2020-08-23,27
2020-08-24,51
2020-08-25,26
2020-08-26,27
2020-08-27,0
2020-08-28,45
2020-08-29,30
2020-08-30,42
2020-08-31,25
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,29
2020-09-06,30
2020-09-07,28
2020-09-08,53
2020-09-09,27
2020-09-10,28
2020-09-11,29
2020-09-12,41
2020-09-13,31
2020-09-14,0
2020-09-15,28
2020-09-16,27
2020-09-17,0
2020-09-18,29
2020-09-19,31
2020-09-20,29
2020-09-21,53
2020-09-22,27
2020-09-23,27
2020-09-24,41
2020-09-25,29
2020-09-26,29
2020-09-27,57
2020-09-28,26
