date,/m/01hsr__0,/m/01hsr_,batch_id
2021-02-01,57.0,57.0,1
2021-02-02,14.0,14.0,1
2021-02-03,14.0,14.0,1
2021-02-04,15.0,15.0,1
2021-02-05,30.0,30.0,1
2021-02-06,31.0,31.0,1
2021-02-07,16.0,16.0,1
2021-02-08,100.0,100.0,1
2021-02-09,15.0,15.0,1
2021-02-10,14.0,14.0,1
2021-02-11,0.0,0.0,1
2021-02-12,30.0,30.0,1
2021-02-13,0.0,0.0,1
2021-02-14,50.0,50.0,1
2021-02-15,29.0,29.0,1
2021-02-16,0.0,0.0,1
2021-02-17,15.0,15.0,1
2021-02-18,29.0,29.0,1
2021-02-19,16.0,16.0,1
2021-02-20,18.0,18.0,1
2021-02-21,18.0,18.0,1
2021-02-22,14.0,14.0,1
2021-02-23,15.0,15.0,1
2021-02-24,15.0,15.0,1
2021-02-25,15.0,15.0,1
2021-02-26,15.0,15.0,1
2021-02-27,0.0,0.0,1
2021-02-28,49.0,49.0,1
2021-03-01,29.0,29.0,1
2021-03-02,15.0,15.0,1
2021-03-03,15.0,15.0,1
2021-03-04,14.0,14.0,1
2021-03-05,61.0,61.0,1
2021-03-06,51.0,51.0,1
2021-03-07,33.0,33.0,1
2021-03-08,29.0,29.0,1
2021-03-09,14.0,14.0,1
2021-03-10,73.0,73.0,1
2021-03-11,15.0,15.0,1
2021-03-12,60.0,60.0,1
2021-03-13,31.0,31.0,1
2021-03-14,31.0,31.0,1
2021-03-15,46.0,46.0,1
2021-03-16,0.0,0.0,1
2021-03-17,15.0,15.0,1
2021-03-18,44.0,44.0,1
2021-03-19,31.0,31.0,1
2021-03-20,0.0,0.0,1
2021-03-21,64.0,64.0,1
2021-03-22,73.0,73.0,1
2021-03-23,15.0,15.0,1
2021-03-24,29.0,29.0,1
2021-03-25,30.0,30.0,1
2021-03-26,15.0,15.0,1
2021-03-27,0.0,0.0,1
2021-03-28,17.0,17.0,1
2021-03-29,31.0,31.0,1
2021-03-30,48.0,48.0,1
2021-03-31,33.0,33.0,1
2021-04-01,16.0,16.0,1
2021-04-02,47.0,47.0,1
2021-04-03,51.0,51.0,1
2021-04-04,35.0,35.0,1
2021-04-05,76.0,76.0,1
2021-04-06,28.0,28.0,1
2021-04-07,14.0,14.0,1
2021-04-08,0.0,0.0,1
2021-04-09,61.0,61.0,1
2021-04-10,45.0,45.0,1
2021-04-11,31.0,31.0,1
2021-04-12,14.0,14.0,1
2021-04-13,45.0,45.0,1
2021-04-14,29.0,29.0,1
2021-04-15,30.0,30.0,1
2021-04-16,16.0,16.0,1
2021-04-17,17.0,17.0,1
2021-04-18,17.0,17.0,1
2021-04-19,29.0,29.0,1
2021-04-20,15.0,15.0,1
2021-04-21,15.0,15.0,1
2021-04-22,15.0,15.0,1
2021-04-23,0.0,0.0,1
2021-04-24,53.0,53.0,1
2021-04-25,34.0,34.0,1
2021-04-26,29.0,29.0,1
2021-04-27,30.0,30.0,1
2021-04-28,30.0,30.0,1
2021-04-29,87.0,87.0,1
2021-04-30,29.0,29.0,1
2021-05-01,0.0,0.0,1
2021-05-02,48.0,48.0,1
2021-05-03,100.0,100.0,1
2021-05-04,41.0,41.0,1
2021-05-05,28.0,28.0,1
2021-05-06,14.0,14.0,1
2021-05-07,0.0,0.0,1
2021-05-08,49.0,49.0,1
2021-05-09,18.0,18.0,1
2021-05-10,14.0,14.0,1
2021-05-11,28.0,28.0,1
2021-05-12,59.0,59.0,1
2021-05-13,15.0,15.0,1
2021-05-14,32.0,32.0,1
