date,/m/0119nml8
2020-02-01,66
2020-02-02,78
2020-02-03,34
2020-02-04,39
2020-02-05,56
2020-02-06,75
2020-02-07,43
2020-02-08,34
2020-02-09,45
2020-02-10,30
2020-02-11,55
2020-02-12,55
2020-02-13,49
2020-02-14,83
2020-02-15,52
2020-02-16,23
2020-02-17,31
2020-02-18,69
2020-02-19,39
2020-02-20,56
2020-02-21,84
2020-02-22,68
2020-02-23,64
2020-02-24,23
2020-02-25,38
2020-02-26,36
2020-02-27,59
2020-02-28,56
2020-02-29,25
2020-03-01,31
2020-03-02,22
2020-03-03,38
2020-03-04,30
2020-03-05,39
2020-03-06,78
2020-03-07,51
2020-03-08,55
2020-03-09,30
2020-03-10,59
2020-03-11,37
2020-03-12,44
2020-03-13,32
2020-03-14,64
2020-03-15,16
2020-03-16,56
2020-03-17,57
2020-03-18,29
2020-03-19,58
2020-03-20,41
2020-03-21,76
2020-03-22,78
2020-03-23,84
2020-03-24,49
2020-03-25,86
2020-03-26,28
2020-03-27,46
2020-03-28,30
2020-03-29,50
2020-03-30,52
2020-03-31,58
2020-04-01,33
2020-04-02,13
2020-04-03,39
2020-04-04,62
2020-04-05,57
2020-04-06,27
2020-04-07,21
2020-04-08,35
2020-04-09,42
2020-04-10,0
2020-04-11,62
2020-04-12,31
2020-04-13,47
2020-04-14,33
2020-04-15,41
2020-04-16,56
2020-04-17,28
2020-04-18,83
2020-04-19,77
2020-04-20,53
2020-04-21,42
2020-04-22,56
2020-04-23,54
2020-04-24,14
2020-04-25,53
2020-04-26,48
2020-04-27,48
2020-04-28,44
2020-04-29,58
2020-04-30,44
2020-05-01,46
2020-05-02,14
2020-05-03,29
2020-05-04,31
2020-05-05,31
2020-05-06,27
2020-05-07,35
2020-05-08,29
2020-05-09,77
2020-05-10,58
2020-05-11,38
2020-05-12,20
2020-05-13,53
2020-05-14,61
2020-05-15,21
2020-05-16,31
2020-05-17,25
2020-05-18,34
2020-05-19,48
2020-05-20,21
2020-05-21,47
2020-05-22,53
2020-05-23,36
2020-05-24,43
2020-05-25,40
2020-05-26,21
2020-05-27,48
2020-05-28,54
2020-05-29,43
2020-05-30,16
2020-05-31,56
2020-06-01,29
2020-06-02,59
2020-06-03,36
2020-06-04,46
2020-06-05,54
2020-06-06,55
2020-06-07,28
2020-06-08,29
2020-06-09,36
2020-06-10,39
2020-06-11,53
2020-06-12,34
2020-06-13,39
2020-06-14,30
2020-06-15,52
2020-06-16,32
2020-06-17,57
2020-06-18,34
2020-06-19,57
2020-06-20,33
2020-06-21,54
2020-06-22,20
2020-06-23,87
2020-06-24,66
2020-06-25,52
2020-06-26,29
2020-06-27,47
2020-06-28,36
2020-06-29,34
2020-06-30,49
2020-07-01,47
2020-07-02,28
2020-07-03,45
2020-07-04,56
2020-07-05,60
2020-07-06,98
2020-07-07,73
2020-07-08,63
2020-07-09,30
2020-07-10,69
2020-07-11,63
2020-07-12,71
2020-07-13,30
2020-07-14,36
2020-07-15,45
2020-07-16,44
2020-07-17,56
2020-07-18,19
2020-07-19,27
2020-07-20,24
2020-07-21,35
2020-07-22,47
2020-07-23,24
2020-07-24,78
2020-07-25,43
2020-07-26,16
2020-07-27,51
2020-07-28,67
2020-07-29,62
2020-07-30,32
2020-07-31,32
2020-08-01,16
2020-08-02,31
2020-08-03,28
2020-08-04,29
2020-08-05,75
2020-08-06,46
2020-08-07,31
2020-08-08,41
2020-08-09,48
2020-08-10,36
2020-08-11,100
2020-08-12,21
2020-08-13,35
2020-08-14,50
2020-08-15,52
2020-08-16,67
2020-08-17,48
2020-08-18,49
2020-08-19,35
2020-08-20,29
2020-08-21,51
2020-08-22,56
2020-08-23,95
2020-08-24,21
2020-08-25,21
2020-08-26,43
2020-08-27,59
2020-08-28,66
2020-08-29,64
2020-08-30,15
2020-08-31,62
2020-09-01,44
2020-09-02,45
2020-09-03,38
2020-09-04,46
2020-09-05,70
2020-09-06,33
2020-09-07,67
2020-09-08,58
2020-09-09,36
2020-09-10,76
2020-09-11,32
2020-09-12,42
2020-09-13,41
2020-09-14,15
2020-09-15,60
2020-09-16,44
2020-09-17,52
2020-09-18,54
2020-09-19,25
2020-09-20,39
2020-09-21,29
2020-09-22,43
2020-09-23,79
2020-09-24,59
2020-09-25,46
2020-09-26,40
2020-09-27,39
2020-09-28,43
