date,/m/04b7wk
2020-02-01,29
2020-02-02,0
2020-02-03,74
2020-02-04,0
2020-02-05,56
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,26
2020-02-10,27
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,28
2020-02-17,27
2020-02-18,27
2020-02-19,55
2020-02-20,28
2020-02-21,30
2020-02-22,0
2020-02-23,29
2020-02-24,54
2020-02-25,0
2020-02-26,26
2020-02-27,0
2020-02-28,0
2020-02-29,29
2020-03-01,27
2020-03-02,0
2020-03-03,41
2020-03-04,27
2020-03-05,56
2020-03-06,28
2020-03-07,60
2020-03-08,28
2020-03-09,26
2020-03-10,40
2020-03-11,26
2020-03-12,25
2020-03-13,0
2020-03-14,29
2020-03-15,0
2020-03-16,25
2020-03-17,0
2020-03-18,0
2020-03-19,26
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,23
2020-03-24,0
2020-03-25,51
2020-03-26,25
2020-03-27,23
2020-03-28,0
2020-03-29,25
2020-03-30,0
2020-03-31,23
2020-04-01,0
2020-04-02,35
2020-04-03,0
2020-04-04,54
2020-04-05,29
2020-04-06,24
2020-04-07,0
2020-04-08,50
2020-04-09,25
2020-04-10,26
2020-04-11,0
2020-04-12,27
2020-04-13,48
2020-04-14,23
2020-04-15,0
2020-04-16,100
2020-04-17,25
2020-04-18,0
2020-04-19,25
2020-04-20,46
2020-04-21,24
2020-04-22,0
2020-04-23,24
2020-04-24,24
2020-04-25,0
2020-04-26,28
2020-04-27,24
2020-04-28,44
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,36
2020-05-03,51
2020-05-04,0
2020-05-05,22
2020-05-06,0
2020-05-07,37
2020-05-08,25
2020-05-09,0
2020-05-10,0
2020-05-11,22
2020-05-12,47
2020-05-13,24
2020-05-14,23
2020-05-15,25
2020-05-16,0
2020-05-17,58
2020-05-18,24
2020-05-19,25
2020-05-20,0
2020-05-21,27
2020-05-22,36
2020-05-23,0
2020-05-24,51
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,69
2020-05-31,28
