date,/m/0fq2vx0_0,/m/0fq2vx0,batch_id
2021-02-01,32.0,32.0,1
2021-02-02,32.0,32.0,1
2021-02-03,32.0,32.0,1
2021-02-04,17.0,17.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,18.0,18.0,1
2021-02-08,0.0,0.0,1
2021-02-09,17.0,17.0,1
2021-02-10,32.0,32.0,1
2021-02-11,17.0,17.0,1
2021-02-12,51.0,51.0,1
2021-02-13,19.0,19.0,1
2021-02-14,0.0,0.0,1
2021-02-15,16.0,16.0,1
2021-02-16,0.0,0.0,1
2021-02-17,33.0,33.0,1
2021-02-18,17.0,17.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,47.0,47.0,1
2021-02-23,0.0,0.0,1
2021-02-24,17.0,17.0,1
2021-02-25,17.0,17.0,1
2021-02-26,17.0,17.0,1
2021-02-27,0.0,0.0,1
2021-02-28,18.0,18.0,1
2021-03-01,17.0,17.0,1
2021-03-02,34.0,34.0,1
2021-03-03,17.0,17.0,1
2021-03-04,16.0,16.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,18.0,18.0,1
2021-03-08,17.0,17.0,1
2021-03-09,49.0,49.0,1
2021-03-10,17.0,17.0,1
2021-03-11,33.0,33.0,1
2021-03-12,34.0,34.0,1
2021-03-13,18.0,18.0,1
2021-03-14,0.0,0.0,1
2021-03-15,13.0,13.0,1
2021-03-16,29.0,29.0,1
2021-03-17,0.0,0.0,1
2021-03-18,50.0,50.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,36.0,36.0,1
2021-03-22,16.0,16.0,1
2021-03-23,0.0,0.0,1
2021-03-24,16.0,16.0,1
2021-03-25,17.0,17.0,1
2021-03-26,18.0,18.0,1
2021-03-27,18.0,18.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,36.0,36.0,1
2021-03-31,55.0,55.0,1
2021-04-01,35.0,35.0,1
2021-04-02,18.0,18.0,1
2021-04-03,39.0,39.0,1
2021-04-04,39.0,39.0,1
2021-04-05,17.0,17.0,1
2021-04-06,16.0,16.0,1
2021-04-07,0.0,0.0,1
2021-04-08,34.0,34.0,1
2021-04-09,69.0,69.0,1
2021-04-10,17.0,17.0,1
2021-04-11,36.0,36.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,17.0,17.0,1
2021-04-15,34.0,34.0,1
2021-04-16,71.0,71.0,1
2021-04-17,19.0,19.0,1
2021-04-18,39.0,39.0,1
2021-04-19,0.0,0.0,1
2021-04-20,50.0,50.0,1
2021-04-21,51.0,51.0,1
2021-04-22,0.0,0.0,1
2021-04-23,18.0,18.0,1
2021-04-24,40.0,40.0,1
2021-04-25,19.0,19.0,1
2021-04-26,33.0,33.0,1
2021-04-27,34.0,34.0,1
2021-04-28,85.0,85.0,1
2021-04-29,49.0,49.0,1
2021-04-30,100.0,100.0,1
2021-05-01,0.0,0.0,1
2021-05-02,55.0,55.0,1
2021-05-03,0.0,0.0,1
2021-05-04,62.0,62.0,1
2021-05-05,79.0,79.0,1
2021-05-06,66.0,66.0,1
2021-05-07,85.0,85.0,1
2021-05-08,74.0,74.0,1
2021-05-09,0.0,0.0,1
2021-05-10,49.0,49.0,1
2021-05-11,48.0,48.0,1
2021-05-12,50.0,50.0,1
2021-05-13,35.0,35.0,1
2021-05-14,54.0,54.0,1
