date,/m/01bc07_0,/m/01bc07,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,47.0,47.0,1
2021-02-03,47.0,47.0,1
2021-02-04,50.0,50.0,1
2021-02-05,0.0,0.0,1
2021-02-06,17.0,17.0,1
2021-02-07,0.0,0.0,1
2021-02-08,47.0,47.0,1
2021-02-09,16.0,16.0,1
2021-02-10,16.0,16.0,1
2021-02-11,49.0,49.0,1
2021-02-12,66.0,66.0,1
2021-02-13,19.0,19.0,1
2021-02-14,19.0,19.0,1
2021-02-15,0.0,0.0,1
2021-02-16,33.0,33.0,1
2021-02-17,16.0,16.0,1
2021-02-18,16.0,16.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,31.0,31.0,1
2021-02-23,100.0,100.0,1
2021-02-24,34.0,34.0,1
2021-02-25,17.0,17.0,1
2021-02-26,33.0,33.0,1
2021-02-27,37.0,37.0,1
2021-02-28,36.0,36.0,1
2021-03-01,48.0,48.0,1
2021-03-02,0.0,0.0,1
2021-03-03,34.0,34.0,1
2021-03-04,0.0,0.0,1
2021-03-05,17.0,17.0,1
2021-03-06,37.0,37.0,1
2021-03-07,0.0,0.0,1
2021-03-08,16.0,16.0,1
2021-03-09,32.0,32.0,1
2021-03-10,32.0,32.0,1
2021-03-11,49.0,49.0,1
2021-03-12,50.0,50.0,1
2021-03-13,52.0,52.0,1
2021-03-14,17.0,17.0,1
2021-03-15,13.0,13.0,1
2021-03-16,14.0,14.0,1
2021-03-17,48.0,48.0,1
2021-03-18,0.0,0.0,1
2021-03-19,34.0,34.0,1
2021-03-20,0.0,0.0,1
2021-03-21,35.0,35.0,1
2021-03-22,0.0,0.0,1
2021-03-23,0.0,0.0,1
2021-03-24,16.0,16.0,1
2021-03-25,0.0,0.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,68.0,68.0,1
2021-03-30,0.0,0.0,1
2021-03-31,36.0,36.0,1
2021-04-01,52.0,52.0,1
2021-04-02,70.0,70.0,1
2021-04-03,0.0,0.0,1
2021-04-04,38.0,38.0,1
2021-04-05,17.0,17.0,1
2021-04-06,47.0,47.0,1
2021-04-07,32.0,32.0,1
2021-04-08,33.0,33.0,1
2021-04-09,0.0,0.0,1
2021-04-10,17.0,17.0,1
2021-04-11,0.0,0.0,1
2021-04-12,31.0,31.0,1
2021-04-13,50.0,50.0,1
2021-04-14,49.0,49.0,1
2021-04-15,33.0,33.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,19.0,19.0,1
2021-04-19,63.0,63.0,1
2021-04-20,33.0,33.0,1
2021-04-21,17.0,17.0,1
2021-04-22,67.0,67.0,1
2021-04-23,70.0,70.0,1
2021-04-24,19.0,19.0,1
2021-04-25,19.0,19.0,1
2021-04-26,0.0,0.0,1
2021-04-27,34.0,34.0,1
2021-04-28,0.0,0.0,1
2021-04-29,16.0,16.0,1
2021-04-30,49.0,49.0,1
2021-05-01,18.0,18.0,1
2021-05-02,18.0,18.0,1
2021-05-03,47.0,47.0,1
2021-05-04,0.0,0.0,1
2021-05-05,31.0,31.0,1
2021-05-06,32.0,32.0,1
2021-05-07,33.0,33.0,1
2021-05-08,54.0,54.0,1
2021-05-09,0.0,0.0,1
2021-05-10,32.0,32.0,1
2021-05-11,16.0,16.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,70.0,70.0,1
