date,/m/0drqp_0,/m/0drqp,batch_id
2021-02-01,19.0,19.0,1
2021-02-02,19.0,19.0,1
2021-02-03,0.0,0.0,1
2021-02-04,40.0,40.0,1
2021-02-05,20.0,20.0,1
2021-02-06,41.0,41.0,1
2021-02-07,42.0,42.0,1
2021-02-08,57.0,57.0,1
2021-02-09,58.0,58.0,1
2021-02-10,19.0,19.0,1
2021-02-11,59.0,59.0,1
2021-02-12,40.0,40.0,1
2021-02-13,0.0,0.0,1
2021-02-14,22.0,22.0,1
2021-02-15,95.0,95.0,1
2021-02-16,40.0,40.0,1
2021-02-17,78.0,78.0,1
2021-02-18,39.0,39.0,1
2021-02-19,21.0,21.0,1
2021-02-20,0.0,0.0,1
2021-02-21,24.0,24.0,1
2021-02-22,73.0,73.0,1
2021-02-23,40.0,40.0,1
2021-02-24,20.0,20.0,1
2021-02-25,100.0,100.0,1
2021-02-26,20.0,20.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,39.0,39.0,1
2021-03-02,60.0,60.0,1
2021-03-03,20.0,20.0,1
2021-03-04,38.0,38.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,22.0,22.0,1
2021-03-08,19.0,19.0,1
2021-03-09,0.0,0.0,1
2021-03-10,39.0,39.0,1
2021-03-11,19.0,19.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,50.0,50.0,1
2021-03-17,19.0,19.0,1
2021-03-18,19.0,19.0,1
2021-03-19,0.0,0.0,1
2021-03-20,23.0,23.0,1
2021-03-21,0.0,0.0,1
2021-03-22,19.0,19.0,1
2021-03-23,0.0,0.0,1
2021-03-24,19.0,19.0,1
2021-03-25,0.0,0.0,1
2021-03-26,41.0,41.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,20.0,20.0,1
2021-03-30,0.0,0.0,1
2021-03-31,43.0,43.0,1
2021-04-01,0.0,0.0,1
2021-04-02,42.0,42.0,1
2021-04-03,68.0,68.0,1
2021-04-04,23.0,23.0,1
2021-04-05,40.0,40.0,1
2021-04-06,74.0,74.0,1
2021-04-07,19.0,19.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,40.0,40.0,1
2021-04-11,0.0,0.0,1
2021-04-12,19.0,19.0,1
2021-04-13,20.0,20.0,1
2021-04-14,39.0,39.0,1
2021-04-15,20.0,20.0,1
2021-04-16,0.0,0.0,1
2021-04-17,23.0,23.0,1
2021-04-18,0.0,0.0,1
2021-04-19,38.0,38.0,1
2021-04-20,20.0,20.0,1
2021-04-21,20.0,20.0,1
2021-04-22,20.0,20.0,1
2021-04-23,21.0,21.0,1
2021-04-24,23.0,23.0,1
2021-04-25,22.0,22.0,1
2021-04-26,0.0,0.0,1
2021-04-27,40.0,40.0,1
2021-04-28,40.0,40.0,1
2021-04-29,0.0,0.0,1
2021-04-30,58.0,58.0,1
2021-05-01,21.0,21.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,72.0,72.0,1
2021-05-05,0.0,0.0,1
2021-05-06,57.0,57.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,19.0,19.0,1
2021-05-11,19.0,19.0,1
2021-05-12,20.0,20.0,1
2021-05-13,41.0,41.0,1
2021-05-14,42.0,42.0,1
