date,/m/04cylkl_0,/m/04cylkl,batch_id
2021-02-01,39.0,39.0,1
2021-02-02,0.0,0.0,1
2021-02-03,97.0,97.0,1
2021-02-04,61.0,61.0,1
2021-02-05,20.0,20.0,1
2021-02-06,42.0,42.0,1
2021-02-07,43.0,43.0,1
2021-02-08,0.0,0.0,1
2021-02-09,20.0,20.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,41.0,41.0,1
2021-02-13,0.0,0.0,1
2021-02-14,23.0,23.0,1
2021-02-15,0.0,0.0,1
2021-02-16,20.0,20.0,1
2021-02-17,80.0,80.0,1
2021-02-18,20.0,20.0,1
2021-02-19,21.0,21.0,1
2021-02-20,24.0,24.0,1
2021-02-21,49.0,49.0,1
2021-02-22,0.0,0.0,1
2021-02-23,61.0,61.0,1
2021-02-24,41.0,41.0,1
2021-02-25,41.0,41.0,1
2021-02-26,21.0,21.0,1
2021-02-27,23.0,23.0,1
2021-02-28,22.0,22.0,1
2021-03-01,0.0,0.0,1
2021-03-02,20.0,20.0,1
2021-03-03,0.0,0.0,1
2021-03-04,78.0,78.0,1
2021-03-05,0.0,0.0,1
2021-03-06,23.0,23.0,1
2021-03-07,66.0,66.0,1
2021-03-08,40.0,40.0,1
2021-03-09,59.0,59.0,1
2021-03-10,40.0,40.0,1
2021-03-11,20.0,20.0,1
2021-03-12,20.0,20.0,1
2021-03-13,43.0,43.0,1
2021-03-14,42.0,42.0,1
2021-03-15,46.0,46.0,1
2021-03-16,0.0,0.0,1
2021-03-17,20.0,20.0,1
2021-03-18,0.0,0.0,1
2021-03-19,21.0,21.0,1
2021-03-20,0.0,0.0,1
2021-03-21,43.0,43.0,1
2021-03-22,40.0,40.0,1
2021-03-23,40.0,40.0,1
2021-03-24,20.0,20.0,1
2021-03-25,41.0,41.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,22.0,22.0,1
2021-04-01,0.0,0.0,1
2021-04-02,21.0,21.0,1
2021-04-03,0.0,0.0,1
2021-04-04,70.0,70.0,1
2021-04-05,21.0,21.0,1
2021-04-06,19.0,19.0,1
2021-04-07,20.0,20.0,1
2021-04-08,20.0,20.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,43.0,43.0,1
2021-04-12,0.0,0.0,1
2021-04-13,82.0,82.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,21.0,21.0,1
2021-04-17,23.0,23.0,1
2021-04-18,0.0,0.0,1
2021-04-19,39.0,39.0,1
2021-04-20,0.0,0.0,1
2021-04-21,20.0,20.0,1
2021-04-22,41.0,41.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,69.0,69.0,1
2021-04-26,40.0,40.0,1
2021-04-27,21.0,21.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,100.0,100.0,1
2021-05-01,0.0,0.0,1
2021-05-02,44.0,44.0,1
2021-05-03,19.0,19.0,1
2021-05-04,0.0,0.0,1
2021-05-05,19.0,19.0,1
2021-05-06,0.0,0.0,1
2021-05-07,41.0,41.0,1
2021-05-08,67.0,67.0,1
2021-05-09,24.0,24.0,1
2021-05-10,39.0,39.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,21.0,21.0,1
