date,/g/11f2rt7lgl_0,/g/11f2rt7lgl,batch_id
2021-02-01,21.0,21.0,1
2021-02-02,41.0,41.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,21.0,21.0,1
2021-02-06,45.0,45.0,1
2021-02-07,0.0,0.0,1
2021-02-08,41.0,41.0,1
2021-02-09,42.0,42.0,1
2021-02-10,41.0,41.0,1
2021-02-11,21.0,21.0,1
2021-02-12,43.0,43.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,22.0,22.0,1
2021-02-17,85.0,85.0,1
2021-02-18,21.0,21.0,1
2021-02-19,23.0,23.0,1
2021-02-20,26.0,26.0,1
2021-02-21,0.0,0.0,1
2021-02-22,100.0,100.0,1
2021-02-23,22.0,22.0,1
2021-02-24,44.0,44.0,1
2021-02-25,22.0,22.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,42.0,42.0,1
2021-03-02,22.0,22.0,1
2021-03-03,22.0,22.0,1
2021-03-04,0.0,0.0,1
2021-03-05,22.0,22.0,1
2021-03-06,0.0,0.0,1
2021-03-07,23.0,23.0,1
2021-03-08,21.0,21.0,1
2021-03-09,62.0,62.0,1
2021-03-10,21.0,21.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,33.0,33.0,1
2021-03-16,0.0,0.0,1
2021-03-17,42.0,42.0,1
2021-03-18,64.0,64.0,1
2021-03-19,44.0,44.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,21.0,21.0,1
2021-03-24,0.0,0.0,1
2021-03-25,65.0,65.0,1
2021-03-26,22.0,22.0,1
2021-03-27,23.0,23.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,92.0,92.0,1
2021-03-31,24.0,24.0,1
2021-04-01,22.0,22.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,44.0,44.0,1
2021-04-06,20.0,20.0,1
2021-04-07,21.0,21.0,1
2021-04-08,21.0,21.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,22.0,22.0,1
2021-04-14,0.0,0.0,1
2021-04-15,65.0,65.0,1
2021-04-16,22.0,22.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,21.0,21.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,44.0,44.0,1
2021-04-23,23.0,23.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,46.0,46.0,1
2021-05-03,0.0,0.0,1
2021-05-04,39.0,39.0,1
2021-05-05,0.0,0.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
