date,/m/078qb0
2020-02-01,30
2020-02-02,41
2020-02-03,61
2020-02-04,37
2020-02-05,42
2020-02-06,52
2020-02-07,89
2020-02-08,20
2020-02-09,65
2020-02-10,44
2020-02-11,32
2020-02-12,18
2020-02-13,37
2020-02-14,48
2020-02-15,40
2020-02-16,100
2020-02-17,27
2020-02-18,27
2020-02-19,40
2020-02-20,28
2020-02-21,49
2020-02-22,55
2020-02-23,66
2020-02-24,57
2020-02-25,35
2020-02-26,85
2020-02-27,47
2020-02-28,41
2020-02-29,62
2020-03-01,50
2020-03-02,43
2020-03-03,90
2020-03-04,58
2020-03-05,85
2020-03-06,36
2020-03-07,89
2020-03-08,50
2020-03-09,26
2020-03-10,61
2020-03-11,56
2020-03-12,38
2020-03-13,32
2020-03-14,47
2020-03-15,47
2020-03-16,41
2020-03-17,45
2020-03-18,42
2020-03-19,54
2020-03-20,36
2020-03-21,31
2020-03-22,54
2020-03-23,45
2020-03-24,32
2020-03-25,50
2020-03-26,40
2020-03-27,56
2020-03-28,57
2020-03-29,50
2020-03-30,64
2020-03-31,49
2020-04-01,31
2020-04-02,42
2020-04-03,30
2020-04-04,40
2020-04-05,57
2020-04-06,39
2020-04-07,44
2020-04-08,54
2020-04-09,41
2020-04-10,46
2020-04-11,55
2020-04-12,36
2020-04-13,35
2020-04-14,50
2020-04-15,24
2020-04-16,33
2020-04-17,45
2020-04-18,53
2020-04-19,57
2020-04-20,27
2020-04-21,79
2020-04-22,61
2020-04-23,32
2020-04-24,31
2020-04-25,66
2020-04-26,74
2020-04-27,44
2020-04-28,77
2020-04-29,64
2020-04-30,50
2020-05-01,50
2020-05-02,51
2020-05-03,88
2020-05-04,32
2020-05-05,35
2020-05-06,47
2020-05-07,29
2020-05-08,54
2020-05-09,63
2020-05-10,71
2020-05-11,43
2020-05-12,54
2020-05-13,43
2020-05-14,43
2020-05-15,33
2020-05-16,41
2020-05-17,47
2020-05-18,32
2020-05-19,32
2020-05-20,16
2020-05-21,36
2020-05-22,39
2020-05-23,29
2020-05-24,37
2020-05-25,50
2020-05-26,32
2020-05-27,64
2020-05-28,28
2020-05-29,50
2020-05-30,32
2020-05-31,55
