date,/m/0bwkm08_0,/m/0bwkm08,batch_id
2021-02-01,38.0,38.0,1
2021-02-02,0.0,0.0,1
2021-02-03,62.0,62.0,1
2021-02-04,26.0,26.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,100.0,100.0,1
2021-02-09,51.0,51.0,1
2021-02-10,38.0,38.0,1
2021-02-11,26.0,26.0,1
2021-02-12,13.0,13.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,13.0,13.0,1
2021-02-16,39.0,39.0,1
2021-02-17,65.0,65.0,1
2021-02-18,13.0,13.0,1
2021-02-19,68.0,68.0,1
2021-02-20,16.0,16.0,1
2021-02-21,16.0,16.0,1
2021-02-22,85.0,85.0,1
2021-02-23,40.0,40.0,1
2021-02-24,53.0,53.0,1
2021-02-25,93.0,93.0,1
2021-02-26,40.0,40.0,1
2021-02-27,15.0,15.0,1
2021-02-28,14.0,14.0,1
2021-03-01,51.0,51.0,1
2021-03-02,26.0,26.0,1
2021-03-03,13.0,13.0,1
2021-03-04,50.0,50.0,1
2021-03-05,40.0,40.0,1
2021-03-06,15.0,15.0,1
2021-03-07,0.0,0.0,1
2021-03-08,26.0,26.0,1
2021-03-09,13.0,13.0,1
2021-03-10,13.0,13.0,1
2021-03-11,51.0,51.0,1
2021-03-12,13.0,13.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,30.0,30.0,1
2021-03-16,33.0,33.0,1
2021-03-17,38.0,38.0,1
2021-03-18,0.0,0.0,1
2021-03-19,13.0,13.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,13.0,13.0,1
2021-03-23,13.0,13.0,1
2021-03-24,25.0,25.0,1
2021-03-25,13.0,13.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,15.0,15.0,1
2021-03-29,80.0,80.0,1
2021-03-30,28.0,28.0,1
2021-03-31,43.0,43.0,1
2021-04-01,14.0,14.0,1
2021-04-02,14.0,14.0,1
2021-04-03,15.0,15.0,1
2021-04-04,0.0,0.0,1
2021-04-05,27.0,27.0,1
2021-04-06,0.0,0.0,1
2021-04-07,25.0,25.0,1
2021-04-08,26.0,26.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,12.0,12.0,1
2021-04-13,26.0,26.0,1
2021-04-14,64.0,64.0,1
2021-04-15,13.0,13.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,25.0,25.0,1
2021-04-20,13.0,13.0,1
2021-04-21,0.0,0.0,1
2021-04-22,27.0,27.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,15.0,15.0,1
2021-04-26,26.0,26.0,1
2021-04-27,40.0,40.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,12.0,12.0,1
2021-05-05,37.0,37.0,1
2021-05-06,13.0,13.0,1
2021-05-07,39.0,39.0,1
2021-05-08,14.0,14.0,1
2021-05-09,0.0,0.0,1
2021-05-10,25.0,25.0,1
2021-05-11,25.0,25.0,1
2021-05-12,26.0,26.0,1
2021-05-13,27.0,27.0,1
2021-05-14,0.0,0.0,1
