date,/m/027fpnw_0,/m/027fpnw,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,32.0,32.0,1
2021-02-03,32.0,32.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,71.0,71.0,1
2021-02-07,36.0,36.0,1
2021-02-08,32.0,32.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,33.0,33.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,38.0,38.0,1
2021-02-15,0.0,0.0,1
2021-02-16,68.0,68.0,1
2021-02-17,34.0,34.0,1
2021-02-18,33.0,33.0,1
2021-02-19,0.0,0.0,1
2021-02-20,40.0,40.0,1
2021-02-21,0.0,0.0,1
2021-02-22,31.0,31.0,1
2021-02-23,34.0,34.0,1
2021-02-24,34.0,34.0,1
2021-02-25,0.0,0.0,1
2021-02-26,69.0,69.0,1
2021-02-27,38.0,38.0,1
2021-02-28,37.0,37.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,0.0,0.0,1
2021-03-05,35.0,35.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,33.0,33.0,1
2021-03-09,0.0,0.0,1
2021-03-10,66.0,66.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,36.0,36.0,1
2021-03-14,70.0,70.0,1
2021-03-15,0.0,0.0,1
2021-03-16,29.0,29.0,1
2021-03-17,0.0,0.0,1
2021-03-18,100.0,100.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,36.0,36.0,1
2021-03-22,66.0,66.0,1
2021-03-23,0.0,0.0,1
2021-03-24,33.0,33.0,1
2021-03-25,0.0,0.0,1
2021-03-26,35.0,35.0,1
2021-03-27,37.0,37.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,72.0,72.0,1
2021-03-31,37.0,37.0,1
2021-04-01,35.0,35.0,1
2021-04-02,72.0,72.0,1
2021-04-03,77.0,77.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,32.0,32.0,1
2021-04-07,33.0,33.0,1
2021-04-08,34.0,34.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,36.0,36.0,1
2021-04-12,32.0,32.0,1
2021-04-13,34.0,34.0,1
2021-04-14,67.0,67.0,1
2021-04-15,34.0,34.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,39.0,39.0,1
2021-04-19,32.0,32.0,1
2021-04-20,0.0,0.0,1
2021-04-21,34.0,34.0,1
2021-04-22,35.0,35.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,38.0,38.0,1
2021-04-26,0.0,0.0,1
2021-04-27,34.0,34.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,36.0,36.0,1
2021-05-03,32.0,32.0,1
2021-05-04,0.0,0.0,1
2021-05-05,32.0,32.0,1
2021-05-06,0.0,0.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,40.0,40.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,67.0,67.0,1
2021-05-13,70.0,70.0,1
2021-05-14,36.0,36.0,1
