date,/m/09k5jvk
2020-02-01,33
2020-02-02,31
2020-02-03,27
2020-02-04,0
2020-02-05,31
2020-02-06,32
2020-02-07,33
2020-02-08,33
2020-02-09,29
2020-02-10,0
2020-02-11,46
2020-02-12,0
2020-02-13,31
2020-02-14,32
2020-02-15,100
2020-02-16,60
2020-02-17,45
2020-02-18,0
2020-02-19,59
2020-02-20,62
2020-02-21,33
2020-02-22,33
2020-02-23,31
2020-02-24,29
2020-02-25,59
2020-02-26,70
2020-02-27,29
2020-02-28,61
2020-02-29,48
2020-03-01,30
2020-03-02,72
2020-03-03,60
2020-03-04,90
2020-03-05,0
2020-03-06,30
2020-03-07,97
2020-03-08,30
2020-03-09,58
2020-03-10,58
2020-03-11,0
2020-03-12,28
2020-03-13,0
2020-03-14,0
2020-03-15,31
2020-03-16,41
2020-03-17,0
2020-03-18,28
2020-03-19,28
2020-03-20,26
2020-03-21,58
2020-03-22,30
2020-03-23,25
2020-03-24,27
2020-03-25,0
2020-03-26,27
2020-03-27,50
2020-03-28,44
2020-03-29,42
2020-03-30,25
2020-03-31,26
2020-04-01,26
2020-04-02,25
2020-04-03,25
2020-04-04,30
2020-04-05,32
2020-04-06,26
2020-04-07,0
2020-04-08,27
2020-04-09,83
2020-04-10,28
2020-04-11,46
2020-04-12,30
2020-04-13,52
2020-04-14,51
2020-04-15,27
2020-04-16,27
2020-04-17,27
2020-04-18,40
2020-04-19,27
2020-04-20,25
2020-04-21,0
2020-04-22,27
2020-04-23,26
2020-04-24,53
2020-04-25,0
2020-04-26,31
2020-04-27,40
2020-04-28,73
2020-04-29,50
2020-04-30,71
2020-05-01,51
2020-05-02,26
2020-05-03,84
2020-05-04,24
2020-05-05,35
2020-05-06,26
2020-05-07,27
2020-05-08,0
2020-05-09,0
2020-05-10,28
2020-05-11,24
2020-05-12,0
2020-05-13,52
2020-05-14,39
2020-05-15,54
2020-05-16,30
2020-05-17,32
2020-05-18,0
2020-05-19,27
2020-05-20,0
2020-05-21,0
2020-05-22,79
2020-05-23,96
2020-05-24,0
2020-05-25,25
2020-05-26,0
2020-05-27,53
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,31
