date,/m/0bn818_0,/m/0bn818,batch_id
2021-02-01,24.0,24.0,1
2021-02-02,24.0,24.0,1
2021-02-03,24.0,24.0,1
2021-02-04,50.0,50.0,1
2021-02-05,25.0,25.0,1
2021-02-06,26.0,26.0,1
2021-02-07,0.0,0.0,1
2021-02-08,47.0,47.0,1
2021-02-09,24.0,24.0,1
2021-02-10,24.0,24.0,1
2021-02-11,0.0,0.0,1
2021-02-12,25.0,25.0,1
2021-02-13,28.0,28.0,1
2021-02-14,0.0,0.0,1
2021-02-15,24.0,24.0,1
2021-02-16,0.0,0.0,1
2021-02-17,49.0,49.0,1
2021-02-18,0.0,0.0,1
2021-02-19,26.0,26.0,1
2021-02-20,29.0,29.0,1
2021-02-21,0.0,0.0,1
2021-02-22,92.0,92.0,1
2021-02-23,100.0,100.0,1
2021-02-24,25.0,25.0,1
2021-02-25,50.0,50.0,1
2021-02-26,50.0,50.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,47.0,47.0,1
2021-03-05,0.0,0.0,1
2021-03-06,28.0,28.0,1
2021-03-07,27.0,27.0,1
2021-03-08,24.0,24.0,1
2021-03-09,48.0,48.0,1
2021-03-10,24.0,24.0,1
2021-03-11,97.0,97.0,1
2021-03-12,0.0,0.0,1
2021-03-13,26.0,26.0,1
2021-03-14,0.0,0.0,1
2021-03-15,19.0,19.0,1
2021-03-16,42.0,42.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,51.0,51.0,1
2021-03-20,28.0,28.0,1
2021-03-21,27.0,27.0,1
2021-03-22,0.0,0.0,1
2021-03-23,73.0,73.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,26.0,26.0,1
2021-03-27,27.0,27.0,1
2021-03-28,29.0,29.0,1
2021-03-29,76.0,76.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,26.0,26.0,1
2021-04-02,0.0,0.0,1
2021-04-03,28.0,28.0,1
2021-04-04,29.0,29.0,1
2021-04-05,0.0,0.0,1
2021-04-06,23.0,23.0,1
2021-04-07,0.0,0.0,1
2021-04-08,25.0,25.0,1
2021-04-09,25.0,25.0,1
2021-04-10,25.0,25.0,1
2021-04-11,0.0,0.0,1
2021-04-12,47.0,47.0,1
2021-04-13,0.0,0.0,1
2021-04-14,49.0,49.0,1
2021-04-15,0.0,0.0,1
2021-04-16,26.0,26.0,1
2021-04-17,28.0,28.0,1
2021-04-18,28.0,28.0,1
2021-04-19,48.0,48.0,1
2021-04-20,25.0,25.0,1
2021-04-21,0.0,0.0,1
2021-04-22,51.0,51.0,1
2021-04-23,26.0,26.0,1
2021-04-24,0.0,0.0,1
2021-04-25,28.0,28.0,1
2021-04-26,73.0,73.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,24.0,24.0,1
2021-05-01,81.0,81.0,1
2021-05-02,0.0,0.0,1
2021-05-03,24.0,24.0,1
2021-05-04,0.0,0.0,1
2021-05-05,0.0,0.0,1
2021-05-06,24.0,24.0,1
2021-05-07,25.0,25.0,1
2021-05-08,27.0,27.0,1
2021-05-09,29.0,29.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,49.0,49.0,1
2021-05-13,26.0,26.0,1
2021-05-14,0.0,0.0,1
