date,/m/0cycc
2020-02-01,21
2020-02-02,16
2020-02-03,34
2020-02-04,23
2020-02-05,27
2020-02-06,25
2020-02-07,16
2020-02-08,18
2020-02-09,15
2020-02-10,23
2020-02-11,24
2020-02-12,20
2020-02-13,17
2020-02-14,17
2020-02-15,14
2020-02-16,17
2020-02-17,25
2020-02-18,15
2020-02-19,21
2020-02-20,24
2020-02-21,19
2020-02-22,18
2020-02-23,25
2020-02-24,39
2020-02-25,44
2020-02-26,55
2020-02-27,42
2020-02-28,33
2020-02-29,31
2020-03-01,60
2020-03-02,68
2020-03-03,41
2020-03-04,52
2020-03-05,61
2020-03-06,60
2020-03-07,29
2020-03-08,46
2020-03-09,58
2020-03-10,56
2020-03-11,66
2020-03-12,73
2020-03-13,73
2020-03-14,82
2020-03-15,100
2020-03-16,71
2020-03-17,55
2020-03-18,62
2020-03-19,64
2020-03-20,70
2020-03-21,75
2020-03-22,78
2020-03-23,49
2020-03-24,31
2020-03-25,47
2020-03-26,40
2020-03-27,44
2020-03-28,49
2020-03-29,41
2020-03-30,43
2020-03-31,40
2020-04-01,30
2020-04-02,43
2020-04-03,26
2020-04-04,40
2020-04-05,30
2020-04-06,41
2020-04-07,30
2020-04-08,16
2020-04-09,26
2020-04-10,35
2020-04-11,33
2020-04-12,35
2020-04-13,30
2020-04-14,23
2020-04-15,17
2020-04-16,21
2020-04-17,17
2020-04-18,19
2020-04-19,21
2020-04-20,20
2020-04-21,19
2020-04-22,16
2020-04-23,13
2020-04-24,24
2020-04-25,19
2020-04-26,15
2020-04-27,13
2020-04-28,24
2020-04-29,10
2020-04-30,9
2020-05-01,22
2020-05-02,12
2020-05-03,10
2020-05-04,3
2020-05-05,16
2020-05-06,13
2020-05-07,10
2020-05-08,9
2020-05-09,19
2020-05-10,24
2020-05-11,21
2020-05-12,18
2020-05-13,9
2020-05-14,11
2020-05-15,7
2020-05-16,17
2020-05-17,17
2020-05-18,15
2020-05-19,6
2020-05-20,7
2020-05-21,6
2020-05-22,10
2020-05-23,7
2020-05-24,16
2020-05-25,6
2020-05-26,8
2020-05-27,8
2020-05-28,12
2020-05-29,10
2020-05-30,6
2020-05-31,9
2020-06-01,7
2020-06-02,5
2020-06-03,5
2020-06-04,4
2020-06-05,9
2020-06-06,8
2020-06-07,7
2020-06-08,7
2020-06-09,4
2020-06-10,3
2020-06-11,5
2020-06-12,7
2020-06-13,6
2020-06-14,7
2020-06-15,6
2020-06-16,5
2020-06-17,6
2020-06-18,4
2020-06-19,7
2020-06-20,10
2020-06-21,7
2020-06-22,4
2020-06-23,3
2020-06-24,4
2020-06-25,4
2020-06-26,7
2020-06-27,12
2020-06-28,3
2020-06-29,10
2020-06-30,7
2020-07-01,3
2020-07-02,8
2020-07-03,7
2020-07-04,8
2020-07-05,4
2020-07-06,8
2020-07-07,7
2020-07-08,8
2020-07-09,6
2020-07-10,7
2020-07-11,4
2020-07-12,4
2020-07-13,8
2020-07-14,7
2020-07-15,4
2020-07-16,7
2020-07-17,6
2020-07-18,6
2020-07-19,12
2020-07-20,7
2020-07-21,8
2020-07-22,11
2020-07-23,13
2020-07-24,9
2020-07-25,12
2020-07-26,8
2020-07-27,15
2020-07-28,10
2020-07-29,14
2020-07-30,8
2020-07-31,6
2020-08-01,12
2020-08-02,14
2020-08-03,4
2020-08-04,19
2020-08-05,7
2020-08-06,4
2020-08-07,7
2020-08-08,0
2020-08-09,5
2020-08-10,7
2020-08-11,11
2020-08-12,3
2020-08-13,14
2020-08-14,3
2020-08-15,5
2020-08-16,13
2020-08-17,12
2020-08-18,5
2020-08-19,5
2020-08-20,10
2020-08-21,5
2020-08-22,13
2020-08-23,9
2020-08-24,7
2020-08-25,12
2020-08-26,6
2020-08-27,7
2020-08-28,5
2020-08-29,8
2020-08-30,5
2020-08-31,9
2020-09-01,11
2020-09-02,11
2020-09-03,5
2020-09-04,11
2020-09-05,7
2020-09-06,12
2020-09-07,14
2020-09-08,10
2020-09-09,8
2020-09-10,7
2020-09-11,0
2020-09-12,4
2020-09-13,15
2020-09-14,7
2020-09-15,10
2020-09-16,9
2020-09-17,13
2020-09-18,12
2020-09-19,11
2020-09-20,14
2020-09-21,12
2020-09-22,15
2020-09-23,8
2020-09-24,9
2020-09-25,12
2020-09-26,10
2020-09-27,9
2020-09-28,15
