date,/g/11f01zmz1r_0,/g/11f01zmz1r,batch_id
2021-02-01,16.0,16.0,1
2021-02-02,32.0,32.0,1
2021-02-03,47.0,47.0,1
2021-02-04,66.0,66.0,1
2021-02-05,0.0,0.0,1
2021-02-06,17.0,17.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,16.0,16.0,1
2021-02-10,47.0,47.0,1
2021-02-11,33.0,33.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,16.0,16.0,1
2021-02-16,17.0,17.0,1
2021-02-17,49.0,49.0,1
2021-02-18,16.0,16.0,1
2021-02-19,35.0,35.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,31.0,31.0,1
2021-02-23,67.0,67.0,1
2021-02-24,0.0,0.0,1
2021-02-25,17.0,17.0,1
2021-02-26,17.0,17.0,1
2021-02-27,19.0,19.0,1
2021-02-28,0.0,0.0,1
2021-03-01,32.0,32.0,1
2021-03-02,83.0,83.0,1
2021-03-03,17.0,17.0,1
2021-03-04,16.0,16.0,1
2021-03-05,17.0,17.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,16.0,16.0,1
2021-03-10,16.0,16.0,1
2021-03-11,65.0,65.0,1
2021-03-12,66.0,66.0,1
2021-03-13,0.0,0.0,1
2021-03-14,17.0,17.0,1
2021-03-15,25.0,25.0,1
2021-03-16,14.0,14.0,1
2021-03-17,32.0,32.0,1
2021-03-18,33.0,33.0,1
2021-03-19,17.0,17.0,1
2021-03-20,19.0,19.0,1
2021-03-21,18.0,18.0,1
2021-03-22,48.0,48.0,1
2021-03-23,32.0,32.0,1
2021-03-24,64.0,64.0,1
2021-03-25,33.0,33.0,1
2021-03-26,0.0,0.0,1
2021-03-27,18.0,18.0,1
2021-03-28,0.0,0.0,1
2021-03-29,17.0,17.0,1
2021-03-30,0.0,0.0,1
2021-03-31,18.0,18.0,1
2021-04-01,52.0,52.0,1
2021-04-02,52.0,52.0,1
2021-04-03,38.0,38.0,1
2021-04-04,19.0,19.0,1
2021-04-05,34.0,34.0,1
2021-04-06,0.0,0.0,1
2021-04-07,16.0,16.0,1
2021-04-08,49.0,49.0,1
2021-04-09,67.0,67.0,1
2021-04-10,33.0,33.0,1
2021-04-11,35.0,35.0,1
2021-04-12,0.0,0.0,1
2021-04-13,100.0,100.0,1
2021-04-14,49.0,49.0,1
2021-04-15,33.0,33.0,1
2021-04-16,52.0,52.0,1
2021-04-17,0.0,0.0,1
2021-04-18,19.0,19.0,1
2021-04-19,16.0,16.0,1
2021-04-20,16.0,16.0,1
2021-04-21,50.0,50.0,1
2021-04-22,51.0,51.0,1
2021-04-23,35.0,35.0,1
2021-04-24,19.0,19.0,1
2021-04-25,0.0,0.0,1
2021-04-26,65.0,65.0,1
2021-04-27,50.0,50.0,1
2021-04-28,33.0,33.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,18.0,18.0,1
2021-05-02,36.0,36.0,1
2021-05-03,16.0,16.0,1
2021-05-04,45.0,45.0,1
2021-05-05,46.0,46.0,1
2021-05-06,32.0,32.0,1
2021-05-07,33.0,33.0,1
2021-05-08,18.0,18.0,1
2021-05-09,0.0,0.0,1
2021-05-10,96.0,96.0,1
2021-05-11,94.0,94.0,1
2021-05-12,82.0,82.0,1
2021-05-13,17.0,17.0,1
2021-05-14,53.0,53.0,1
